	mention_span	mention_in_context	mention_span_ids	mention_token_id	mention_ids	last_token_id	Should this mention be annotated as an event?	If so, which event class should the mention be annotated with?	If not, why not?	If span incorrect, provide correct span	comments
0	gescheijden	, Twdapen van Eelff , s'landts hollandia ende de Galias den 12en November past in Compe van Battania- Battania [ gescheijden ] , ende den 15en . do door de strate Sunda geraeckt sijn hier Godt loff den 17en . ende 21e		12-35	['12-35']	No Span	yes	Leaving			
3	ouerleijdt	ende 332 xxi0 . copter . e. e e Op d'aencompete gemelter Schepen hebben , dadelijck met den Raedt [ ouerleijdt ] , off niet oorbaer ende raedtsaem soude wesen , noch een Schap met partije sijde , beneffens de becomene aduijsen		12-100	['12-100']	No Span	no		This does not describe an event listed in the ontology		
8	seijnden	In voegen , dat ons om voorverhaelde consideratien eenichsints beswaert woirden de syde dus laet met een Schip ouer [ seijnden ] seijnden . Doch aen d'ander sijde ouerwogen , soo noodich het sij V Ed : tegen haere Excessiue lasten ,		12-371.1	['12-371.1']	No Span	yes	Transportation			
14	comen	uijt der maten dier ; De toataneten vreesen alsnoch dat den Atchinder van Gueda te Lande te lande decieitiersn [ comen ] sal , daer ons bedunckt niet veel apparentie toe en is eeee Vande Westcust van Sumatra is hier den 25.en		17-62	['17-62']	No Span	yes	Arriving			
17	vtreck	O cento aduance geuen , ende in Tatane niet meer als 30 . Ot FL W. Cust was opt [ vtreck ] van gemelte Jacht van daer , noch goede partije peper te becomen , ende dat tot redelijcken prus : Ooch		18-60	['18-60']	No Span	yes	Leaving			
20	becomene	ende 134 - packen cleeden , blesde sorteringe , alsoo den tijt te cort was , omme voor de [ becomene ] comrtsr . van hier met de Jachten Grootenbrouck Brouwershauen , ende Battr . eenich ander slach ofte meerder quantiteijt cleeden		20-39	['20-39']	No Span	yes	Getting			
23	beschicken	in twee Jaeren geen retour van daer becomen sullen ende dat vermidts V Ed : eijgen deffectueusheijt int derrewaerts [ beschicken ] van de Jaerlijcx geeijschte capitalen ... d'E Leeuwwinne ende Kemphaen waren op 2en Novemb . pasro doen d'Engelsche Engelsche Abigael		20-124	['20-124']	No Span	yes	HavingInPossession			
26	gegeven	in Maij a.o . 1628 . gereedt wesen ; Ouer de 32 . E Pagoden hadden d'onse op leueringe [ gegeven ] ee Om de Zuijdt waren de drije Naijcken vereinicht , waer door aipparent is den Standt in die Quartieren vrij		22-33	['22-33']	No Span	yes	Giving			
29	Monovolien ende Qquardt tractement	Cattoen daer soo dier , als in lange Jaren niet geweest is Pr. Madilwals . continueerden de Mooren haere [ Monovolien ende Qquardt tractement ] t'ontwaerts ; Met niemant anders dan met drije deee pachters , mochten d'onse aldaer handelen ; Ende	['24-34', '24-35', '24-36', '24-37']	24-34	['24-34', '24-35', '24-36', '24-37']	24-37	yes	BeingInARelationship			
34	verseeckeren	in de mlaenden Februarij ende Meert daer voor te houden , om ons van t'iloorsche iloorsche - Vaertuijch te [ verseeckeren ] , en de Grooten bij dien middel te constringeren tot restauratie vande geleden Interesten ende schaden , mitsgaders Dat ons		30-28	['30-28']	No Span	no		This does not describe an event listed in the ontology		
36	gedoogen	tot restauratie vande geleden Interesten ende schaden , mitsgaders Dat ons den vrijen ende onbecommerden handel in Masilicat nam [ gedoogen ] . Nae d'onse vande custe aduiseren , behoeuen met eens sbaricheijt daer in te maecken , alsoo den handel in		30-57	['30-57']	No Span	yes	BeingInARelationship			
40	verboden	plaetse haer soo : dienstich is , als ons Paliacatte . Op haer versouck is d'onse den handel aldaer [ verboden ] , hebben daer een steenen Huijs geboudt met een aerden weal omtrocken , ende geuen - . uijt aldaer fortificeren		35-31	['35-31']	No Span	yes	ForceToAct			
43	cruijssende	120885 „ 15 „ Waer mede oock ouergegaen is , Mousabeeck , Ambassadeur des Conincks van Pertia . Onise [ cruijssende ] Jachten hebben t'selue den 35e Octob . pasto . omtrent ppoulo - Vercelaer bij Noorden Mallacca gerescontreert . Waer ouer		36-49	['36-49']	No Span	yes	Voyage			
47	Keere	aen blauen , otterijs rijs te besteden , met ordre dat tegen hal ff December weder voor Masilipats . [ Keere ] . uo 16en . Decemb . passaco hebben van hier naer Amboina , ende Gaudamet Gauda de Noodige comptanten coopmanschappen		37-42	['37-42']	No Span	yes	Leaving			
51	bevinden	den meesten dienst ende woelstandt vande Compen . aldaer vereijscht , Insonderheijt inde Quartieren van Amboina , alwaer wbij [ bevinden ] volgens t'schriftelijck schriftelijck verbael vanden Commissaris Gillis Seijs , In April pase . aende cant van 616 . blancke coppen		40-37	['40-37']	No Span	no		This does not describe an event listed in the ontology		
52	merckelijcken affganck ende verachteringe	, daer mede de Compene . in Amboina buijten Proportie , met ouer groote lasten , ende euenwel niet [ merckelijcken affganck ende verachteringe ] in haere Negotie en Nagel retour beswaert sit , hebbende in voortijden , doen sij miet ongebiender	['40-95', '40-96', '40-97', '40-98']	40-95	['40-95', '40-96', '40-97', '40-98']	40-98	yes	BeingInARelationship			
56	verdeelt	162 . Tsoonen , ende dat apparent vande ervarenste ende loeckste Soldaten , op acht verscheijden plaetsen in Garnisoen [ verdeelt ] sij Behaluen dat met voorsz verdeelinge tot Compes . progres ende Goulagiement in gemelte Quartieren gants niet gevoirdert Werct soo		40-168	['40-168']	No Span	yes	BeingAtAPlace			
57	ffiuasien	. progres ende Goulagiement in gemelte Quartieren gants niet gevoirdert Werct soo is oock deselue niet bastandt , omme [ ffiuasien ] ffiuasien van externer Vijanden te connen resisteren , nochte oock d'Imboonders alsse ontrouw Wesen willen , in ontsach ende dwang		40-196.1	['40-196.1']	No Span	yes	Invasion			
59	schande ende verlies van Volck	ontrouw Wesen willen , in ontsach ende dwang te houden , Gelijck als op Bouro ende inde Manipes met [ schande ende verlies van Volck ] ende goedt gebleecken , is ; Derhaluen gemelte Gecommitteerde precise ordre gegeuen hebben , omme de	['40-227', '40-228', '40-229', '40-230', '40-231']	40-227	['40-227', '40-228', '40-229', '40-230', '40-231']	40-231	no		The span selection is incorrect	verlies	
64	extremiteijt van wapenen	alvooren daer toee speciale last ende ordre van ons becomen Is hebben Visitate ge . Ende dewijle men door [ extremiteijt van wapenen ] ( twelck doch niet dan groote lasten , onseeckere uijtcompsten , horrible bloetstorting , Herderff van menschen ende	['42-5', '42-6', '42-7']	42-5	['42-5', '42-6', '42-7']	42-7	yes	ViolentContest			
67	verachtering	, horrible bloetstorting , Herderff van menschen ende Landen , hadije ende emulatie van nabuijren mitsgaders voor eerst groote [ verachtering ] in des Compes . nootwendich soulaes ( den Nagelhandel ) naer hem is bleijpende ) Jegenwoordich niet gedisponeert is ,		42-37	['42-37']	No Span	no		This does not describe an event listed in the ontology		
68	vervallen Stadt	Compes . nootwendich soulaes ( den Nagelhandel ) naer hem is bleijpende ) Jegenwoordich niet gedisponeert is , den [ vervallen Stadt ] inde Quartieren van Ambr . naer behooren te restaureren ende te verseeckeren , ende dat het in aller manieren	['42-59', '42-60']	42-59	['42-59', '42-60']	42-60	yes	BeingDamaged			
70	restaureren	is bleijpende ) Jegenwoordich niet gedisponeert is , den vervallen Stadt inde Quartieren van Ambr . naer behooren te [ restaureren ] ende te verseeckeren , ende dat het in aller manieren geradender ende voor de presente gestaltenisser vande Compe . nitter		42-69	['42-69']	No Span	yes	Repairing			
