	mention_span	mention_in_context	mention_span_ids	mention_token_id	mention_ids	last_token_id	Should this mention be annotated as an event?	If so, which event class should the mention be annotated with?	If not, why not?	If span incorrect, provide correct span	comments
0	gaende	: Erentfebte , Achtbare , wijse , voorsienige seer discrete Heeren Qulans Tsedert onsen Jongsten hier neuens in copie [ gaende ] ) met de Schepen Frederick Benrick , Bollandia , Twdapen van Eelff , s'landts hollandia ende de Galias den 12en		12-8	['12-8']	No Span	no		This does not describe an event listed in the ontology		
3	840 . pica rouwe Chineesche sijde , ende 332 xxi0 . copter	l. van Teijouhan ende Jappan successiue- wel aengecomen t'Jacht Jacht Erabinus ende t'Schip Schip de Vreede t'samen geladen met [ 840 . pica rouwe Chineesche sijde , ende 332 xxi0 . copter ] copter . e. e e Op d'aencompete gemelter Schepen	['12-74', '12-75', '12-76', '12-77', '12-78', '12-79', '12-80', '12-81', '12-82', '12-83', '12-84', '12-85']	12-74	['12-74', '12-75', '12-76', '12-77', '12-78', '12-79', '12-80', '12-81', '12-82', '12-83', '12-84', '12-85']	12-85	no		Other (write in comments)		Geen event
18	d'affvaerdinge	te mogen beloopen . & Waerop aen d‛een sijde Ingesien sijnde , hoe voor t'verloop vanden gelimiteerden tijdt op [ d'affvaerdinge ] der Retour Schepen naer t ' Naderslandt , ( achtervolgende V Ed : aduisen met Bollandia Jongst van daer becomen		12-168	['12-168']	No Span	no		Other (write in comments)		Lastig. 'Afvaardigen' is zenden / sturen / opdracht geven te vertrekken. Dat past wat mij betreft niet onder 'translocation' of 'leaving'.
19	becomen	der Retour Schepen naer t ' Naderslandt , ( achtervolgende V Ed : aduisen met Bollandia Jongst van daer [ becomen ] niet wel doenlijck soude sijn een Schip tot gemelte Voijagie seijl reedt te crijgen ; daer beneffens dat Jegenwoordich geen		12-188	['12-188']	No Span	yes	Getting			
20	Voijagie	V Ed : aduisen met Bollandia Jongst van daer becomen niet wel doenlijck soude sijn een Schip tot gemelte [ Voijagie ] seijl reedt te crijgen ; daer beneffens dat Jegenwoordich geen andere RetourSchepen bijder handt hebben als Vianen ende t'wapen van		12-198	['12-198']	No Span	yes	Voyage			
22	voorsien , sijn	nae tvaderblandt vaderblandt seer getwijffelt werdt . Item dat Jegenwoordich ouer Gants Jndia seer schaers van Varend ' volck [ voorsien , sijn ] . Ende sal men d'ordinarij handel plaetsen naer behooren waernemen , het sober getal vandien niet meer dient	['12-250', '12-251', '12-252']	12-250	['12-250', '12-251', '12-252']	12-252	no		This does not describe an event listed in the ontology		Zit dicht bij 'Having in possession', maar is het net niet, vind ik.
26	reijse	achter Engelandt , om te loopen , door de moetwil ende rebellije van't Scheepsvolck ( welck gemeenl op de [ reijse ] reijse de meester maeckt , ende d'Ouericheijt Hetten voorschrijft niet behoorlijck achtervolcht , maer de cours recht door t'Canael nae		12-315.1	['12-315.1']	No Span	yes	Voyage			Span moet eigenlijk [ thuis-reijse ] zijn?
27	cours	gemeenl op de thuijs-reijse reijse de meester maeckt , ende d'Ouericheijt Hetten voorschrijft niet behoorlijck achtervolcht , maer de [ cours ] recht door t'Canael nae Nederlandt gestelt mocht werden , al schoon het tijts genouch eynam om achter om te loopen		12-330	['12-330']	No Span	no		This does not describe an event listed in the ontology		Zit dicht bij 'Voyage', maar vind het net anders.
28	ouer teseijnden	. In voegen , dat ons om voorverhaelde consideratien eenichsints beswaert woirden de syde dus laet met een Schip [ ouer teseijnden ] . Doch aen d'ander sijde ouerwogen , soo noodich het sij V Ed : tegen haere Excessiue lasten ,	['12-370', '12-371']	12-370	['12-370', '12-371']	12-371	yes	Transportation			
33	toecomen	bescheijden aff te vaerdigen . Almogende gelieue UEd : e dit ende de vooraffgebondene Schepen in salko te laten [ toecomen ] . 22 . Otp 20en . Nouembr . is hier van Patane wel aengecomen t ' Jacht de Griffoen (:		12-491	['12-491']	No Span	yes	Getting			
39	seijnden	peper te becomen , ende dat tot redelijcken prus : Ooch hebben geldt noch cleeden om derrewaerts ie mogen [ seijnden ] . e. e En D.o S.r Is sier van Masilipats.n ende Paliacaite wel aengecomen t ' Jacht D Battania met		18-89	['18-89']	No Span	yes	Transportation			
42	blijven	de Molucq , Amboina ende Banida gelijck mede wij hier in Battra . noch een Jaer onvoorsien sullen moeten [ blijven ] . Ofs oock acpparent dat V. Ed : mede in twee Jaeren geen retour van daer becomen sullen ende dat		20-95	['20-95']	No Span	no		Other (write in comments)		Dit gaat m.i. om een internal state die gelijk blijft; geen event dus.
43	becomen	sullen moeten blijven . Ofs oock acpparent dat V. Ed : mede in twee Jaeren geen retour van daer [ becomen ] sullen ende dat vermidts V Ed : eijgen deffectueusheijt int derrewaerts beschicken van de Jaerlijcx geeijschte capitalen ... d'E Leeuwwinne		20-112	['20-112']	No Span	yes	Getting			
46	comen	, aldaer noch niet verlcheinen , Ende is apparent dat geduerende t'noorder Mouson , daer oock niet sullen connen [ comen ] — . De Paliacatsche sorteringe welck al geschilderde doecken sijn ; sal niet eerder dan in Maij a.o . 1628		21-36	['21-36']	No Span	yes	Arriving			
49	geeft	vrij wat beteren dat ende datmen metter tijt goede partije sal peter sal connen becomen . eeeee Isen Calliacatte [ geeft ] het Goudt van Guinea 10½ 8r . cento advance ende was t'Cattoen Cattoen daer soo dier , als in lange		24-3	['24-3']	No Span	no		Other (write in comments)		Ik vind dit geen event.
51	schaden	. Soo de liberteijt vanden handel gelijck mede voldoeninge van d'affgedrongen U E Nagoden , ende van andere geledene [ schaden ] ende Interesten meer , begeeren bebonnen niet anders te doen als ons volck ende goederen voor reen tijt e 1		24-94	['24-94']	No Span	yes	HavingInternalState-			
52	becomen	voor reen tijt e 1 „ 90 t ked ee . ve een Diamanten sijn daer noch wel te [ becomen ] , maer dier eeen tijt van masilupats . te lichten ende eenige Scheepen in de mlaenden Februarij ende Meert daer		28-7	['28-7']	No Span	yes	Trade			
53	te houden	dier eeen tijt van masilupats . te lichten ende eenige Scheepen in de mlaenden Februarij ende Meert daer voor [ te houden ] , om ons van t'iloorsche iloorsche - Vaertuijch te verseeckeren , en de Grooten bij dien middel te constringeren	['30-18', '30-19']	30-18	['30-18', '30-19']	30-19	no		This does not describe an event listed in the ontology		
55	restauratie	om ons van t'iloorsche iloorsche - Vaertuijch te verseeckeren , en de Grooten bij dien middel te constringeren tot [ restauratie ] vande geleden Interesten ende schaden , mitsgaders Dat ons den vrijen ende onbecommerden handel in Masilicat nam gedoogen . Nae		30-39	['30-39']	No Span	yes	HavingInternalState+			
58	becomen	sullen daerop gaerne hooren . eeveee Der neuens gaende copie van missiue ouer de Custe Choromme . van Surarte [ becomen ] , sullen u Ed : dien hoe d'onse aldaer sonder Negotie saten , belast sijnde met 200 O gl .		32-14	['32-14']	No Span	yes	Getting			
59	betalen	Negotie saten , belast sijnde met 200 O gl . a deposito gelicht , waer voor grooten Interest moeten [ betalen ] Ede specerijen Nagelen , Nooten ende foelije waren meer dan 50 . Rcento in prijs gedaelt , conden geene vercoopen		32-44	['32-44']	No Span	no		This does not describe an event listed in the ontology		
63	ouergegaen	. geboorden hadden t ' Jacht Wedenblycq met een Capitael van l 120885 „ 15 „ Waer mede oock [ ouergegaen ] is , Mousabeeck , Ambassadeur des Conincks van Pertia . Onise cruijssende Jachten hebben t'selue den 35e Octob . pasto		36-37	['36-37']	No Span	yes	Translocation			
69	dienst ende gagie	schriftelijck verbael vanden Commissaris Gillis Seijs , In April pase . aende cant van 616 . blancke coppen in [ dienst ende gagie ] vande Compnie . gehouden wierden , beneffens 208 . slanen sijnde voorwaer een groot getal , daer mede	['40-58', '40-59', '40-60']	40-58	['40-58', '40-59', '40-60']	40-60	no		This does not describe an event listed in the ontology		
72	retour	van 150 . Coppen ten hoochsten , aldaer geseten wais ongelijck meerder ontsach , vorderlijcker handel ende treffelycker nagel [ retour ] van daer becomen ; Van welcke 616 . coppen , 162 . Tsoonen , ende dat apparent vande ervarenste ende		40-138	['40-138']	No Span	no		The span selection is incorrect	[ becomen ]	
76	becomen	extensie van Garnisoenen ofte fortificatien meer voorgenomen werden , sonder alvooren daer toee speciale last ende ordre van ons [ becomen ] Is hebben Visitate ge . Ende dewijle men door extremiteijt van wapenen ( twelck doch niet dan groote lasten ,		40-293	['40-293']	No Span	no		The span selection is incorrect	[ last ende ordre ] zou 'request' kunnen zijn	
77	nieuwe vruntschap	, Loeboe , Combello , dessidi , Orang ende consorten , als onse oude Bondtgenoten , in termen van [ nieuwe vruntschap ] te geraecken , daer door de gealtereerde ende verwijderde gemoederen in voorige gerustheijt ende patisique posture herstelt , ende	['42-153', '42-154']	42-153	['42-153', '42-154']	42-154	yes	RelationshipChange			
79	t'vervoeren	geraecken , daer door de gealtereerde ende verwijderde gemoederen in voorige gerustheijt ende patisique posture herstelt , ende alsoo [ t'vervoeren ] vande Nagelen int aenstaende mochte voorgecomen werden , soo lange niet gedisponeert sijn t'selue anders te beletten Schhtervolgende V Ed		42-175	['42-175']	No Span	yes	Transportation			
80	becomen	V. Ed : Gouuernements , Directien , Comptoiren ende Residentien in Jndia bij sonder beraemt , ende met hollandia [ becomen ] , hebben wij dvoors de tromme 1 Aoor bij enen 3 eeen Gecommitteerde mede gelast UEd : ordre desen ,		43-29	['43-29']	No Span	yes	Getting			
81	mede gegeuen	bevoirderen ende waer te nemen , gelijck V Ed : bij neuensgaende copie van onse Instructie , aende selue [ mede gegeuen ] , van d‛een ende d'ander naerder onderrichtinge sult connen becomen , Waer aen ons voirder gedraegen Van Jambij sijn	['47-35', '47-36']	47-35	['47-35', '47-36']	47-36	yes	Translocation			
88	mastelaos	Japan Godtloff . abel aengecomen sijn de Schepen Brasimus ende de Vreede . t Schip , de Vreede heel [ mastelaos ] , sijnde op 5â Draden bij N. den Aquinoctiael alle de masten ouer boort geblingert , ende in groot perijckel		52-28	['52-28']	No Span	yes	HavingInternalState-			
