,mention_span1,mention_span2,offsets1,offsets2,window1,window2
0,"['6-147', '6-148']",['6-148'],['6-145'],,"['6-144', '6-145', '6-146']",
1,['7-59'],['7-59'],,,,
2,['11-12'],['11-12'],,,,
3,"['10-226', '10-227', '10-228', '10-229']",['10-228'],,,,
4,['6-96'],['6-96'],,,,
5,"['8-12', '8-13']",['8-12'],,,,
6,"['11-56', '11-57', '11-58']",['11-57'],,,,
7,"['8-46', '8-47']",['8-46'],,,,
8,"['8-28', '8-29']",['8-28'],,,,
9,['10-274'],"['10-273', '10-274']",,,,
10,"['10-207', '10-208', '10-209', '10-210', '10-211']",['10-210'],,,,
11,"['10-95', '10-96']",['10-96'],,,,
12,"['7-4', '7-5', '7-6']","['7-4', '7-5', '7-6']",,,,
13,"['7-272', '7-273']",['7-273'],,,,
14,['6-118'],['6-118'],,,,
15,"['7-302', '7-303', '7-304', '7-305', '7-306']",['7-302'],,,,
16,['4-5'],['4-5'],,,,
17,"['9-108', '9-109', '9-110']",['9-108'],,,,
18,"['9-98', '9-99']","['9-98', '9-99']",,,,
19,"['6-207', '6-208']","['6-207', '6-208']",,,,
20,['8-288'],['8-288'],,,,
21,['6-105'],['6-105'],,,,
22,"['8-68', '8-69']",['8-69'],,,,
23,['10-46'],['10-46'],['10-40'],['10-47'],"['10-39', '10-40', '10-41']","['10-46', '10-47', '10-48']"
24,"['10-187', '10-188', '10-189', '10-190']","['10-187', '10-188']",,,,
25,"['11-78', '11-79', '11-80', '11-81', '11-82', '11-83', '11-84']",['11-84'],,,,
26,['6-31'],['6-31'],,['6-26'],,"['6-25', '6-26', '6-27']"
27,"['8-39', '8-40']",['8-40'],,,,
28,"['8-225', '8-226']",['8-225'],,,,
29,"['9-57', '9-58']",['9-58'],,,,
30,['8-153'],['8-153'],,,,
31,['5-51'],['5-51'],,,,
32,['11-96'],['11-96'],['11-92'],,"['11-91', '11-92', '11-93']",
33,"['7-34', '7-35']",['7-34'],,,,
34,"['9-253', '9-254']","['9-253', '9-254']",,,,
35,['4-66'],['4-66'],,,,
36,['7-17'],['7-17'],,['7-13'],,"['7-12', '7-13', '7-14']"
37,"['7-97', '7-98']",['7-98'],,,,
38,"['7-103', '7-104', '7-105']","['7-103', '7-104', '7-105']",,,,
39,"['10-150', '10-151']",['10-151'],['10-144'],,"['10-143', '10-144', '10-145']",
40,"['9-164', '9-165']",['9-165'],,,,
41,['6-90'],['6-90'],,,,
42,['7-258'],['7-258'],,,,
43,"['9-270', '9-271']",['9-270'],,,,
44,['10-61'],['10-61'],,,,
45,['8-164'],['8-164'],,,,
46,['6-187'],['6-187'],,,,
47,['9-5'],['9-5'],,,,
48,['8-106'],['8-106'],,,,
49,"['7-252', '7-253', '7-254', '7-255']","['7-253', '7-254', '7-255']",,,,
50,"['8-2', '8-3']",['8-3'],['8-1'],,"['8-0', '8-1', '8-2']",
51,['11-90'],['11-90'],,,,
52,['6-158'],['6-158'],,,,
53,"['9-148', '9-149']","['9-148', '9-149']",,,,
54,"['7-107', '7-108', '7-109', '7-110']","['7-108', '7-109', '7-110']",,,,
55,"['10-10', '10-11']","['10-10', '10-11']",,,,
56,['10-179'],['10-179'],,,,
57,['4-4'],['4-4'],['4-3'],,"['4-2', '4-3', '4-4']",
58,['10-106'],['10-106'],,['10-105'],,"['10-104', '10-105', '10-106']"
59,"['7-213', '7-214']",['7-214'],,,,
60,"['9-131', '9-132']",['9-132'],,,,
61,['8-34'],['8-34'],,,,
62,['6-248'],['6-248'],['6-246'],,"['6-245', '6-246', '6-247']",
63,['11-139'],['11-139'],,,,
64,['7-317'],['7-317'],,,,
65,['8-171'],['8-171'],['8-170'],,"['8-169', '8-170', '8-171']",
66,['6-240'],['6-240'],,,,
67,['9-43'],['9-43'],,,,
68,"['4-46', '4-47', '4-48']",['4-48'],,,,
69,['7-122'],"['7-121', '7-122']",,,,
70,"['6-154', '6-155', '6-156']",['6-156'],['6-152'],,"['6-151', '6-152', '6-153']",
71,"['10-124', '10-125']",['10-125'],,,,
72,['6-1'],"['5-52', '5-53', '6-1']",,,,
73,['10-217'],['10-217'],,['10-214'],,"['10-213', '10-214', '10-215']"
74,"['7-197', '7-198']",['7-197'],,,,
75,['9-230'],['9-230'],,,,
76,"['11-113', '11-114', '11-115', '11-116', '11-117', '11-118', '11-119', '11-120', '11-121']",['11-113'],['11-104'],,"['11-103', '11-104', '11-105']",
77,"['9-28', '9-29']",['9-29'],,,,
