,mention_span1,mention_span2,offsets1,offsets2,window1,window2
0,"['9-148', '9-149', '9-150', '9-151', '9-152']","['9-148', '9-149']",,,,
1,['6-285'],['6-285'],,,,
2,['11-96'],['11-96'],['11-92'],,"['11-91', '11-92', '11-93']",
3,['6-31'],['6-31'],,,,
4,"['7-213', '7-214']",['7-214'],,,,
5,"['10-273', '10-274']","['10-273', '10-274']",,,,
6,"['9-108', '9-109', '9-110']",['9-108'],,,,
7,"['7-103', '7-104', '7-105']",['7-104'],,,,
8,['11-90'],['11-90'],,,,
9,['6-90'],['6-90'],,,,
10,['6-68'],['6-68'],,,,
11,"['10-223', '10-224', '10-225']","['10-223', '10-224', '10-225']",,,,
12,['10-114'],['10-114'],,,,
13,['8-28'],['8-28'],,,,
14,"['6-154', '6-155', '6-156']","['6-155', '6-156']",['6-152'],,"['6-151', '6-152', '6-153']",
15,"['9-188', '9-189', '9-190', '9-191', '9-192']","['9-188', '9-189', '9-190', '9-191', '9-192']",,,,
16,['8-267'],['8-267'],['8-266'],['8-266'],"['8-265', '8-266', '8-267']","['8-265', '8-266', '8-267']"
17,"['9-98', '9-99']","['9-98', '9-99']",,,,
18,['11-76'],['11-76'],,,,
19,['6-105'],['6-105'],,,,
20,"['6-212', '6-213', '6-214', '6-215', '6-216']",['6-215'],,,,
21,['8-273'],['8-273'],,,,
22,"['10-200', '10-201', '10-202']",['10-202'],,,,
23,['8-106'],['8-106'],,,,
24,"['8-166', '8-167']",['8-167'],,,,
25,['8-164'],['8-164'],,,,
26,"['8-215', '8-216']","['8-215', '8-216']",,,,
27,"['9-160', '9-161']",['9-161'],,,,
28,['6-158'],['6-158'],,,,
29,"['7-242', '7-243', '7-244', '7-245', '7-246']",['7-246'],,,,
30,"['7-121', '7-122']",['7-122'],,,,
31,['7-147'],"['7-146', '7-147']",,,,
32,['10-106'],['10-106'],,,,
33,['6-240'],['6-240'],,,,
34,['6-96'],['6-96'],,,,
35,"['7-186', '7-187']",['7-187'],,,,
36,['8-6'],['8-6'],,,,
37,['4-66'],['4-66'],,,,
38,"['10-124', '10-125']",['10-125'],,,,
39,['10-151'],['10-151'],,,,
40,"['10-61', '10-62', '10-63']",['10-61'],,,,
41,"['6-247', '6-248']","['6-247', '6-248']",,['6-246'],,"['6-245', '6-246', '6-247']"
42,['6-228'],['6-228'],,,,
43,"['9-270', '9-271']","['9-270', '9-271']",,,,
44,['6-187'],['6-187'],,,,
45,"['7-125', '7-126', '7-127', '7-128', '7-129']",['7-129'],,,,
46,['6-148'],['6-148'],,"['6-145|6-139', '6-145']",,"[['6-144', '6-145|6-139', '6-146'], ['6-144', '6-145', '6-146']]"
47,"['10-85', '10-86', '10-87']","['10-86', '10-87']",,,,
48,['9-165'],['9-165'],,,,
49,['4-4'],['4-4'],['4-3'],['4-3'],"['4-2', '4-3', '4-4']","['4-2', '4-3', '4-4']"
50,"['8-46', '8-47']","['8-46', '8-47']",,,,
51,"['6-207', '6-208']","['6-207', '6-208']",,,,
52,['8-7'],['8-7'],,,,
53,['5-12'],['5-12'],,,,
54,['9-204'],['9-204'],,,,
55,['10-217'],['10-217'],,,,
56,['6-39'],['6-39'],,,,
57,['6-261'],['6-261'],,,,
58,['7-276'],['7-276'],,,,
59,['9-60'],"['9-60', '9-61', '9-62']",,,,
60,['7-17'],['7-17'],,,,
61,['11-154'],['11-154'],,,,
62,['5-51'],['5-51'],,,,
63,"['8-171', '8-172']",['8-171'],,,,
64,"['8-314', '8-315', '8-316']",['8-314'],,,,
65,['11-36'],['11-36'],,,,
66,['9-230'],['9-230'],,,,
67,['10-57'],['10-57'],,,,
68,['9-132'],['9-132'],,,,
69,"['9-105', '9-106']",['9-105'],,,,
70,"['7-197', '7-198']",['7-197'],,,,
71,['7-37'],['7-37'],,,,
72,['8-40'],['8-40'],,,,
73,['9-58'],['9-58'],,,,
74,['11-133'],['11-133'],['11-126'],,"['11-125', '11-126', '11-127']",
75,['5-23'],['5-23'],,['5-18'],,"['5-17', '5-18', '5-19']"
76,['7-78'],['7-78'],,,,
77,['8-34'],['8-34'],,,,
78,"['11-113', '11-114', '11-115', '11-116', '11-117', '11-118', '11-119', '11-120', '11-121']",['11-113'],['11-104'],,"['11-103', '11-104', '11-105']",
79,['11-149'],['11-149'],,,,
80,['8-72'],['8-72'],,,,
81,['11-47'],['11-47'],,,,
82,['7-258'],['7-258'],,,,
83,['9-94'],['9-94'],,['9-90'],,"['9-89', '9-90', '9-91']"
84,['8-153'],['8-153'],,,,
85,"['9-253', '9-254']","['9-253', '9-254']",,,,
86,['8-82'],"['8-82', '8-83']",,,,
87,"['6-129', '6-130', '6-131', '6-132']","['6-130', '6-131', '6-132']",,,,
88,"['11-56', '11-57', '11-58', '11-59', '11-60', '11-61', '11-62', '11-63']",['11-57'],,,,
89,"['11-138', '11-139']","['11-137', '11-138', '11-139']",,,,
90,['7-317'],['7-317'],,,,
91,"['8-281', '8-282', '8-283', '8-284']","['8-281', '8-282', '8-283', '8-284']",,,,
92,"['9-129', '9-130']",['9-129'],,,,
93,"['10-162', '10-163', '10-164', '10-165']","['10-162', '10-163', '10-164', '10-165']",['10-154'],['10-155'],"['10-153', '10-154', '10-155']","['10-154', '10-155', '10-156']"
94,['11-13'],['11-13'],,,,
95,['10-46'],['10-46'],['10-40'],,"['10-39', '10-40', '10-41']",
96,"['7-4', '7-5', '7-6']","['7-4', '7-5', '7-6']",,,,
97,['8-69'],['8-69'],,,,
98,['7-177'],['7-177'],,,,
99,"['10-20', '10-21', '10-22']","['10-20', '10-21']",,,,
100,"['10-95', '10-96']",['10-96'],,,,
101,['8-52'],['8-52'],,,,
