,mention_span1,mention_span2,offsets1,offsets2,window1,window2
0,['8-52'],['8-52'],,,,
1,['8-28'],['8-28'],,,,
2,['9-58'],['9-58'],,,,
3,['10-151'],['10-151'],,,,
4,['10-217'],['10-217'],,,,
5,['10-72'],"['10-72', '10-73', '10-74', '10-75']",,,,
6,['11-76'],['11-76'],,,,
7,['6-240'],['6-240'],,,,
8,['7-177'],['7-177'],,,,
9,['9-105'],['9-105'],,,,
10,['9-204'],['9-204'],,,,
11,['11-96'],['11-96'],['11-92'],,"['11-91', '11-92', '11-93']",
12,['4-5'],['4-5'],,['4-3'],,"['4-2', '4-3', '4-4']"
13,['4-66'],['4-66'],,,,
14,"['7-103', '7-104', '7-105']",['7-104'],,,,
15,"['10-10', '10-11']","['10-10', '10-11']",,,,
16,['10-225'],"['10-223', '10-224', '10-225']",,,,
17,['9-270'],"['9-270', '9-271']",,,,
18,['6-132'],"['6-130', '6-131', '6-132']",,,,
19,['8-225'],['8-225'],,,,
20,['7-98'],['7-98'],,,,
21,['6-220'],['6-220'],,,,
22,['8-119'],"['8-117', '8-118', '8-119']",,,,
23,['7-78'],['7-78'],,,,
24,['11-36'],['11-36'],,,,
25,['6-215'],['6-215'],,,,
26,['6-118'],['6-118'],,,,
27,['9-29'],['9-29'],,,,
28,"['9-148', '9-149']","['9-148', '9-149']",,,,
29,"['9-253', '9-254']","['9-253', '9-254']",,,,
30,['6-77'],['6-77'],,,,
31,['8-40'],['8-40'],,,,
32,['11-12'],['11-12'],,,,
33,['10-57'],['10-57'],,,,
34,"['10-162', '10-163', '10-164', '10-165']","['10-162', '10-163', '10-164', '10-165']",['10-154'],['10-155'],"['10-153', '10-154', '10-155']","['10-154', '10-155', '10-156']"
35,['11-113'],['11-113'],,['11-105'],,"['11-104', '11-105', '11-106']"
36,['9-94'],['9-94'],,['9-90'],,"['9-89', '9-90', '9-91']"
37,['8-82'],"['8-82', '8-83']",,,,
38,['6-90'],['6-90'],,,,
39,['11-13'],['11-13'],,,,
40,['10-46'],['10-46'],['10-40'],,"['10-39', '10-40', '10-41']",
