,mention_span1,mention_span2,offsets1,offsets2,window1,window2
0,['11-96'],['11-96'],,,,
1,['6-96'],['6-96'],,,,
2,['5-23'],"['5-22', '5-23']",,['5-32'],,"['5-31', '5-32', '5-33']"
3,['8-72'],['8-72'],,,,
4,['6-187'],['6-187'],,,,
5,"['6-207', '6-208']","['6-207', '6-208']",,,,
6,['6-31'],['6-31'],['6-26'],['6-26'],"['6-25', '6-26', '6-27']","['6-25', '6-26', '6-27']"
7,['6-215'],"['6-214', '6-215']",,,,
8,['10-125'],"['10-124', '10-125']",,,,
9,['6-39'],"['6-38', '6-39']",,,,
10,"['9-270', '9-271']","['9-270', '9-271']",,['9-262'],,"['9-261', '9-262', '9-263']"
11,"['8-82', '8-83']","['8-81', '8-82', '8-83']",,,,
12,['4-5'],['4-5'],,,,
13,['7-78'],"['7-78', '7-79']",,,,
14,['10-57'],['10-57'],,,,
15,"['11-137', '11-138', '11-139']",['11-138'],,,,
16,['7-187'],"['7-186', '7-187']",,,,
17,['7-317'],['7-317'],,['7-237'],,"['7-236', '7-237', '7-238']"
18,['8-167'],"['8-166', '8-167']",,,,
19,"['6-155', '6-156']","['6-154', '6-155', '6-156']",['6-154'],['6-154'],"['6-153', '6-154', '6-155']","['6-153', '6-154', '6-155']"
20,['7-276'],"['7-275', '7-276']",,,,
21,['10-202'],"['10-200', '10-201', '10-202']",,,,
22,['7-197'],"['7-197', '7-198']",['7-189'],['7-189'],"['7-188', '7-189', '7-190']","['7-188', '7-189', '7-190']"
23,['6-118'],['6-118'],,,,
24,['8-52'],['8-52'],['8-56'],['8-56'],"['8-55', '8-56', '8-57']","['8-55', '8-56', '8-57']"
25,['9-58'],"['9-57', '9-58']",,,,
26,['6-72'],['6-72'],,,,
27,"['7-160', '7-161', '7-162', '7-163']","['7-161', '7-162', '7-163']","['7-151', '7-156']",['7-150'],"[['7-150', '7-151', '7-152'], ['7-155', '7-156', '7-157']]","['7-149', '7-150', '7-151']"
28,['6-148'],"['6-147', '6-148']",,,,
29,['6-255'],['6-255'],,,,
30,['10-46'],['10-46'],['10-47'],['10-47'],"['10-46', '10-47', '10-48']","['10-46', '10-47', '10-48']"
31,['11-12'],['11-12'],,,,
32,"['10-10', '10-11']","['10-10', '10-11']",,,,
33,['11-13'],['11-13'],,,,
34,['7-214'],"['7-213', '7-214']",,,,
35,['9-105'],"['9-104', '9-105', '9-106']",,,,
36,"['8-46', '8-47']","['8-46', '8-47']",,,,
37,"['7-146', '7-147']","['7-146', '7-147']",['7-141'],,"['7-140', '7-141', '7-142']",
38,['8-6'],"['8-6', '8-7']",,,,
39,['6-68'],['6-68'],,,,
40,"['9-98', '9-99']","['9-98', '9-99']",,,,
41,['11-90'],['11-90'],,,,
42,['10-114'],['10-114'],,,,
43,['8-69'],"['8-68', '8-69']",,,,
44,['8-314'],"['8-310', '8-311', '8-312', '8-313', '8-314', '8-315', '8-316']",,,,
45,['4-4'],['4-4'],,,,
46,['8-106'],['8-106'],,,,
47,['8-28'],"['8-28', '8-29']",,,,
48,['7-34'],"['7-34', '7-35']",,,,
49,['7-273'],"['7-272', '7-273']",,,,
50,['11-76'],"['11-75', '11-76']",,,,
51,['10-106'],['10-106'],['10-105'],"['10-105', '10-98']","['10-104', '10-105', '10-106']","[['10-104', '10-105', '10-106'], ['10-97', '10-98', '10-99']]"
52,['4-66'],['4-66'],,,,
53,['7-258'],['7-258'],,,,
54,['8-40'],"['8-39', '8-40']",,,,
55,['7-104'],"['7-103', '7-104', '7-105']",['7-101'],['7-101'],"['7-100', '7-101', '7-102']","['7-100', '7-101', '7-102']"
56,['8-7'],"['8-6', '8-7']",,,,
57,"['11-137', '11-138', '11-139']",['11-139'],,,,
58,"['5-52', '5-53', '6-1']",['6-1'],,,,
59,['6-240'],['6-240'],,,,
60,['6-90'],['6-90'],,,,
61,['7-122'],['7-122'],,,,
62,"['7-4', '7-5', '7-6']","['7-4', '7-5', '7-6']",,,,
63,['6-261'],['6-261'],,,,
64,['8-171'],['8-171'],,,,
65,"['6-130', '6-131', '6-132']","['6-127', '6-128', '6-129', '6-130', '6-131', '6-132']",,,,
66,['7-98'],"['7-97', '7-98']",,,,
67,"['8-281', '8-282', '8-283', '8-284']","['8-281', '8-282', '8-283', '8-284']",,,,
68,['9-165'],"['9-164', '9-165']","['9-171', '9-167', '9-169']","['9-171', '9-169', '9-167']","[['9-170', '9-171', '9-172'], ['9-166', '9-167', '9-168'], ['9-168', '9-169', '9-170']]","[['9-170', '9-171', '9-172'], ['9-168', '9-169', '9-170'], ['9-166', '9-167', '9-168']]"
69,['11-36'],['11-36'],,,,
70,"['4-93', '4-94']","['4-93', '4-94']",,,,
71,['11-154'],"['11-153', '11-154']",,,,
72,['6-7'],['6-7'],,,,
73,['7-21'],"['7-19', '7-20', '7-21']",,,,
74,['10-151'],"['10-150', '10-151']",,,,
75,['6-228'],['6-228'],,,,
76,['5-51'],['5-51'],,,,
77,"['10-273', '10-274']",['10-274'],,['10-270'],,"['10-269', '10-270', '10-271']"
