,Unnamed: 0,mention,anchor_type,mention_token_id,mention_character_id,eventclass,Patient_offsets,Agent_offsets,Location_offsets,Time_offsets,AgentPatient_offsets,Benefactive_offsets,Cargo_offsets,Source_offsets,Target_offsets,Path_offsets,Instrument_offsets,mention_span,mention_span_ids,mention_in_context,eventclass_no_number,last_token_id
0,0,overgaanden,isOfType,4-4,259-270,Translocation,['4-5'],,,['4-3'],,,,,,,,overgaanden,['4-4'],"Weledele Gestrenge Heeren Raaden van Nederlandsch Indie Hoogedele Groot Achtbaere Heer Wel Edele gestrenge Heeren . Bij onzen thans [ overgaanden ] Eisch hebben wij 1200 lasten rijst gesteld , en wij gebruken de vrijheid de volstrekte noodzaakelijkheid daar van hier mede",Translocation,4-4
1,1,Eisch,evokes,4-5,271-276,Request,,['4-7'],,['4-3'],,,,,,,,Eisch,['4-5'],"Gestrenge Heeren Raaden van Nederlandsch Indie Hoogedele Groot Achtbaere Heer Wel Edele gestrenge Heeren . Bij onzen thans overgaanden [ Eisch ] hebben wij 1200 lasten rijst gesteld , en wij gebruken de vrijheid de volstrekte noodzaakelijkheid daar van hier mede nader",Request,4-5
2,2,gesteld,isOfType,4-11,306-313,Request,,['4-7'],,,,,,,,,,gesteld,['4-11'],"Hoogedele Groot Achtbaere Heer Wel Edele gestrenge Heeren . Bij onzen thans overgaanden Eisch hebben wij 1200 lasten rijst [ gesteld ] , en wij gebruken de vrijheid de volstrekte noodzaakelijkheid daar van hier mede nader eerbiedig aan te toonen : De",Request,4-11
3,3,gesteldheid,evokes,4-32,428-439,HavingInternalState-,['4-34'],,,,,,,,,,,gesteldheid,['4-32'],"en wij gebruken de vrijheid de volstrekte noodzaakelijkheid daar van hier mede nader eerbiedig aan te toonen : De [ gesteldheid ] van de Rust Kormandel , die steets onze graan schuur is , geweest is zoo onzeeker , dat daarop geen",HavingInternalState-,4-32
4,4,verwoest,isOfType,4-66,596-604,BeingDestroyed,['4-63'],,,,,,,,,,,verwoest,['4-66'],"zoo onzeeker , dat daarop geen de minste staat te maaken is . Daar bij is het land zodanig [ verwoest ] , dat men aldaar zelfs , en niet zonder reeden , Voor een honger nood beducht is , dus kunnen",BeingDestroyed,4-66
5,5,onder,evokes,4-93,723-728,Giving[151],['4-93'],['4-89'],,,,['4-87'],,,,,,onder stand,"['4-93', '4-94']","niet zonder reeden , Voor een honger nood beducht is , dus kunnen wij van daar geen de minste [ onder stand ] verwach „ De heer Kommandeur van Angelbeek heeft ons Wel seshonderd lasten rijst toegezegd , doch dezelve moeten in",Giving,4-94
6,6,stand,evokes,4-94,729-734,Giving[151],['4-93'],['4-89'],,,,['4-87'],,,,,,onder stand,"['4-93', '4-94']","niet zonder reeden , Voor een honger nood beducht is , dus kunnen wij van daar geen de minste [ onder stand ] verwach „ De heer Kommandeur van Angelbeek heeft ons Wel seshonderd lasten rijst toegezegd , doch dezelve moeten in",Giving,4-94
7,7,toegezegd,evokes,5-12,815-824,Giving,['5-9'],['5-1'],,,,['5-7'],,,,,,toegezegd,['5-12'],"daar geen de minste onder stand verwach „ De heer Kommandeur van Angelbeek heeft ons Wel seshonderd lasten rijst [ toegezegd ] , doch dezelve moeten in de aanstaande maand April Worden afgehaald , Wijl ner laater geen schip op de koettjiensche",Giving,5-12
8,8,afgehaald,isOfType,5-23,882-891,Transportation,['5-9'],,,['5-18'],,,,,,,,afgehaald,['5-23'],"van Angelbeek heeft ons Wel seshonderd lasten rijst toegezegd , doch dezelve moeten in de aanstaande maand April Worden [ afgehaald ] , Wijl ner laater geen schip op de koettjiensche rheede durf vertrouwen , en daar toe zien wij geen mogelijkheid",Transportation,5-23
9,9,afhaal,evokes,5-51,1038-1044,Transportation,,,,,,,,,,,['5-48'],afhaal,['5-51'],"koettjiensche rheede durf vertrouwen , en daar toe zien wij geen mogelijkheid , Vermits wij geen scheepen tot den [ afhaal ] aan harden hebben en Wanneer Wij dezelve ook hadden , zonden ze dog zonder een goed konvooij niet gewaagd Worden",Transportation,5-51
