,mention_span1,mention_span2,offsets1,offsets2,window1,window2
0,['7-214'],"['7-213', '7-214']",,,,
1,"['10-20', '10-21']","['10-20', '10-21', '10-22']",,,,
2,"['10-162', '10-163', '10-164', '10-165']","['10-162', '10-163', '10-164', '10-165']",,,,
3,['6-248'],"['6-247', '6-248']",,,,
4,['7-297'],['7-297'],,,,
5,['10-151'],['10-151'],,,,
6,['9-165'],['9-165'],"['9-171', '9-169']",,"[['9-170', '9-171', '9-172'], ['9-168', '9-169', '9-170']]",
7,['9-204'],['9-204'],,,,
8,"['10-273', '10-274']","['10-273', '10-274']",,,,
9,"['7-253', '7-254', '7-255']","['7-253', '7-254', '7-255']",,,,
10,['6-105'],['6-105'],,,,
11,['7-129'],"['7-125', '7-126', '7-127', '7-128', '7-129']",,,,
12,"['10-187', '10-188']","['10-187', '10-188']",,,,
13,['8-164'],['8-164'],,,,
14,['6-96'],['6-96'],,,,
15,['8-46'],"['8-46', '8-47']",,,,
16,"['10-200', '10-201', '10-202']","['10-200', '10-201', '10-202']",,,,
17,['8-7'],['8-7'],,,,
18,['10-57'],['10-57'],,,,
19,['7-242'],"['7-242', '7-243', '7-244', '7-245', '7-246']",,,,
20,['9-94'],['9-94'],,,,
21,['6-285'],['6-285'],,,,
22,['7-78'],['7-78'],,,,
23,['8-40'],['8-40'],,,,
24,['10-125'],"['10-124', '10-125']",,,,
25,['11-13'],['11-13'],,,,
26,['11-96'],['11-96'],,,,
27,['9-105'],"['9-105', '9-106']",,,,
28,['9-129'],"['9-129', '9-130']",,,,
29,['6-228'],['6-228'],,,,
30,['6-31'],['6-31'],['6-26'],,"['6-25', '6-26', '6-27']",
31,"['7-4', '7-5', '7-6']","['7-4', '7-5', '7-6']",,,,
32,['7-17'],['7-17'],['7-12'],,"['7-11', '7-12', '7-13']",
33,['8-12'],['8-12'],,,,
34,['6-17'],"['6-17', '6-18']",,,,
35,['4-4'],['4-4'],,,,
36,['8-267'],['8-267'],,,,
37,['8-3'],['8-3'],,,,
38,['8-28'],['8-28'],,,,
39,['8-82'],['8-82'],,,,
40,['11-12'],['11-12'],,,,
41,['4-48'],['4-48'],,,,
42,['10-217'],['10-217'],,,,
43,['10-87'],"['10-85', '10-86', '10-87']",,,,
44,['9-108'],"['9-108', '9-109', '9-110']",,,,
45,['11-154'],['11-154'],,,,
46,['6-132'],"['6-129', '6-130', '6-131', '6-132']",,,,
47,['9-58'],['9-58'],,,,
48,['8-292'],['8-292'],,,,
49,['7-197'],"['7-197', '7-198']",['7-189'],['7-182'],"['7-188', '7-189', '7-190']","['7-181', '7-182', '7-183']"
50,"['9-148', '9-149']","['9-148', '9-149', '9-150', '9-151', '9-152']",,,,
51,['7-258'],['7-258'],,,,
52,['8-314'],"['8-314', '8-315', '8-316']",,,,
53,['9-26'],['9-26'],,,,
54,['7-37'],['7-37'],,,,
55,['7-276'],['7-276'],,,,
56,['8-52'],['8-52'],['8-57'],['8-57'],"['8-56', '8-57', '8-58']","['8-56', '8-57', '8-58']"
57,"['9-253', '9-254']","['9-253', '9-254']",,,,
58,['10-61'],"['10-61', '10-62', '10-63']",,,,
59,['6-240'],['6-240'],,,,
60,"['8-281', '8-282', '8-283', '8-284']","['8-281', '8-282', '8-283', '8-284']",,,,
61,['8-69'],['8-69'],,,,
62,['8-106'],['8-106'],,,,
63,['8-34'],['8-34'],,,,
64,['8-91'],"['8-91', '8-92', '8-93', '8-94']",,,,
65,['7-34'],['7-34'],,,,
66,['11-90'],['11-90'],,,,
67,['6-90'],['6-90'],,,,
68,['10-96'],"['10-95', '10-96']",,,,
69,['11-139'],"['11-138', '11-139']",,,,
70,"['7-121', '7-122']","['7-121', '7-122']",,,,
71,['10-225'],"['10-223', '10-224', '10-225']",,,,
72,['10-242'],"['10-242', '10-243', '10-244']",,,,
73,['8-171'],"['8-171', '8-172']",,,,
74,['6-293'],['6-293'],['6-271'],,"['6-270', '6-271', '6-272']",
75,['6-261'],['6-261'],,,,
76,['7-98'],['7-98'],,,,
77,['10-106'],['10-106'],['10-105'],,"['10-104', '10-105', '10-106']",
78,['6-148'],['6-148'],,,,
79,['6-158'],['6-158'],,,,
80,['7-302'],"['7-302', '7-303', '7-304', '7-305', '7-306']",,,,
81,"['7-103', '7-104', '7-105']","['7-103', '7-104', '7-105']",['7-91'],,"['7-90', '7-91', '7-92']",
82,['7-289'],['7-289'],,,,
83,['7-232'],['7-232'],,,,
84,['7-317'],['7-317'],,,,
85,['9-43'],['9-43'],,,,
86,['5-23'],['5-23'],,,,
87,['6-165'],['6-165'],,,,
88,['7-187'],"['7-186', '7-187']",,,,
89,['9-230'],['9-230'],,,,
90,['11-36'],['11-36'],,,,
91,['5-12'],['5-12'],,,,
92,['10-114'],['10-114'],,,,
93,"['9-98', '9-99']","['9-98', '9-99']",,,,
94,"['6-207', '6-208']","['6-207', '6-208']",,,,
95,['8-273'],['8-273'],,,,
96,['6-156'],"['6-154', '6-155', '6-156']",,['6-154'],,"['6-153', '6-154', '6-155']"
97,['10-46'],['10-46'],['10-47'],['10-48'],"['10-46', '10-47', '10-48']","['10-47', '10-48', '10-49']"
98,['10-66'],"['10-65', '10-66', '10-67']",,,,
99,['4-66'],['4-66'],,,,
100,['7-163'],"['7-161', '7-162', '7-163']","['7-151', '7-156', '7-159']",['7-151'],"[['7-150', '7-151', '7-152'], ['7-155', '7-156', '7-157'], ['7-158', '7-159', '7-160']]","['7-150', '7-151', '7-152']"
101,['11-113'],"['11-113', '11-114', '11-115', '11-116', '11-117', '11-118', '11-119', '11-120', '11-121']",,,,
102,"['7-108', '7-109', '7-110']","['7-108', '7-109', '7-110']",['7-91'],,"['7-90', '7-91', '7-92']",
103,['9-270'],"['9-270', '9-271']",['9-261'],,"['9-260', '9-261', '9-262']",
104,['6-68'],['6-68'],,,,
105,['9-132'],['9-132'],,,,
106,['9-192'],"['9-188', '9-189', '9-190', '9-191', '9-192']",['9-188'],,"['9-187', '9-188', '9-189']",
107,['8-153'],['8-153'],,,,
108,['7-147'],['7-147'],,,,
109,"['10-10', '10-11']","['10-10', '10-11']",,,,
110,['5-51'],['5-51'],,,,
111,['8-175'],['8-175'],,,,
112,"['8-215', '8-216']","['8-215', '8-216']",,,,
113,['6-187'],['6-187'],,,,
114,['7-177'],['7-177'],,,,
115,['11-57'],"['11-56', '11-57', '11-58', '11-59', '11-60', '11-61', '11-62', '11-63']",,,,
116,['6-215'],"['6-212', '6-213', '6-214', '6-215', '6-216']",,,,
117,['11-47'],['11-47'],['11-54'],,"['11-53', '11-54', '11-55']",
118,['11-76'],['11-76'],,,,
