,Unnamed: 0,mention,anchor_type,mention_token_id,mention_character_id,eventclass,Patient_offsets,Agent_offsets,Location_offsets,Time_offsets,AgentPatient_offsets,Benefactive_offsets,Cargo_offsets,Source_offsets,Target_offsets,Path_offsets,Instrument_offsets,mention_span,mention_span_ids,mention_in_context,eventclass_no_number,last_token_id
0,0,overgaanden,isOfType,4-4,259-270,Translocation,['4-5'],,,,,,,,,,,overgaanden,['4-4'],"Weledele Gestrenge Heeren Raaden van Nederlandsch Indie Hoogedele Groot Achtbaere Heer Wel Edele gestrenge Heeren . Bij onzen thans [ overgaanden ] Eisch hebben wij 1200 lasten rijst gesteld , en wij gebruken de vrijheid de volstrekte noodzaakelijkheid daar van hier mede",Translocation,4-4
1,1,Eisch,isOfType,4-5,271-276,Request,,['4-7'],,,,,,,,,,Eisch,['4-5'],"Gestrenge Heeren Raaden van Nederlandsch Indie Hoogedele Groot Achtbaere Heer Wel Edele gestrenge Heeren . Bij onzen thans overgaanden [ Eisch ] hebben wij 1200 lasten rijst gesteld , en wij gebruken de vrijheid de volstrekte noodzaakelijkheid daar van hier mede nader",Request,4-5
2,2,onzeeker,isOfType,4-48,511-519,HavingInternalState-,['4-31'],,,,,,,,,,,onzeeker,['4-48'],"toonen : De gesteldheid van de Rust Kormandel , die steets onze graan schuur is , geweest is zoo [ onzeeker ] , dat daarop geen de minste staat te maaken is . Daar bij is het land zodanig verwoest , dat",HavingInternalState-,4-48
3,3,verwoest,isOfType,4-66,596-604,BeingDestroyed,['4-63'],,,,,,,,,,,verwoest,['4-66'],"zoo onzeeker , dat daarop geen de minste staat te maaken is . Daar bij is het land zodanig [ verwoest ] , dat men aldaar zelfs , en niet zonder reeden , Voor een honger nood beducht is , dus kunnen",BeingDestroyed,4-66
4,4,toegezegd,evokes,5-12,815-824,HavingContractualAgreement,"['5-1', '5-7']",,,,,,,,,,,toegezegd,['5-12'],"daar geen de minste onder stand verwach „ De heer Kommandeur van Angelbeek heeft ons Wel seshonderd lasten rijst [ toegezegd ] , doch dezelve moeten in de aanstaande maand April Worden afgehaald , Wijl ner laater geen schip op de koettjiensche",HavingContractualAgreement,5-12
5,5,afgehaald,evokes,5-23,882-891,Transportation,['5-15'],,,['5-17'],,,,,,,,afgehaald,['5-23'],"van Angelbeek heeft ons Wel seshonderd lasten rijst toegezegd , doch dezelve moeten in de aanstaande maand April Worden [ afgehaald ] , Wijl ner laater geen schip op de koettjiensche rheede durf vertrouwen , en daar toe zien wij geen mogelijkheid",Transportation,5-23
6,6,vertrouwen,evokes,5-35,952-962,Translocation,['5-29'],,,['5-27'],,,,,['5-31'],,,vertrouwen,['5-35'],"moeten in de aanstaande maand April Worden afgehaald , Wijl ner laater geen schip op de koettjiensche rheede durf [ vertrouwen ] , en daar toe zien wij geen mogelijkheid , Vermits wij geen scheepen tot den afhaal aan harden hebben en",Translocation,5-35
7,7,afhaal,evokes,5-51,1038-1044,Translocation,['5-48'],,,,,,,,,,,afhaal,['5-51'],"koettjiensche rheede durf vertrouwen , en daar toe zien wij geen mogelijkheid , Vermits wij geen scheepen tot den [ afhaal ] aan harden hebben en Wanneer Wij dezelve ook hadden , zonden ze dog zonder een goed konvooij niet gewaagd Worden",Translocation,5-51
8,8,aan,isOfType,5-52,1045-1048,HavingInPossession[221],['5-48'],['5-46'],,,,,,,,,,aan harden hebben,"['5-52', '5-53', '6-1']","rheede durf vertrouwen , en daar toe zien wij geen mogelijkheid , Vermits wij geen scheepen tot den afhaal [ aan harden hebben ] en Wanneer Wij dezelve ook hadden , zonden ze dog zonder een goed konvooij niet gewaagd Worden ,",HavingInPossession,6-1
9,9,harden,isOfType,5-53,1049-1055,HavingInPossession[221],['5-48'],['5-46'],,,,,,,,,,aan harden hebben,"['5-52', '5-53', '6-1']","rheede durf vertrouwen , en daar toe zien wij geen mogelijkheid , Vermits wij geen scheepen tot den afhaal [ aan harden hebben ] en Wanneer Wij dezelve ook hadden , zonden ze dog zonder een goed konvooij niet gewaagd Worden ,",HavingInPossession,6-1
