,mention_span1,mention_span2,offsets1,offsets2,window1,window2
0,"['9-270', '9-271']","['9-270', '9-271']",,,,
1,['6-248'],"['6-247', '6-248']",['6-246'],,"['6-245', '6-246', '6-247']",
2,"['9-148', '9-149']","['9-148', '9-149']",,,,
3,['8-171'],['8-171'],['8-170'],,"['8-169', '8-170', '8-171']",
4,['10-61'],['10-61'],,,,
5,"['6-207', '6-208']","['6-207', '6-208']",,,,
6,"['7-197', '7-198']",['7-197'],,,,
7,"['10-162', '10-163', '10-164', '10-165']","['10-162', '10-163', '10-164', '10-165']",['10-154'],['10-155'],"['10-153', '10-154', '10-155']","['10-154', '10-155', '10-156']"
8,"['6-214', '6-215']",['6-215'],,,,
9,"['7-19', '7-20', '7-21']",['7-21'],,,,
10,['9-94'],['9-94'],,['9-90'],,"['9-89', '9-90', '9-91']"
11,"['8-39', '8-40']",['8-40'],,,,
12,['6-96'],['6-96'],,,,
13,['4-4'],['4-4'],['4-3'],['4-3'],"['4-2', '4-3', '4-4']","['4-2', '4-3', '4-4']"
14,"['7-78', '7-79']",['7-78'],,,,
15,"['7-175', '7-176', '7-177']",['7-177'],,,,
16,['11-36'],['11-36'],,,,
17,['8-164'],['8-164'],,,,
18,"['10-200', '10-201', '10-202']",['10-202'],,,,
19,['7-17'],['7-17'],,,,
20,['6-255'],['6-255'],,,,
21,['10-106'],['10-106'],,,,
22,['9-225'],['9-225'],,,,
23,['10-57'],['10-57'],,,,
24,"['8-6', '8-7']",['8-7'],['8-1'],,"['8-0', '8-1', '8-2']",
25,"['8-46', '8-47']","['8-46', '8-47']",,,,
26,['11-12'],['11-12'],,,,
27,"['7-107', '7-108', '7-109', '7-110']","['7-108', '7-109', '7-110']",,,,
28,"['7-186', '7-187']",['7-187'],,,,
29,['11-13'],['11-13'],,,,
30,['6-158'],['6-158'],,,,
31,"['9-104', '9-105', '9-106']",['9-105'],,,,
32,"['11-75', '11-76']",['11-76'],,,,
33,"['10-95', '10-96']",['10-96'],,,,
34,['7-122'],['7-122'],,,,
35,['6-240'],['6-240'],,,,
36,"['7-146', '7-147']","['7-146', '7-147']",,,,
37,['11-133'],['11-133'],['11-126'],,"['11-125', '11-126', '11-127']",
38,"['9-164', '9-165']",['9-165'],,,,
39,"['7-128', '7-129']",['7-129'],,,,
40,['4-5'],['4-5'],,['4-3'],,"['4-2', '4-3', '4-4']"
41,['7-317'],['7-317'],,,,
42,['11-96'],['11-96'],['11-92'],,"['11-91', '11-92', '11-93']",
43,['6-7'],['6-7'],,['6-3'],,"['6-2', '6-3', '6-4']"
44,"['8-6', '8-7']",['8-6'],['8-1'],,"['8-0', '8-1', '8-2']",
45,"['11-153', '11-154']",['11-154'],,,,
46,"['10-124', '10-125']",['10-125'],,,,
47,"['6-127', '6-128', '6-129', '6-130', '6-131', '6-132']","['6-130', '6-131', '6-132']",,,,
48,"['10-150', '10-151']",['10-151'],['10-144'],,"['10-143', '10-144', '10-145']",
49,"['9-131', '9-132']",['9-132'],,,,
50,['6-72'],['6-72'],,,,
51,"['9-191', '9-192']","['9-188', '9-189', '9-190', '9-191', '9-192']",,,,
52,['11-138'],"['11-137', '11-138', '11-139']",,,,
53,['8-106'],['8-106'],,,,
54,['6-105'],['6-105'],,,,
55,['10-217'],['10-217'],,,,
56,"['7-272', '7-273']",['7-273'],,,,
57,"['6-38', '6-39']",['6-39'],,,,
58,['8-267'],['8-267'],['8-266'],['8-266'],"['8-265', '8-266', '8-267']","['8-265', '8-266', '8-267']"
59,['6-1'],"['5-52', '5-53', '6-1']",,,,
60,"['5-22', '5-23']",['5-23'],['5-17'],,"['5-16', '5-17', '5-18']",
61,"['8-81', '8-82', '8-83']","['8-82', '8-83']",,,,
62,"['6-285', '6-286']",['6-285'],,,,
63,"['7-213', '7-214']",['7-214'],,,,
64,"['11-46', '11-47']",['11-47'],,,,
65,['7-37'],['7-37'],,,,
66,"['7-34', '7-35']",['7-34'],,,,
67,"['9-28', '9-29']",['9-29'],,,,
68,"['9-203', '9-204', '9-205', '9-206']",['9-204'],,,,
69,"['9-253', '9-254']","['9-253', '9-254']",,,,
70,"['10-10', '10-11']","['10-10', '10-11']",,,,
71,"['9-57', '9-58']",['9-58'],,,,
72,"['10-20', '10-21', '10-22', '10-23', '10-24']","['10-20', '10-21']",['10-17'],,"['10-16', '10-17', '10-18']",
73,"['8-166', '8-167']",['8-167'],,,,
74,['8-72'],['8-72'],,,,
75,['5-51'],['5-51'],,,,
76,"['7-161', '7-162', '7-163']","['7-160', '7-161', '7-162', '7-163']",,,,
77,['6-31'],['6-31'],,,,
78,['6-228'],['6-228'],,,,
79,"['8-281', '8-282', '8-283', '8-284']","['8-281', '8-282', '8-283', '8-284']",,,,
80,"['10-86', '10-87']","['10-86', '10-87']",['10-78'],,"['10-77', '10-78', '10-79']",
81,['9-230'],['9-230'],,,,
82,['6-68'],['6-68'],,,,
83,['6-118'],['6-118'],,,,
84,"['7-97', '7-98']",['7-98'],,,,
85,['7-71'],['7-71'],,,,
86,['8-34'],['8-34'],,,,
87,"['8-68', '8-69']",['8-69'],,,,
88,['10-114'],['10-114'],,,,
89,"['6-147', '6-148']",['6-148'],['6-145'],,"['6-144', '6-145', '6-146']",
90,"['8-28', '8-29']",['8-28'],,,,
91,"['11-56', '11-57', '11-58']",['11-57'],,,,
92,['6-90'],['6-90'],,,,
93,['7-258'],['7-258'],,,,
94,"['9-129', '9-130']",['9-129'],,,,
95,['11-139'],"['11-137', '11-138', '11-139']",,,,
96,['6-187'],['6-187'],,,,
97,"['7-4', '7-5', '7-6']","['7-4', '7-5', '7-6']",,,,
98,['10-274'],"['10-273', '10-274']",,,,
99,"['7-103', '7-104', '7-105']",['7-104'],,,,
100,"['9-98', '9-99']","['9-98', '9-99']",,,,
101,"['9-108', '9-109', '9-110']",['9-108'],,,,
102,['6-261'],['6-261'],,,,
103,"['7-275', '7-276']",['7-276'],,,,
104,['4-66'],['4-66'],,,,
105,['6-198'],['6-198'],,,,
106,"['8-310', '8-311', '8-312', '8-313', '8-314', '8-315', '8-316']",['8-314'],,,,
107,['8-273'],['8-273'],,,,
108,"['4-93', '4-94']","['4-93', '4-94']",,,,
109,"['11-113', '11-114', '11-115', '11-116', '11-117', '11-118', '11-119', '11-120', '11-121']",['11-113'],['11-104'],,"['11-103', '11-104', '11-105']",
110,"['6-164', '6-165']",['6-165'],,,,
111,['10-46'],['10-46'],['10-40'],,"['10-39', '10-40', '10-41']",
112,['8-153'],['8-153'],,,,
113,"['8-225', '8-226']",['8-225'],,,,
114,"['6-154', '6-155', '6-156']","['6-155', '6-156']",['6-152'],,"['6-151', '6-152', '6-153']",
115,['10-75'],"['10-72', '10-73', '10-74', '10-75']",,,,
116,['11-90'],['11-90'],,,,
117,['8-52'],['8-52'],,,,
