,mention_span1,mention_span2,offsets1,offsets2,window1,window2
0,['7-197'],['7-197'],,,,
1,['7-129'],['7-129'],,,,
2,['6-156'],"['6-155', '6-156']",,,,
3,['11-57'],['11-57'],,,,
4,['7-71'],['7-71'],,,,
5,['6-215'],['6-215'],,,,
6,"['6-207', '6-208']","['6-207', '6-208']",,,,
7,"['10-200', '10-201', '10-202']",['10-202'],,,,
8,['10-96'],['10-96'],,,,
9,['7-187'],['7-187'],,,,
10,['10-106'],['10-106'],,,,
11,['11-12'],['11-12'],,,,
12,['9-58'],['9-58'],,,,
13,"['5-52', '5-53', '6-1']","['5-52', '5-53', '6-1']",,,,
14,['6-7'],['6-7'],,['6-3'],,"['6-2', '6-3', '6-4']"
15,['8-40'],['8-40'],,,,
16,['8-171'],['8-171'],['8-170'],,"['8-169', '8-170', '8-171']",
17,['8-267'],['8-267'],['8-266'],['8-266'],"['8-265', '8-266', '8-267']","['8-265', '8-266', '8-267']"
18,['9-132'],['9-132'],,,,
19,['10-217'],['10-217'],,,,
20,['6-158'],['6-158'],,,,
21,['6-285'],['6-285'],,,,
22,['7-37'],['7-37'],,,,
23,['6-90'],['6-90'],,,,
24,['9-94'],['9-94'],,['9-90'],,"['9-89', '9-90', '9-91']"
25,['11-47'],['11-47'],,,,
26,['6-148'],['6-148'],,"['6-145|6-139', '6-145']",,"[['6-145|6-139'], ['6-144', '6-145', '6-146']]"
27,['7-276'],['7-276'],,,,
28,['11-96'],['11-96'],['11-92'],,"['11-91', '11-92', '11-93']",
29,['10-225'],"['10-223', '10-224', '10-225']",,,,
30,['10-61'],['10-61'],,,,
31,"['9-98', '9-99']","['9-98', '9-99']",,,,
32,['8-273'],['8-273'],,,,
33,['6-118'],['6-118'],,,,
34,['10-125'],['10-125'],,,,
35,"['7-4', '7-5', '7-6']","['7-4', '7-5', '7-6']",,,,
36,['8-46'],"['8-46', '8-47']",,,,
37,['9-105'],['9-105'],,,,
38,['10-46'],['10-46'],['10-40'],,"['10-39', '10-40', '10-41']",
39,['7-34'],['7-34'],,,,
40,['10-114'],['10-114'],,,,
41,['10-72'],"['10-72', '10-73', '10-74', '10-75']",,,,
42,"['6-268', '6-269']","['6-268', '6-269']",,,,
43,['6-96'],['6-96'],,,,
44,['4-5'],['4-5'],,['4-3'],,"['4-2', '4-3', '4-4']"
45,['8-314'],['8-314'],,,,
46,"['7-103', '7-104', '7-105']",['7-104'],,,,
47,['6-77'],['6-77'],,,,
48,"['7-121', '7-122']",['7-122'],,,,
49,['8-28'],['8-28'],,,,
50,['6-165'],['6-165'],,,,
51,['10-151'],['10-151'],,,,
52,['6-132'],"['6-130', '6-131', '6-132']",,,,
53,['9-270'],"['9-270', '9-271']",,,,
54,['6-293'],['6-293'],,,,
55,['6-72'],['6-72'],,,,
56,['6-240'],['6-240'],,,,
57,['6-228'],['6-228'],,,,
58,"['8-215', '8-216']","['8-215', '8-216']",,,,
59,['7-214'],['7-214'],,,,
60,['5-23'],['5-23'],,['5-18'],,"['5-17', '5-18', '5-19']"
61,['8-52'],['8-52'],,,,
62,['7-258'],['7-258'],,,,
63,['7-163'],"['7-160', '7-161', '7-162', '7-163']",,,,
64,['11-36'],['11-36'],,,,
65,['4-66'],['4-66'],,,,
66,['6-220'],['6-220'],,,,
67,['6-261'],['6-261'],,,,
68,['7-147'],"['7-146', '7-147']",,,,
69,['11-90'],['11-90'],,,,
70,['9-192'],"['9-188', '9-189', '9-190', '9-191', '9-192']",,,,
71,['7-98'],['7-98'],,,,
72,['11-113'],['11-113'],,['11-105'],,"['11-104', '11-105', '11-106']"
73,['10-87'],"['10-86', '10-87']",,,,
74,['6-105'],['6-105'],,,,
75,"['10-162', '10-163', '10-164', '10-165']","['10-162', '10-163', '10-164', '10-165']",['10-154'],['10-155'],"['10-153', '10-154', '10-155']","['10-154', '10-155', '10-156']"
76,"['10-10', '10-11']","['10-10', '10-11']",,,,
77,"['9-148', '9-149']","['9-148', '9-149']",,,,
78,['9-204'],['9-204'],,,,
79,['5-51'],['5-51'],,,,
80,"['8-281', '8-282', '8-283', '8-284']","['8-281', '8-282', '8-283', '8-284']",,,,
81,['7-177'],['7-177'],,,,
82,['8-69'],['8-69'],,,,
83,['9-230'],['9-230'],,,,
84,['11-139'],"['11-137', '11-138', '11-139']",,,,
85,['4-4'],['4-4'],['4-3'],['4-3'],"['4-2', '4-3', '4-4']","['4-2', '4-3', '4-4']"
86,['8-82'],"['8-82', '8-83']",,,,
87,['8-119'],"['8-117', '8-118', '8-119']",,,,
88,['11-13'],['11-13'],,,,
89,['9-108'],['9-108'],,,,
90,['9-129'],['9-129'],,,,
91,['6-31'],['6-31'],,,,
92,"['7-108', '7-109', '7-110']","['7-108', '7-109', '7-110']",,,,
93,"['10-273', '10-274']","['10-273', '10-274']",,,,
94,['8-7'],['8-7'],,,,
95,['5-12'],['5-12'],,,,
96,['6-187'],['6-187'],,,,
97,['6-68'],['6-68'],,,,
98,['11-154'],['11-154'],,,,
99,['6-248'],"['6-247', '6-248']",['6-246'],,"['6-245', '6-246', '6-247']",
100,['10-57'],['10-57'],,,,
101,"['10-20', '10-21']","['10-20', '10-21']",,,,
102,['9-165'],['9-165'],,,,
103,['11-76'],['11-76'],,,,
104,['7-273'],['7-273'],,,,
105,['8-34'],['8-34'],,,,
106,['8-153'],['8-153'],,,,
107,['7-297'],['7-297'],,,,
108,['7-78'],['7-78'],,,,
109,['7-317'],['7-317'],,,,
110,['9-29'],['9-29'],,,,
111,['8-225'],['8-225'],,,,
112,['7-17'],['7-17'],,,,
113,['8-164'],['8-164'],,,,
114,"['9-253', '9-254']","['9-253', '9-254']",,,,
115,['8-106'],['8-106'],,,,
