,mention_span1,mention_span2,offsets1,offsets2,window1,window2
0,"['8-81', '8-82', '8-83']","['8-82', '8-83']",,,,
1,['5-51'],['5-51'],,,,
2,"['9-164', '9-165']",['9-165'],,,,
3,"['11-153', '11-154']",['11-154'],,,,
4,['11-13'],['11-13'],,,,
5,"['9-253', '9-254']","['9-253', '9-254']",,,,
6,"['6-38', '6-39']",['6-39'],,,,
7,['4-66'],['4-66'],,,,
8,"['10-200', '10-201', '10-202']",['10-202'],,,,
9,"['6-127', '6-128', '6-129', '6-130', '6-131', '6-132']","['6-130', '6-131', '6-132']",,,,
10,"['9-191', '9-192']","['9-188', '9-189', '9-190', '9-191', '9-192']",,,,
11,['4-4'],['4-4'],['4-3'],['4-3'],"['4-2', '4-3', '4-4']","['4-2', '4-3', '4-4']"
12,['6-105'],['6-105'],,,,
13,['9-94'],['9-94'],,['9-90'],,"['9-89', '9-90', '9-91']"
14,['10-57'],['10-57'],,,,
15,['10-274'],"['10-273', '10-274']",,,,
16,"['8-6', '8-7']",['8-6'],['8-1'],,"['8-0', '8-1', '8-2']",
17,"['8-68', '8-69']",['8-69'],,,,
18,['6-72'],['6-72'],,,,
19,"['8-6', '8-7']",['8-7'],['8-1'],,"['8-0', '8-1', '8-2']",
20,['11-96'],['11-96'],['11-92'],,"['11-91', '11-92', '11-93']",
21,"['6-285', '6-286']",['6-285'],,,,
22,['6-7'],['6-7'],,['6-3'],,"['6-2', '6-3', '6-4']"
23,"['7-4', '7-5', '7-6']","['7-4', '7-5', '7-6']",,,,
24,['8-273'],['8-273'],,,,
25,"['9-98', '9-99']","['9-98', '9-99']",,,,
26,['6-255'],['6-255'],,,,
27,"['10-124', '10-125']",['10-125'],,,,
28,['11-12'],['11-12'],,,,
29,"['7-186', '7-187']",['7-187'],,,,
30,"['8-46', '8-47']","['8-46', '8-47']",,,,
31,"['7-128', '7-129']",['7-129'],,,,
32,"['7-175', '7-176', '7-177']",['7-177'],,,,
33,"['9-131', '9-132']",['9-132'],,,,
34,"['11-113', '11-114', '11-115', '11-116', '11-117', '11-118', '11-119', '11-120', '11-121']",['11-113'],['11-104'],,"['11-103', '11-104', '11-105']",
35,"['7-213', '7-214']",['7-214'],,,,
36,"['10-86', '10-87']","['10-86', '10-87']",['10-78'],,"['10-77', '10-78', '10-79']",
37,['6-240'],['6-240'],,,,
38,['7-71'],['7-71'],,,,
39,"['8-39', '8-40']",['8-40'],,,,
40,"['11-75', '11-76']",['11-76'],,,,
41,"['6-147', '6-148']",['6-148'],['6-145'],,"['6-144', '6-145', '6-146']",
42,['11-139'],"['11-137', '11-138', '11-139']",,,,
43,"['7-197', '7-198']",['7-197'],,,,
44,"['8-166', '8-167']",['8-167'],,,,
45,"['7-97', '7-98']",['7-98'],,,,
46,"['10-10', '10-11']","['10-10', '10-11']",,,,
47,"['7-107', '7-108', '7-109', '7-110']","['7-108', '7-109', '7-110']",,,,
48,"['10-20', '10-21', '10-22', '10-23', '10-24']","['10-20', '10-21']",['10-17'],,"['10-16', '10-17', '10-18']",
49,"['7-78', '7-79']",['7-78'],,,,
50,['6-198'],['6-198'],,,,
51,['6-90'],['6-90'],,,,
52,['6-261'],['6-261'],,,,
53,['10-61'],['10-61'],,,,
54,['6-248'],"['6-247', '6-248']",['6-246'],,"['6-245', '6-246', '6-247']",
55,['10-217'],['10-217'],,,,
56,['8-106'],['8-106'],,,,
57,['10-75'],"['10-72', '10-73', '10-74', '10-75']",,,,
58,"['9-203', '9-204', '9-205', '9-206']",['9-204'],,,,
59,"['10-95', '10-96']",['10-96'],,,,
60,"['9-57', '9-58']",['9-58'],,,,
61,"['9-129', '9-130']",['9-129'],,,,
62,['7-122'],['7-122'],,,,
63,['4-5'],['4-5'],,['4-3'],,"['4-2', '4-3', '4-4']"
64,['6-96'],['6-96'],,,,
65,['8-267'],['8-267'],['8-266'],['8-266'],"['8-265', '8-266', '8-267']","['8-265', '8-266', '8-267']"
66,['6-31'],['6-31'],,,,
67,"['10-150', '10-151']",['10-151'],['10-144'],,"['10-143', '10-144', '10-145']",
68,"['9-28', '9-29']",['9-29'],,,,
69,['9-230'],['9-230'],,,,
70,['7-258'],['7-258'],,,,
71,"['7-272', '7-273']",['7-273'],,,,
72,"['7-34', '7-35']",['7-34'],,,,
73,['11-36'],['11-36'],,,,
74,['8-34'],['8-34'],,,,
75,['6-1'],"['5-52', '5-53', '6-1']",,,,
76,['7-17'],['7-17'],,,,
77,"['7-103', '7-104', '7-105']",['7-104'],,,,
78,"['8-225', '8-226']",['8-225'],,,,
79,"['8-281', '8-282', '8-283', '8-284']","['8-281', '8-282', '8-283', '8-284']",,,,
