	mention_span	mention_in_context	mention_span_ids	mention_token_id	mention_ids	last_token_id	Should this mention be annotated as an event?	If so, which event class should the mention be annotated with?	If not, why not?	If span incorrect, provide correct span	comments 
3	d'aencompete	840 . pica rouwe Chineesche sijde , ende 332 xxi0 xx 0 . copter . e. e e Op [ d'aencompete ] gemelter Schepen hebben , dadelijck met den Raedt ouerleijdt , off niet oorbaer ende raedtsaem soude wesen , noch een		12-91	['12-91']	No Span	yes	Arriving			
8	d'affvaerdinge	te mogen beloopen . & Waerop aen d‛een sijde Ingesien sijnde , hoe voor t'verloop vanden gelimiteerden tijdt op [ d'affvaerdinge ] der Retour Schepen naer t ' Naderslandt , ( achtervolgende V Ed : aduisen met Bollandia Jongst van daer becomen		12-168	['12-168']	No Span	yes	Leaving			
9	seijl reedt te crijgen	Ed : aduisen met Bollandia Jongst van daer becomen niet wel doenlijck soude sijn een Schip tot gemelte Voijagie [ seijl reedt te crijgen ] ; daer beneffens dat Jegenwoordich geen andere RetourSchepen Schepen bijder handt hebben als Vianen ende t'wapen van	['12-199', '12-200', '12-201', '12-202']	12-199	['12-199', '12-200', '12-201', '12-202']	12-202	no		This does not describe an event listed in the ontology		
13	seer schaers	t'wapens suffirante tot t ' Voijagie nae tvaderblandt vaderblandt seer getwijffelt werdt . Item dat Jegenwoordich ouer Gants Jndia [ seer schaers ] van Varend ' volck voorsien , sijn . Ende sal men d'ordinarij handel plaetsen naer behooren waernemen , het	['12-244', '12-245']	12-244	['12-244', '12-245']	12-245	no		This does not describe an event listed in the ontology		
15	attenueren	. Ende sal men d'ordinarij handel plaetsen naer behooren waernemen , het sober getal vandien niet meer dient te [ attenueren ] ; Noch principal ende bouen al , dat men vreest v. Ed : ordre van ter bequamer tijt op onse		12-272	['12-272']	No Span	yes	Decreasing			
16	om te loopen	dat men vreest v. Ed : ordre van ter bequamer tijt op onse Landen comende , achter Engelandt , [ om te loopen ] , door de moetwil ende rebellije van't Scheepsvolck ( welck gemeenl op de thuijs-reijse de meester maeckt ,	['12-299', '12-300', '12-301']	12-299	['12-299', '12-300', '12-301']	12-301	yes	Translocation			
19	rebellije	ter bequamer tijt op onse Landen comende , achter Engelandt , om te loopen , door de moetwil ende [ rebellije ] van't Scheepsvolck ( welck gemeenl op de thuijs-reijse de meester maeckt , ende d'Ouericheijt Hetten voorschrijft niet behoorlijck achtervolcht ,		12-307	['12-307']	No Span	yes	Unrest			
22	achter om te loopen	maer de cours recht door t'Canael nae Nederlandt gestelt mocht werden , al schoon het tijts genouch eynam om [ achter om te loopen ] . In voegen , dat ons om voorverhaelde consideratien eenichsints beswaert woirden de syde dus laet met	['12-347', '12-348', '12-349', '12-350']	12-347	['12-347', '12-348', '12-349', '12-350']	12-350	yes	Translocation			
31	toecomen	bescheijden aff te vaerdigen . Almogende gelieue UEd : e dit ende de vooraffgebondene Schepen in salko te laten [ toecomen ] . 22 . Otp 20en . Nouembr . is hier van Patane wel aengecomen t ' Jacht de Griffoen (:		12-491	['12-491']	No Span	yes	Translocation			
34	seijnder	tijt in dat quartier gants weijnichte doen is , ende niet noodich wesen sal , t'naeste Jaer derrewaerts weder [ seijnder ] seijnder De Rijs was daer uijt der maten dier ; De toataneten vreesen alsnoch dat den Atchinder van Gueda te		17-38.1	['17-38.1']	No Span	yes	Transportation			
45	onvoorsien	, Soo dat de Molucq , Amboina ende Banida gelijck mede wij hier in Battra . noch een Jaer [ onvoorsien ] sullen moeten blijven . Ofs oock acpparent dat V. Ed : mede in twee Jaeren geen retour van daer becomen		20-92	['20-92']	No Span	no		This does not describe an event listed in the ontology		
46	becomen	sullen moeten blijven . Ofs oock acpparent dat V. Ed : mede in twee Jaeren geen retour van daer [ becomen ] sullen ende dat vermidts V Ed : eijgen deffectueusheijt int derrewaerts beschicken van de Jaerlijcx geeijschte capitalen ... d'E Leeuwwinne		20-112	['20-112']	No Span	yes	Getting			
47	gegeven	in Maij a.o . 1628 . gereedt wesen ; Ouer de 32 . E Pagoden hadden d'onse op leueringe [ gegeven ] ee Om de Zuijdt waren de drije Naijcken vereinicht , waer door aipparent is den Standt in die Quartieren vrij		22-33	['22-33']	No Span	yes	Giving			op levering geven?
51	Qquardt tractement	soo dier , als in lange Jaren niet geweest is Pr. Madilwals . continueerden de Mooren haere Monovolien ende [ Qquardt tractement ] t'ontwaerts ; Met niemant anders dan met drije deee pachters , mochten d'onse aldaer handelen ; Ende noch werdt	['24-36', '24-37']	24-36	['24-36', '24-37']	24-37	no		This does not describe an event listed in the ontology		? het is mij niet helemaal duidelijk wat tractement in deze context betekent. slechte behandeling?
54	opgedicongen	; Met niemant anders dan met drije deee pachters , mochten d'onse aldaer handelen ; Ende noch werdt haer [ opgedicongen ] sulcken sorteringe als sij selfs willen : Waer tegen met soete middelen niet te doen is . Soo de liberteijt		24-58	['24-58']	No Span	no		This does not describe an event listed in the ontology		Opgedwongen, maar niet een actie maar goederen (sorteringen) worden opgedwongen. dus niet ForceToAct. Wacht het opdwingen van goederen, evokes Giving?
60	constringeren	houden , om ons van t'iloorsche loorsche - Vaertuijch te verseeckeren , en de Grooten bij dien middel te [ constringeren ] tot restauratie vande geleden Interesten ende schaden , mitsgaders Dat ons den vrijen ende onbecommerden handel in Masilicat nam gedoogen		30-37	['30-37']	No Span	yes	ForceToAct			
61	schaden	- Vaertuijch te verseeckeren , en de Grooten bij dien middel te constringeren tot restauratie vande geleden Interesten ende [ schaden ] , mitsgaders Dat ons den vrijen ende onbecommerden handel in Masilicat nam gedoogen . Nae d'onse vande custe aduiseren ,		30-44	['30-44']	No Span	no	Damaging			Do we use damaging for intangible objects such as trade? or damaging a relationship? If we do, this should be yes.
62	ouerlast doen	den handel in Malilipals , daer door niet lange sullen deruen : De Grootste Mooren die ons de meeste [ ouerlast doen ] , sijn de geene , twelcke de voorneemste capitalen nae Mocha , Atchin , Regu ende elders teiqueren ,	['30-94', '30-95']	30-94	['30-94', '30-95']	30-95	yes	BeingInConflict			?
64	teiqueren	ouerlast doen , sijn de geene , twelcke de voorneemste capitalen nae Mocha , Atchin , Regu ende elders [ teiqueren ] , sij mogen den handel op dese Quartieren veel min dan Wij Marilwats . deruen . U Ed : aduijs		30-113	['30-113']	No Span	yes	BeingInConflict			
65	veel min	voorneemste capitalen nae Mocha , Atchin , Regu ende elders teiqueren , sij mogen den handel op dese Quartieren [ veel min ] dan Wij Marilwats . deruen . U Ed : aduijs aengaende t'redres van dese saecke , sullen daerop gaerne	['30-122', '30-123']	30-122	['30-122', '30-123']	30-123	no		This does not describe an event listed in the ontology		
67	deruen	, Regu ende elders teiqueren , sij mogen den handel op dese Quartieren veel min dan Wij Marilwats . [ deruen ] . U Ed : aduijs aengaende t'redres van dese saecke , sullen daerop gaerne hooren . eeveee Der neuens gaende		30-128	['30-128']	No Span	no		This does not describe an event listed in the ontology		Misschien dat ik mis heb wat derven betekent.
68	becomen	sullen daerop gaerne hooren . eeveee Der neuens gaende copie van missiue ouer de Custe Choromme . van Surarte [ becomen ] , sullen u Ed : dien hoe d'onse aldaer sonder Negotie saten , belast sijnde met 200 O gl .		32-14	['32-14']	No Span	yes	Arriving			
71	drijuen	in prijs gedaelt , conden geene vercoopen , dan tot leegen Phris Ambeine Banda Js Almigon eicht bij paliacatte [ drijuen ] d'Engelschen Engelschen haren handel , welcke plaetse haer soo : dienstich is , als ons Paliacatte . Op haer versouck		35-6	['35-6']	No Span	no		The span selection is incorrect	handel	I would annotate handel in "handel drijven"
