,mention,anchor_type,mention_token_id,mention_character_id,eventclass,Patient_offsets,Agent_offsets,Location_offsets,Time_offsets,AgentPatient_offsets,Benefactive_offsets,Cargo_offsets,Source_offsets,Target_offsets,Path_offsets,Instrument_offsets,mention_span,mention_span_ids,mention_in_context,eventclass_no_number,last_token_id
0,gescheijden,isOfType,12-35,410-421,Leaving,None,None,['12-34'],['12-28[79]'],None,None,None,None,None,None,"['12-13[70]', '12-18[74]', '12-22[76]', '12-16[72]', '12-26[78]']",gescheijden,['12-35'],", Twdapen van Eelff , s'landts hollandia ende de Galias den 12en November past in Compe van Battania- Battania [ gescheijden ] , ende den 15en . do door de strate Sunda geraeckt sijn hier Godt loff den 17en . ende 21e",Leaving,12-35
1,geraeckt,isOfType,12-46,464-472,TransLocation[234],None,None,['12-42[81]'],['12-39[80]'],None,None,None,None,None,None,"['12-22[75]', '12-18[73]', '12-26[77]', '12-13[69]', '12-16[71]']",geraeckt sijn,"['12-46', '12-47']","12en November past in Compe van Battania- Battania gescheijden , ende den 15en . do door de strate Sunda [ geraeckt sijn ] hier Godt loff den 17en . ende 21e . l. van Teijouhan ende Jappan successiue- wel aengecomen t'Jacht Erabinus",TransLocation,12-47
2,sijn,isOfType,12-47,473-477,TransLocation[234],None,None,['12-42[81]'],['12-39[80]'],None,None,None,None,None,None,"['12-22[75]', '12-18[73]', '12-26[77]', '12-13[69]', '12-16[71]']",geraeckt sijn,"['12-46', '12-47']","12en November past in Compe van Battania- Battania gescheijden , ende den 15en . do door de strate Sunda [ geraeckt sijn ] hier Godt loff den 17en . ende 21e . l. van Teijouhan ende Jappan successiue- wel aengecomen t'Jacht Erabinus",TransLocation,12-47
3,aengecomen,isOfType,12-64,560-570,Arriving,None,None,None,['12-52[83]'],None,None,"['12-74[87]', '12-82[88]']","['12-59', '12-61']",None,None,"['12-68[86]', '12-65[85]']",aengecomen,['12-64'],"Sunda geraeckt sijn hier Godt loff den 17en . ende 21e . l. van Teijouhan ende Jappan successiue- wel [ aengecomen ] t'Jacht Erabinus ende t'Schip de Vreede t'samen geladen met 840 . pica rouwe Chineesche sijde , ende 332 xxi0 .",Arriving,12-64
4,aencompete,evokes,12-91.1,704-714,Arriving,None,None,None,None,None,None,None,None,None,None,None,aencompete,['12-91.1'],"geladen met 840 . pica rouwe Chineesche sijde , ende 332 xxi0 . copter . e. e e Op [ aencompete ] aencompete gemelter Schepen hebben , dadelijck met den Raedt ouerleijdt , off niet oorbaer ende raedtsaem soude wesen , noch",Arriving,12-91.1
5,nae,isOfType,12-135,963-966,Transportation[235],['12-114[91]'],None,None,None,None,None,['12-118[93]'],None,None,None,['12-111[89]'],nae te seijnden,"['12-135', '12-136', '12-137']",", beneffens de becomene aduijsen van Teijouhan , ende — Japan , opt ' spoedichste de bouen gemelte Vloote [ nae te seijnden ] , om deselue noch t'sij dan aende Cabo ofte St. Sdelena te mogen beloopen . & Waerop aen",Transportation,12-137
6,te,isOfType,12-136,967-969,Transportation[235],['12-114[91]'],None,None,None,None,None,['12-118[93]'],None,None,None,['12-111[89]'],nae te seijnden,"['12-135', '12-136', '12-137']",", beneffens de becomene aduijsen van Teijouhan , ende — Japan , opt ' spoedichste de bouen gemelte Vloote [ nae te seijnden ] , om deselue noch t'sij dan aende Cabo ofte St. Sdelena te mogen beloopen . & Waerop aen",Transportation,12-137
7,seijnden,isOfType,12-137,970-978,Transportation[235],['12-114[91]'],None,None,None,None,None,['12-118[93]'],None,None,None,['12-111[89]'],nae te seijnden,"['12-135', '12-136', '12-137']",", beneffens de becomene aduijsen van Teijouhan , ende — Japan , opt ' spoedichste de bouen gemelte Vloote [ nae te seijnden ] , om deselue noch t'sij dan aende Cabo ofte St. Sdelena te mogen beloopen . & Waerop aen",Transportation,12-137
8,beloopen,isOfType,12-151,1044-1052,TransLocation,None,None,None,None,None,None,None,None,None,None,None,beloopen,['12-151'],"bouen gemelte Vloote nae te seijnden , om deselue noch t'sij dan aende Cabo ofte St. Sdelena te mogen [ beloopen ] . & Waerop aen d‛een sijde Ingesien sijnde , hoe voor t'verloop vanden gelimiteerden tijdt op d'affvaerdinge der Retour Schepen",TransLocation,12-151
9,Voijagie,evokes,12-198,1326-1334,Voyage,None,None,None,None,None,None,None,None,None,None,None,Voijagie,['12-198'],V Ed : aduisen met Bollandia Jongst van daer becomen niet wel doenlijck soude sijn een Schip tot gemelte [ Voijagie ] seijl reedt te crijgen ; daer beneffens dat Jegenwoordich geen andere RetourSchepen bijder handt hebben als Vianen ende t'wapen van,Voyage,12-198
10,Voijagie,evokes,12-231,1529-1537,Voyage,None,None,None,None,None,None,None,None,['12-233'],None,None,Voijagie,['12-231'],"handt hebben als Vianen ende t'wapen van Boorn , alleen , behaluen dat van t'wapens suffirante tot t ' [ Voijagie ] nae tvaderblandt seer getwijffelt werdt . Item dat Jegenwoordich ouer Gants Jndia seer schaers van Varend ' volck voorsien ,",Voyage,12-231
11,thuijs-reijse,evokes,12-315,2006-2019,Voyage,None,None,None,None,None,None,None,None,None,None,None,thuijs-reijse,['12-315'],"achter Engelandt , om te loopen , door de moetwil ende rebellije van't Scheepsvolck ( welck gemeenl op de [ thuijs-reijse ] de meester maeckt , ende d'Ouericheijt Hetten voorschrijft niet behoorlijck achtervolcht , maer de cours recht door t'Canael nae Nederlandt",Voyage,12-315
12,cours,evokes,12-330,2119-2124,Voyage,None,None,None,None,None,None,None,None,['12-335'],None,None,cours,['12-330'],"welck gemeenl op de thuijs-reijse de meester maeckt , ende d'Ouericheijt Hetten voorschrijft niet behoorlijck achtervolcht , maer de [ cours ] recht door t'Canael nae Nederlandt gestelt mocht werden , al schoon het tijts genouch eynam om achter om te loopen",Voyage,12-330
13,teseijnden,isOfType,12-371,2358-2368,Transportation,['12-363[94]'],None,None,None,None,None,None,None,None,None,['12-368[95]'],teseijnden,['12-371'],"In voegen , dat ons om voorverhaelde consideratien eenichsints beswaert woirden de syde dus laet met een Schip ouer [ teseijnden ] . Doch aen d'ander sijde ouerwogen , soo noodich het sij V Ed : tegen haere Excessiue lasten , met",Transportation,12-371
14,fourneren,isOfType,12-428,2696-2705,Giving,['12-412[96]'],None,None,None,None,None,None,None,None,None,None,fourneren,['12-428'],"animeren sal omme de requisite capitalen , tot Vigorenter vervolch vandien aduantagieusen handel int ' aenstaende des t'onbecrompener te [ fourneren ] , hebben euenwel goedt gevonden , t'Schip Vranen opt ' spoedichste met 384½. 384½ Nicol sijde 1 331 ... r.",Giving,12-428
15,aff,isOfType,12-473,2923-2926,Transportation[236],None,None,None,None,None,None,"['12-441[98]', '12-467[102]', '12-444[99]', '12-457[101]', '12-452[100]']",None,None,None,['12-435[97]'],aff te vaerdigen,"['12-473', '12-474', '12-475']","Sacken , perper 20 6 1 8 .. lb . Salpeter : beneffens de noodige aduisen , ende bescheijden [ aff te vaerdigen ] . Almogende gelieue UEd : e dit ende de vooraffgebondene Schepen in salko te laten toecomen . 22",Transportation,12-475
16,te,isOfType,12-474,2927-2929,Transportation[236],None,None,None,None,None,None,"['12-441[98]', '12-467[102]', '12-444[99]', '12-457[101]', '12-452[100]']",None,None,None,['12-435[97]'],aff te vaerdigen,"['12-473', '12-474', '12-475']","Sacken , perper 20 6 1 8 .. lb . Salpeter : beneffens de noodige aduisen , ende bescheijden [ aff te vaerdigen ] . Almogende gelieue UEd : e dit ende de vooraffgebondene Schepen in salko te laten toecomen . 22",Transportation,12-475
17,vaerdigen,isOfType,12-475,2930-2939,Transportation[236],None,None,None,None,None,None,"['12-441[98]', '12-467[102]', '12-444[99]', '12-457[101]', '12-452[100]']",None,None,None,['12-435[97]'],aff te vaerdigen,"['12-473', '12-474', '12-475']","Sacken , perper 20 6 1 8 .. lb . Salpeter : beneffens de noodige aduisen , ende bescheijden [ aff te vaerdigen ] . Almogende gelieue UEd : e dit ende de vooraffgebondene Schepen in salko te laten toecomen . 22",Transportation,12-475
18,aengecomen,isOfType,13-11,3083-3093,Arriving,None,None,None,['13-2[103]'],None,None,['13-20[107]'],['13-9[104]'],None,None,['13-12[106]'],aengecomen,['13-11'],"Schepen in salko te laten toecomen . 22 . Otp 20en . Nouembr . is hier van Patane wel [ aengecomen ] t ' Jacht de Griffoen (: geladen met 670 . Baren Ppeper , welck vrij wat dier connot denen W",Arriving,13-11
