,mention,anchor_type,mention_token_id,mention_character_id,eventclass,Patient_offsets,Agent_offsets,Location_offsets,Time_offsets,AgentPatient_offsets,Benefactive_offsets,Cargo_offsets,Source_offsets,Target_offsets,Path_offsets,Instrument_offsets,mention_span,mention_span_ids,mention_in_context,eventclass_no_number,last_token_id
0,gaende,isOfType,12-8,254-260,Transportation,['12-2[66]'],None,None,None,None,None,None,['12-34'],None,None,['12-11[68]'],gaende,['12-8'],": Erentfebte , Achtbare , wijse , voorsienige seer discrete Heeren Qulans Tsedert onsen Jongsten hier neuens in copie [ gaende ] ) met de Schepen Frederick Benrick , Bollandia , Twdapen van Eelff , s'landts hollandia ende de Galias den 12en",Transportation,12-8
1,geraeckt,isOfType,12-46,464-472,BeingAtAPlace,['12-11[67]'],None,['12-43[69]'],None,None,None,None,None,None,None,None,geraeckt,['12-46'],"12en November past in Compe van Battania- Battania gescheijden , ende den 15en . do door de strate Sunda [ geraeckt ] sijn hier Godt loff den 17en . ende 21e . l. van Teijouhan ende Jappan successiue- wel aengecomen t'Jacht Jacht",BeingAtAPlace,12-46
2,aengecomen,*,12-64,560-570,Arriving,None,['12-65[71]'],['12-48'],None,None,None,None,['12-59[70]'],None,None,None,aengecomen,['12-64'],"Sunda geraeckt sijn hier Godt loff den 17en . ende 21e . l. van Teijouhan ende Jappan successiue- wel [ aengecomen ] t'Jacht Jacht Erabinus ende t'Schip Schip de Vreede t'samen geladen met 840 . pica rouwe Chineesche Chineesch sijde , ende",Arriving,12-64
3,840,isOfType,12-74,631-634,*[155],None,None,None,None,None,None,None,None,None,None,None,"840 . pica rouwe Chineesche sijde , ende 332 xxi0 . copter","['12-74', '12-75', '12-76', '12-77', '12-78', '12-79', '12-80', '12-81', '12-82', '12-83', '12-84', '12-85']","l. van Teijouhan ende Jappan successiue- wel aengecomen t'Jacht Jacht Erabinus ende t'Schip Schip de Vreede t'samen geladen met [ 840 . pica rouwe Chineesche sijde , ende 332 xxi0 . copter ] copter . e. e e Op d'aencompete gemelter Schepen",*,12-85
4,.,isOfType,12-75,635-636,*[155],None,None,None,None,None,None,None,None,None,None,None,"840 . pica rouwe Chineesche sijde , ende 332 xxi0 . copter","['12-74', '12-75', '12-76', '12-77', '12-78', '12-79', '12-80', '12-81', '12-82', '12-83', '12-84', '12-85']","l. van Teijouhan ende Jappan successiue- wel aengecomen t'Jacht Jacht Erabinus ende t'Schip Schip de Vreede t'samen geladen met [ 840 . pica rouwe Chineesche sijde , ende 332 xxi0 . copter ] copter . e. e e Op d'aencompete gemelter Schepen",*,12-85
5,pica,isOfType,12-76,637-641,*[155],None,None,None,None,None,None,None,None,None,None,None,"840 . pica rouwe Chineesche sijde , ende 332 xxi0 . copter","['12-74', '12-75', '12-76', '12-77', '12-78', '12-79', '12-80', '12-81', '12-82', '12-83', '12-84', '12-85']","l. van Teijouhan ende Jappan successiue- wel aengecomen t'Jacht Jacht Erabinus ende t'Schip Schip de Vreede t'samen geladen met [ 840 . pica rouwe Chineesche sijde , ende 332 xxi0 . copter ] copter . e. e e Op d'aencompete gemelter Schepen",*,12-85
6,rouwe,isOfType,12-77,642-647,*[155],None,None,None,None,None,None,None,None,None,None,None,"840 . pica rouwe Chineesche sijde , ende 332 xxi0 . copter","['12-74', '12-75', '12-76', '12-77', '12-78', '12-79', '12-80', '12-81', '12-82', '12-83', '12-84', '12-85']","l. van Teijouhan ende Jappan successiue- wel aengecomen t'Jacht Jacht Erabinus ende t'Schip Schip de Vreede t'samen geladen met [ 840 . pica rouwe Chineesche sijde , ende 332 xxi0 . copter ] copter . e. e e Op d'aencompete gemelter Schepen",*,12-85
7,Chineesche,isOfType,12-78,648-658,*[155],None,None,None,None,None,None,None,None,None,None,None,"840 . pica rouwe Chineesche sijde , ende 332 xxi0 . copter","['12-74', '12-75', '12-76', '12-77', '12-78', '12-79', '12-80', '12-81', '12-82', '12-83', '12-84', '12-85']","l. van Teijouhan ende Jappan successiue- wel aengecomen t'Jacht Jacht Erabinus ende t'Schip Schip de Vreede t'samen geladen met [ 840 . pica rouwe Chineesche sijde , ende 332 xxi0 . copter ] copter . e. e e Op d'aencompete gemelter Schepen",*,12-85
8,sijde,isOfType,12-79,659-664,*[155],None,None,None,None,None,None,None,None,None,None,None,"840 . pica rouwe Chineesche sijde , ende 332 xxi0 . copter","['12-74', '12-75', '12-76', '12-77', '12-78', '12-79', '12-80', '12-81', '12-82', '12-83', '12-84', '12-85']","l. van Teijouhan ende Jappan successiue- wel aengecomen t'Jacht Jacht Erabinus ende t'Schip Schip de Vreede t'samen geladen met [ 840 . pica rouwe Chineesche sijde , ende 332 xxi0 . copter ] copter . e. e e Op d'aencompete gemelter Schepen",*,12-85
9,",",isOfType,12-80,665-666,*[155],None,None,None,None,None,None,None,None,None,None,None,"840 . pica rouwe Chineesche sijde , ende 332 xxi0 . copter","['12-74', '12-75', '12-76', '12-77', '12-78', '12-79', '12-80', '12-81', '12-82', '12-83', '12-84', '12-85']","l. van Teijouhan ende Jappan successiue- wel aengecomen t'Jacht Jacht Erabinus ende t'Schip Schip de Vreede t'samen geladen met [ 840 . pica rouwe Chineesche sijde , ende 332 xxi0 . copter ] copter . e. e e Op d'aencompete gemelter Schepen",*,12-85
