,mention,anchor_type,mention_token_id,mention_character_id,eventclass,Patient_offsets,Agent_offsets,Location_offsets,Time_offsets,AgentPatient_offsets,Benefactive_offsets,Cargo_offsets,Source_offsets,Target_offsets,Path_offsets,Instrument_offsets,mention_span,mention_span_ids,mention_in_context,eventclass_no_number,last_token_id
0,gescheijden,isOfType,12-35,410-421,Leaving,None,['12-13[59]'],['12-34[63]'],['12-28[61]'],None,None,None,None,None,None,None,gescheijden,['12-35'],", Twdapen van Eelff , s'landts hollandia ende de Galias den 12en November past in Compe van Battania- Battania [ gescheijden ] , ende den 15en . do door de strate Sunda geraeckt sijn hier Godt loff den 17en . ende 21e",Leaving,12-35
1,geraeckt,evokes,12-46,464-472,TransLocation,['12-13[60]'],None,['12-42[64]'],['12-39'],None,None,None,None,None,None,None,geraeckt,['12-46'],"12en November past in Compe van Battania- Battania gescheijden , ende den 15en . do door de strate Sunda [ geraeckt ] sijn hier Godt loff den 17en . ende 21e . l. l van Teijouhan ende Jappan successiue- wel aengecomen t'Jacht",TransLocation,12-46
2,aengecomen,isOfType,12-64,560-570,Arriving,None,['12-65[66]'],None,['12-52'],None,None,['12-74[67]'],['12-59[65]'],['12-48'],None,None,aengecomen,['12-64'],"geraeckt sijn hier Godt loff den 17en . ende 21e . l. l van Teijouhan ende Jappan successiue- wel [ aengecomen ] t'Jacht Jacht Erabinus ende t'Schip Schip de Vreede t'samen geladen met 840 . pica rouwe Chineesche sijde , ende 332",Arriving,12-64
3,ouerleijdt,isOfType,12-100,765-775,SocialInteraction,['12-98[68]'],['12-98[68]'],None,None,['12-98[68]'],None,None,None,None,None,None,ouerleijdt,['12-100'],"ende 332 xxi0 . copter . e. e e Op d'aencompete gemelter Schepen hebben , dadelijck met den Raedt [ ouerleijdt ] , off niet oorbaer ende raedtsaem soude wesen , noch een Schap met partije sijde , beneffens de becomene aduijsen",SocialInteraction,12-100
4,seijnden,isOfType,12-137,970-978,Transportation,['12-114[69]'],None,None,None,None,None,None,None,None,None,['12-112'],seijnden,['12-137'],"de becomene aduijsen van Teijouhan , ende — Japan , opt ' spoedichste de bouen gemelte Vloote nae te [ seijnden ] , om deselue noch t'sij dan aende Cabo ofte St. Sdelena te mogen beloopen . & Waerop aen d‛een sijde",Transportation,12-137
5,moetwil,evokes,12-305,1942-1949,Uprising[200],None,['12-309'],None,None,None,None,None,None,None,None,None,moetwil ende rebellije,"['12-305', '12-306', '12-307']","ordre van ter bequamer tijt op onse Landen comende , achter Engelandt , om te loopen , door de [ moetwil ende rebellije ] van't Scheepsvolck ( welck gemeenl op de thuijs-reijse de meester maeckt , ende d'Ouericheijt Hetten voorschrijft niet behoorlijck",Uprising,12-307
6,ende,evokes,12-306,1950-1954,Uprising[200],None,['12-309'],None,None,None,None,None,None,None,None,None,moetwil ende rebellije,"['12-305', '12-306', '12-307']","ordre van ter bequamer tijt op onse Landen comende , achter Engelandt , om te loopen , door de [ moetwil ende rebellije ] van't Scheepsvolck ( welck gemeenl op de thuijs-reijse de meester maeckt , ende d'Ouericheijt Hetten voorschrijft niet behoorlijck",Uprising,12-307
7,rebellije,evokes,12-307,1955-1964,Uprising[200],None,['12-309'],None,None,None,None,None,None,None,None,None,moetwil ende rebellije,"['12-305', '12-306', '12-307']","ordre van ter bequamer tijt op onse Landen comende , achter Engelandt , om te loopen , door de [ moetwil ende rebellije ] van't Scheepsvolck ( welck gemeenl op de thuijs-reijse de meester maeckt , ende d'Ouericheijt Hetten voorschrijft niet behoorlijck",Uprising,12-307
8,seijnden,isOfType,12-371.1,2360-2368,Transportation,['12-364'],None,None,['12-366'],None,None,None,None,None,None,['12-369'],seijnden,['12-371.1'],"In voegen , dat ons om voorverhaelde consideratien eenichsints beswaert woirden de syde dus laet met een Schip ouer [ seijnden ] seijnden . Doch aen d'ander sijde ouerwogen , soo noodich het sij V Ed : tegen haere Excessiue lasten ,",Transportation,12-371.1
9,aff,isOfType,12-473,2923-2926,Transportation[201],['12-441[72]'],None,None,['12-437[71]'],None,None,None,None,None,None,['12-435[70]'],aff te vaerdigen,"['12-473', '12-474', '12-475']","Sacken , perper 20 6 1 8 .. lb . Salpeter : beneffens de noodige aduisen , ende bescheijden [ aff te vaerdigen ] . Almogende gelieue UEd : e dit ende de vooraffgebondene Schepen in salko te laten toecomen . 22",Transportation,12-475
