,mention,anchor_type,mention_token_id,mention_character_id,eventclass,Patient_offsets,Agent_offsets,Location_offsets,Time_offsets,AgentPatient_offsets,Benefactive_offsets,Cargo_offsets,Source_offsets,Target_offsets,Path_offsets,Instrument_offsets,mention_span,mention_span_ids,mention_in_context,eventclass_no_number,last_token_id
0,gescheijden,isOfType,12-35,410-421,Leaving,None,['12-12[72]'],None,['12-27[74]'],None,None,None,None,None,None,None,gescheijden,['12-35'],", Twdapen van Eelff , s'landts hollandia ende de Galias den 12en November past in Compe van Battania- Battania [ gescheijden ] , ende den 15en . do door de strate Sunda geraeckt sijn hier Godt loff den 17en . ende 21e",Leaving,12-35
1,geraeckt,*,12-46,464-472,Arriving,None,['12-12[73]'],['12-43[95]'],['12-38[93]'],None,None,None,['12-34[75]'],None,None,None,geraeckt,['12-46'],"12en November past in Compe van Battania- Battania gescheijden , ende den 15en . do door de strate Sunda [ geraeckt ] sijn hier Godt loff den 17en . ende 21e . l. van Teijouhan ende Jappan successiue- successiue wel aengecomen t'Jacht",Arriving,12-46
2,aengecomen,isOfType,12-64,560-570,Arriving,None,['12-65[103]'],['12-34[76]'],['12-52[99]'],None,None,['12-74[108]'],['12-59[100]'],None,None,None,aengecomen,['12-64'],"geraeckt sijn hier Godt loff den 17en . ende 21e . l. van Teijouhan ende Jappan successiue- successiue wel [ aengecomen ] t'Jacht Erabinus ende t'Schip de Vreede t'samen geladen met 840 . pica rouwe Chineesche sijde , ende 332 xxi0 xx",Arriving,12-64
3,d'aencompete,evokes,12-91,702-714,Arriving,None,['12-65[104]'],None,None,None,None,None,None,None,None,None,d'aencompete,['12-91'],"840 . pica rouwe Chineesche sijde , ende 332 xxi0 xx 0 . copter . e. e e Op [ d'aencompete ] gemelter Schepen hebben , dadelijck met den Raedt ouerleijdt , off niet oorbaer ende raedtsaem soude wesen , noch een",Arriving,12-91
4,nae,isOfType,12-135,963-966,Transportation[302],None,None,None,None,None,None,['12-115'],None,None,None,['12-110[112]'],nae te seijnden,"['12-135', '12-136', '12-137']",", beneffens de becomene aduijsen van Teijouhan , ende — Japan , opt ' spoedichste de bouen gemelte Vloote [ nae te seijnden ] , om deselue noch t'sij dan aende Cabo ofte St. Sdelena te mogen beloopen . & Waerop aen",Transportation,12-137
5,te,isOfType,12-136,967-969,Transportation[302],None,None,None,None,None,None,['12-115'],None,None,None,['12-110[112]'],nae te seijnden,"['12-135', '12-136', '12-137']",", beneffens de becomene aduijsen van Teijouhan , ende — Japan , opt ' spoedichste de bouen gemelte Vloote [ nae te seijnden ] , om deselue noch t'sij dan aende Cabo ofte St. Sdelena te mogen beloopen . & Waerop aen",Transportation,12-137
6,seijnden,isOfType,12-137,970-978,Transportation[302],None,None,None,None,None,None,['12-115'],None,None,None,['12-110[112]'],nae te seijnden,"['12-135', '12-136', '12-137']",", beneffens de becomene aduijsen van Teijouhan , ende — Japan , opt ' spoedichste de bouen gemelte Vloote [ nae te seijnden ] , om deselue noch t'sij dan aende Cabo ofte St. Sdelena te mogen beloopen . & Waerop aen",Transportation,12-137
7,beloopen,isOfType,12-151,1044-1052,Arriving,None,['12-140'],['12-145[113]'],None,None,None,None,None,None,None,None,beloopen,['12-151'],"bouen gemelte Vloote nae te seijnden , om deselue noch t'sij dan aende Cabo ofte St. Sdelena te mogen [ beloopen ] . & Waerop aen d‛een sijde Ingesien sijnde , hoe voor t'verloop vanden gelimiteerden tijdt op d'affvaerdinge der Retour Schepen",Arriving,12-151
8,d'affvaerdinge,*,12-168,1147-1161,Transportation,None,None,None,None,None,None,None,None,['12-175[117]'],None,['12-169[114]'],d'affvaerdinge,['12-168'],"te mogen beloopen . & Waerop aen d‛een sijde Ingesien sijnde , hoe voor t'verloop vanden gelimiteerden tijdt op [ d'affvaerdinge ] der Retour Schepen naer t ' Naderslandt , ( achtervolgende V Ed : aduisen met Bollandia Jongst van daer becomen",Transportation,12-168
9,seijl,isOfType,12-199,1335-1340,Repairing[303],['12-194[118]'],None,None,None,None,None,None,None,None,None,None,seijl reedt te crijgen,"['12-199', '12-200', '12-201', '12-202']",Ed : aduisen met Bollandia Jongst van daer becomen niet wel doenlijck soude sijn een Schip tot gemelte Voijagie [ seijl reedt te crijgen ] ; daer beneffens dat Jegenwoordich geen andere RetourSchepen Schepen bijder handt hebben als Vianen ende t'wapen van,Repairing,12-202
10,reedt,isOfType,12-200,1341-1346,Repairing[303],['12-194[118]'],None,None,None,None,None,None,None,None,None,None,seijl reedt te crijgen,"['12-199', '12-200', '12-201', '12-202']",Ed : aduisen met Bollandia Jongst van daer becomen niet wel doenlijck soude sijn een Schip tot gemelte Voijagie [ seijl reedt te crijgen ] ; daer beneffens dat Jegenwoordich geen andere RetourSchepen Schepen bijder handt hebben als Vianen ende t'wapen van,Repairing,12-202
