,mention,anchor_type,mention_token_id,mention_character_id,eventclass,Patient_offsets,Agent_offsets,Location_offsets,Time_offsets,AgentPatient_offsets,Benefactive_offsets,Cargo_offsets,Source_offsets,Target_offsets,Path_offsets,Instrument_offsets,mention_span,mention_span_ids,mention_in_context,eventclass_no_number,last_token_id
0,toecomen,isOfType,1-5,25-33,Translocation,None,None,None,None,None,None,None,None,None,None,None,toecomen,['1-5'],"te Edele , Erntfeste , manh= Wel wijse :/ voorsienige , en seer Genereuse Heer debvoir kennise te laten [ toecomen ] , Even als wij bij die van den 20„e xb : haer nopende de zijde Leverantie voor dit 9 Jaer",Translocation,1-5
1,Leverantie,evokes,1-21,95-105,Trade,['1-19[106]'],None,None,None,None,None,None,None,None,None,None,Leverantie,['1-21'],"kennise te laten toecomen , Even als wij bij die van den 20„e xb : haer nopende de zijde [ Leverantie ] voor dit 9 Jaer hebben gedaen , en g'ordonneerd , die des mogelijk in de moolen te helpen , ook",Trade,1-21
2,g'ordonneerd,isOfType,1-30,140-152,ForceToAct,None,None,None,None,None,None,None,None,None,None,None,g'ordonneerd,['1-30'],"die van den 20„e xb : haer nopende de zijde Leverantie voor dit 9 Jaer hebben gedaen , en [ g'ordonneerd ] , die des mogelijk in de moolen te helpen , ook gequalificeerd , soo dat niet Lucken wilde ; en",ForceToAct,1-30
3,Leverantie,evokes,1-60,303-313,Trade,['1-58[110]'],None,None,None,None,None,None,None,None,None,None,Leverantie,['1-60'],"ook gequalificeerd , soo dat niet Lucken wilde ; en mier sahit inhamet halsterrig en oneanderlijk op de zijde [ Leverantie ] aendrong die te ontfangen , sampt bij die van den 29„e daer aen volgende en 15„e Jan : haer indagtigd",Trade,1-60
4,aendrong,isOfType,1-61,314-322,ForceToAct,None,['1-51[107]'],None,None,None,None,None,None,None,None,None,aendrong,['1-61'],"gequalificeerd , soo dat niet Lucken wilde ; en mier sahit inhamet halsterrig en oneanderlijk op de zijde Leverantie [ aendrong ] die te ontfangen , sampt bij die van den 29„e daer aen volgende en 15„e Jan : haer indagtigd ,",ForceToAct,1-61
5,ontfangen,isOfType,1-64,330-339,Getting,['1-58[109]'],['1-51[108]'],None,None,None,None,None,None,None,None,None,ontfangen,['1-64'],"dat niet Lucken wilde ; en mier sahit inhamet halsterrig en oneanderlijk op de zijde Leverantie aendrong die te [ ontfangen ] , sampt bij die van den 29„e daer aen volgende en 15„e Jan : haer indagtigd , want dat was",Getting,1-64
6,ontfangst,isOfType,1-106,554-563,Getting,['1-108[112]'],['1-102[111]'],None,None,None,None,None,None,None,None,None,ontfangst,['1-106'],"vergecten , niet tegenstaende haer op den 15„e maij daer over gebruijkte breeder resonnementen , miet sahit inhamed op [ ontfangst ] van dat „ schrijvens , dato 29„e xb : te laten versoecken , dat hij ten Eersten zomee conconerenordre geliefde",Getting,1-106
7,conconerenordre,isOfType,1-125,646-661,Buying,None,['1-121'],None,None,None,None,None,None,None,None,None,conconerenordre,['1-125'],"ontfangst van dat „ schrijvens , dato 29„e xb : te laten versoecken , dat hij ten Eersten zomee [ conconerenordre ] geliefde te stellen , aen wie dat men , de gestipuleerde recognitie goederen nu geeven bal , en niet verpligt",Buying,1-125
8,geeven,isOfType,1-140,740-746,Giving,['1-135[113]'],['1-133'],None,['1-139'],None,['1-131'],None,None,None,None,None,geeven,['1-140'],"hij ten Eersten zomee conconerenordre geliefde te stellen , aen wie dat men , de gestipuleerde recognitie goederen nu [ geeven ] bal , en niet verpligt , als pro dato soo Lange aen tehouden , sulx thans de zijde buijten belastinge",Giving,1-140
9,verpligt,isOfType,1-145,760-768,ForceToAct,None,None,None,None,None,None,None,None,None,None,None,verpligt,['1-145'],"geliefde te stellen , aen wie dat men , de gestipuleerde recognitie goederen nu geeven bal , en niet [ verpligt ] , als pro dato soo Lange aen tehouden , sulx thans de zijde buijten belastinge daer van overgaet , en",ForceToAct,1-145
10,aen,evokes,1-152,793-796,HavingInPossession[228],None,None,None,['1-148[114]'],None,None,None,None,None,None,None,aen tehouden,"['1-152', '1-153']","men , de gestipuleerde recognitie goederen nu geeven bal , en niet verpligt , als pro dato soo Lange [ aen tehouden ] , sulx thans de zijde buijten belastinge daer van overgaet , en na deesen dat bedragen , eerst het",HavingInPossession,1-153
11,tehouden,evokes,1-153,797-805,HavingInPossession[228],None,None,None,['1-148[114]'],None,None,None,None,None,None,None,aen tehouden,"['1-152', '1-153']","men , de gestipuleerde recognitie goederen nu geeven bal , en niet verpligt , als pro dato soo Lange [ aen tehouden ] , sulx thans de zijde buijten belastinge daer van overgaet , en na deesen dat bedragen , eerst het",HavingInPossession,1-153
12,belastinge,evokes,1-160,835-845,FinancialTransaction,None,None,None,None,None,None,None,None,None,None,None,belastinge,['1-160'],"bal , en niet verpligt , als pro dato soo Lange aen tehouden , sulx thans de zijde buijten [ belastinge ] daer van overgaet , en na deesen dat bedragen , eerst het comptoir generael aengereekend ; en ten Lasten gebragt",FinancialTransaction,1-160
13,aengereekend,isOfType,1-175,920-932,FinancialTransaction[229],['1-169'],['1-172[115]'],None,None,None,None,None,None,None,None,None,aengereekend ; en ten Lasten gebragt,"['1-175', '1-176', '1-177', '1-178', '1-179', '1-180']","thans de zijde buijten belastinge daer van overgaet , en na deesen dat bedragen , eerst het comptoir generael [ aengereekend ; en ten Lasten gebragt ] sal kunnen werden , met ons wijders voor soo veel 't comp : s spahan",FinancialTransaction,1-180
