,mention,anchor_type,mention_token_id,mention_character_id,eventclass,Patient_offsets,Agent_offsets,Location_offsets,Time_offsets,AgentPatient_offsets,Benefactive_offsets,Cargo_offsets,Source_offsets,Target_offsets,Path_offsets,Instrument_offsets,mention_span,mention_span_ids,mention_in_context,eventclass_no_number,last_token_id
0,Leverantie,evokes,1-21,95-105,Trade,['1-20'],None,None,['1-23[106]'],None,None,None,None,None,None,None,Leverantie,['1-21'],"kennise te laten toecomen , Even als wij bij die van den 20„e xb : haer nopende de zijde [ Leverantie ] voor dit 9 Jaer hebben gedaen , en g'ordonneerd , die des mogelijk in de moolen te helpen , ook",Trade,1-21
1,g'ordonneerd,isOfType,1-30,140-152,Request,None,['1-9'],None,None,None,None,None,None,None,None,None,g'ordonneerd,['1-30'],"die van den 20„e xb : haer nopende de zijde Leverantie voor dit 9 Jaer hebben gedaen , en [ g'ordonneerd ] , die des mogelijk in de moolen te helpen , ook gequalificeerd , soo dat niet Lucken wilde ; en",Request,1-30
2,ontfangen,isOfType,1-64,330-339,Getting,['1-58[108]'],['1-51[107]'],None,None,None,None,None,None,None,None,None,ontfangen,['1-64'],"dat niet Lucken wilde ; en mier sahit inhamet halsterrig en oneanderlijk op de zijde Leverantie aendrong die te [ ontfangen ] , sampt bij die van den 29„e daer aen volgende en 15„e Jan : haer indagtigd , want dat was",Getting,1-64
3,ontfangst,isOfType,1-106,554-563,Getting,['1-108[111]'],['1-102[110]'],None,None,None,None,None,None,None,None,None,ontfangst,['1-106'],"vergecten , niet tegenstaende haer op den 15„e maij daer over gebruijkte breeder resonnementen , miet sahit inhamed op [ ontfangst ] van dat „ schrijvens , dato 29„e xb : te laten versoecken , dat hij ten Eersten zomee conconerenordre geliefde",Getting,1-106
4,versoecken,isOfType,1-118,608-618,Request,['1-102[109]'],None,None,None,None,None,None,None,None,None,None,versoecken,['1-118'],"breeder resonnementen , miet sahit inhamed op ontfangst van dat „ schrijvens , dato 29„e xb : te laten [ versoecken ] , dat hij ten Eersten zomee conconerenordre geliefde te stellen , aen wie dat men , de gestipuleerde recognitie goederen",Request,1-118
5,conconerenordre,isOfType,1-125,646-661,ForceToAct[225],None,['1-121'],None,None,None,None,None,None,None,None,None,conconerenordre geliefde te stellen,"['1-125', '1-126', '1-127', '1-128']","ontfangst van dat „ schrijvens , dato 29„e xb : te laten versoecken , dat hij ten Eersten zomee [ conconerenordre geliefde te stellen ] , aen wie dat men , de gestipuleerde recognitie goederen nu geeven bal , en niet verpligt",ForceToAct,1-128
6,geliefde,isOfType,1-126,662-670,ForceToAct[225],None,['1-121'],None,None,None,None,None,None,None,None,None,conconerenordre geliefde te stellen,"['1-125', '1-126', '1-127', '1-128']","ontfangst van dat „ schrijvens , dato 29„e xb : te laten versoecken , dat hij ten Eersten zomee [ conconerenordre geliefde te stellen ] , aen wie dat men , de gestipuleerde recognitie goederen nu geeven bal , en niet verpligt",ForceToAct,1-128
7,te,isOfType,1-127,671-673,ForceToAct[225],None,['1-121'],None,None,None,None,None,None,None,None,None,conconerenordre geliefde te stellen,"['1-125', '1-126', '1-127', '1-128']","ontfangst van dat „ schrijvens , dato 29„e xb : te laten versoecken , dat hij ten Eersten zomee [ conconerenordre geliefde te stellen ] , aen wie dat men , de gestipuleerde recognitie goederen nu geeven bal , en niet verpligt",ForceToAct,1-128
8,stellen,isOfType,1-128,674-681,ForceToAct[225],None,['1-121'],None,None,None,None,None,None,None,None,None,conconerenordre geliefde te stellen,"['1-125', '1-126', '1-127', '1-128']","ontfangst van dat „ schrijvens , dato 29„e xb : te laten versoecken , dat hij ten Eersten zomee [ conconerenordre geliefde te stellen ] , aen wie dat men , de gestipuleerde recognitie goederen nu geeven bal , en niet verpligt",ForceToAct,1-128
9,geeven,isOfType,1-140,740-746,Giving,['1-135[112]'],None,None,None,None,['1-131'],None,None,None,None,None,geeven,['1-140'],"hij ten Eersten zomee conconerenordre geliefde te stellen , aen wie dat men , de gestipuleerde recognitie goederen nu [ geeven ] bal , en niet verpligt , als pro dato soo Lange aen tehouden , sulx thans de zijde buijten belastinge",Giving,1-140
10,aen,isOfType,1-152,793-796,HavingInPossession[226],['1-135[113]'],['1-133'],None,None,None,None,None,None,None,None,None,aen tehouden,"['1-152', '1-153']","men , de gestipuleerde recognitie goederen nu geeven bal , en niet verpligt , als pro dato soo Lange [ aen tehouden ] , sulx thans de zijde buijten belastinge daer van overgaet , en na deesen dat bedragen , eerst het",HavingInPossession,1-153
11,tehouden,isOfType,1-153,797-805,HavingInPossession[226],['1-135[113]'],['1-133'],None,None,None,None,None,None,None,None,None,aen tehouden,"['1-152', '1-153']","men , de gestipuleerde recognitie goederen nu geeven bal , en niet verpligt , als pro dato soo Lange [ aen tehouden ] , sulx thans de zijde buijten belastinge daer van overgaet , en na deesen dat bedragen , eerst het",HavingInPossession,1-153
12,overgaet,isOfType,1-163,855-863,Translocation,['1-157[114]'],None,None,None,None,None,None,['1-161'],None,None,None,overgaet,['1-163'],"niet verpligt , als pro dato soo Lange aen tehouden , sulx thans de zijde buijten belastinge daer van [ overgaet ] , en na deesen dat bedragen , eerst het comptoir generael aengereekend ; en ten Lasten gebragt sal kunnen werden",Translocation,1-163
13,aengereekend,isOfType,1-175,920-932,FinancialTransaction,['1-169[115]'],['1-172[117]'],None,None,None,None,None,None,None,None,None,aengereekend,['1-175'],"thans de zijde buijten belastinge daer van overgaet , en na deesen dat bedragen , eerst het comptoir generael [ aengereekend ] ; en ten Lasten gebragt sal kunnen werden , met ons wijders voor soo veel 't comp : s spahan",FinancialTransaction,1-175
14,ten,isOfType,1-178,937-940,FinancialTransaction[227],['1-169[116]'],['1-172[118]'],None,None,None,None,None,None,None,None,None,ten Lasten gebragt,"['1-178', '1-179', '1-180']","buijten belastinge daer van overgaet , en na deesen dat bedragen , eerst het comptoir generael aengereekend ; en [ ten Lasten gebragt ] sal kunnen werden , met ons wijders voor soo veel 't comp : s spahan belangd , aen",FinancialTransaction,1-180
15,Lasten,isOfType,1-179,941-947,FinancialTransaction[227],['1-169[116]'],['1-172[118]'],None,None,None,None,None,None,None,None,None,ten Lasten gebragt,"['1-178', '1-179', '1-180']","buijten belastinge daer van overgaet , en na deesen dat bedragen , eerst het comptoir generael aengereekend ; en [ ten Lasten gebragt ] sal kunnen werden , met ons wijders voor soo veel 't comp : s spahan belangd , aen",FinancialTransaction,1-180
16,gebragt,isOfType,1-180,948-955,FinancialTransaction[227],['1-169[116]'],['1-172[118]'],None,None,None,None,None,None,None,None,None,ten Lasten gebragt,"['1-178', '1-179', '1-180']","buijten belastinge daer van overgaet , en na deesen dat bedragen , eerst het comptoir generael aengereekend ; en [ ten Lasten gebragt ] sal kunnen werden , met ons wijders voor soo veel 't comp : s spahan belangd , aen",FinancialTransaction,1-180
