,mention,anchor_type,mention_token_id,mention_character_id,eventclass,Patient_offsets,Agent_offsets,Location_offsets,Time_offsets,AgentPatient_offsets,Benefactive_offsets,Cargo_offsets,Source_offsets,Target_offsets,Path_offsets,Instrument_offsets,mention_span,mention_span_ids,mention_in_context,eventclass_no_number,last_token_id
0,Leverantie,evokes,1-21,95-105,Transportation,['1-20[156]'],None,None,['1-23[158]'],None,None,None,None,None,None,None,Leverantie,['1-21'],"kennise te laten toecomen , Even als wij bij die van den 20„e xb : haer nopende de zijde [ Leverantie ] voor dit 9 Jaer hebben gedaen , en g'ordonneerd , die des mogelijk in de moolen te helpen , ook",Transportation,1-21
1,te,isOfType,1-38,184-186,Transportation[261],['1-32'],None,None,None,None,None,None,None,['1-35[159]'],None,None,te helpen,"['1-38', '1-39']","de zijde Leverantie voor dit 9 Jaer hebben gedaen , en g'ordonneerd , die des mogelijk in de moolen [ te helpen ] , ook gequalificeerd , soo dat niet Lucken wilde ; en mier sahit inhamet halsterrig en oneanderlijk op de",Transportation,1-39
2,helpen,isOfType,1-39,187-193,Transportation[261],['1-32'],None,None,None,None,None,None,None,['1-35[159]'],None,None,te helpen,"['1-38', '1-39']","de zijde Leverantie voor dit 9 Jaer hebben gedaen , en g'ordonneerd , die des mogelijk in de moolen [ te helpen ] , ook gequalificeerd , soo dat niet Lucken wilde ; en mier sahit inhamet halsterrig en oneanderlijk op de",Transportation,1-39
3,te,isOfType,1-63,327-329,Getting[262],['1-59'],['1-51[160]'],None,None,None,None,None,None,None,None,None,te helpen,"['1-38', '1-39']","de zijde Leverantie voor dit 9 Jaer hebben gedaen , en g'ordonneerd , die des mogelijk in de moolen [ te helpen ] , ook gequalificeerd , soo dat niet Lucken wilde ; en mier sahit inhamet halsterrig en oneanderlijk op de",Getting,1-39
4,ontfangen,isOfType,1-64,330-339,Getting[262],['1-59'],['1-51[160]'],None,None,None,None,None,None,None,None,None,ontfangen,['1-64'],"dat niet Lucken wilde ; en mier sahit inhamet halsterrig en oneanderlijk op de zijde Leverantie aendrong die te [ ontfangen ] , sampt bij die van den 29„e daer aen volgende en 15„e Jan : haer indagtigd , want dat was",Getting,1-64
5,ontfangst,evokes,1-106,554-563,Getting,['1-108[164]'],['1-102[163]'],None,None,None,None,None,None,None,None,None,ontfangst,['1-106'],"vergecten , niet tegenstaende haer op den 15„e maij daer over gebruijkte breeder resonnementen , miet sahit inhamed op [ ontfangst ] van dat „ schrijvens , dato 29„e xb : te laten versoecken , dat hij ten Eersten zomee conconerenordre geliefde",Getting,1-106
6,te,evokes,1-116,599-601,Request[263],['1-9'],['1-102[161]'],None,None,None,None,None,None,None,None,None,te laten versoecken,"['1-116', '1-117', '1-118']","over gebruijkte breeder resonnementen , miet sahit inhamed op ontfangst van dat „ schrijvens , dato 29„e xb : [ te laten versoecken ] , dat hij ten Eersten zomee conconerenordre geliefde te stellen , aen wie dat men , de gestipuleerde",Request,1-118
7,laten,evokes,1-117,602-607,Request[263],['1-9'],['1-102[161]'],None,None,None,None,None,None,None,None,None,te laten versoecken,"['1-116', '1-117', '1-118']","over gebruijkte breeder resonnementen , miet sahit inhamed op ontfangst van dat „ schrijvens , dato 29„e xb : [ te laten versoecken ] , dat hij ten Eersten zomee conconerenordre geliefde te stellen , aen wie dat men , de gestipuleerde",Request,1-118
8,versoecken,evokes,1-118,608-618,Request[263],['1-9'],['1-102[161]'],None,None,None,None,None,None,None,None,None,te laten versoecken,"['1-116', '1-117', '1-118']","over gebruijkte breeder resonnementen , miet sahit inhamed op ontfangst van dat „ schrijvens , dato 29„e xb : [ te laten versoecken ] , dat hij ten Eersten zomee conconerenordre geliefde te stellen , aen wie dat men , de gestipuleerde",Request,1-118
9,geeven,evokes,1-140,740-746,Giving[264],['1-135[166]'],['1-133'],None,None,None,None,None,None,None,None,None,geeven bal,"['1-140', '1-141']","hij ten Eersten zomee conconerenordre geliefde te stellen , aen wie dat men , de gestipuleerde recognitie goederen nu [ geeven bal ] , en niet verpligt , als pro dato soo Lange aen tehouden , sulx thans de zijde buijten belastinge",Giving,1-141
