,token,anchor_type,token_id,character_ids,eventclass,Patient_offsets,Agent_offsets,Location_offsets,Time_offsets,AgentPatient_offsets,Benefactive_offsets,Cargo_offsets,Source_offsets,Target_offsets,Path_offsets,Instrument_offsets,mention_span,mention_span_ids,eventclass_no_number,last_token_id
0,Batavia,0,1-1,1-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
1,Aan,0,2-1,10-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
2,zijn,0,2-2,14-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
3,Hoogedelheid,0,2-3,19-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
4,der,0,2-4,32-35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
5,Hoogedelen,0,2-5,36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
6,Groot,0,2-6,47-52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
7,achtbaaren,0,2-7,53-63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
8,Heer,0,2-8,64-68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
9,M,0,2-9,69-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
10,:,0,2-10,70-71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
11,r,0,2-11,71-72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
12,Willem,0,2-12,73-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
13,Arnold,0,2-13,80-86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
14,Alling,0,2-14,87-93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
15,",",0,2-15,93-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
16,Gouverneur,0,2-16,95-105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
17,Generaal,0,2-17,106-114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
18,",",0,2-18,114-115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
19,benevens,0,2-19,116-124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
20,de,0,2-20,125-127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
21,Weledele,0,2-21,128-136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
22,Gestrenge,0,2-22,137-146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
23,Heeren,0,2-23,147-153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
24,Raaden,0,2-24,154-160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
25,van,0,2-25,161-164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
26,Nederlandsch,0,2-26,165-177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
27,Indie,0,2-27,178-183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
28,Hoogedele,0,3-1,184-193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
29,Groot,0,3-2,194-199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
30,Achtbaere,0,3-3,200-209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
31,Heer,0,3-4,210-214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
32,Wel,0,3-5,215-218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
33,Edele,0,3-6,219-224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
34,gestrenge,0,3-7,225-234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
35,Heeren,0,3-8,235-241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
36,.,0,3-9,241-242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
37,Bij,0,4-1,243-246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
38,onzen,0,4-2,247-252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
39,thans,0,4-3,253-258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
40,overgaanden,isOfType,4-4,259-270,Translocation,['4-5'],None,None,None,None,None,None,None,None,None,None,overgaanden,['4-4'],Translocation,4-4
