,mention,anchor_type,mention_token_id,mention_character_id,eventclass,Patient_offsets,Agent_offsets,Location_offsets,Time_offsets,AgentPatient_offsets,Benefactive_offsets,Cargo_offsets,Source_offsets,Target_offsets,Path_offsets,Instrument_offsets,mention_span,mention_span_ids,mention_in_context,eventclass_no_number,last_token_id
0,overgaanden,isOfType,4-4,259-270,Transportation,['4-5'],None,None,None,None,None,None,None,None,None,None,overgaanden,['4-4'],"Weledele Gestrenge Heeren Raaden van Nederlandsch Indie Hoogedele Groot Achtbaere Heer Wel Edele gestrenge Heeren . Bij onzen thans [ overgaanden ] Eisch hebben wij 1200 lasten rijst gesteld , en wij gebruken de vrijheid de volstrekte noodzaakelijkheid daar van hier mede",Transportation,4-4
1,gesteld,isOfType,4-11,306-313,Request,"['2-9[53]', '2-24[54]']",['4-7'],None,None,None,None,None,None,None,None,None,gesteld,['4-11'],"Hoogedele Groot Achtbaere Heer Wel Edele gestrenge Heeren . Bij onzen thans overgaanden Eisch hebben wij 1200 lasten rijst [ gesteld ] , en wij gebruken de vrijheid de volstrekte noodzaakelijkheid daar van hier mede nader eerbiedig aan te toonen : De",Request,4-11
2,onzeeker,evokes,4-48,511-519,HavingInternalState-,['4-35[55]'],None,None,None,None,None,None,None,None,None,None,onzeeker,['4-48'],"toonen : De gesteldheid van de Rust Kormandel , die steets onze graan schuur is , geweest is zoo [ onzeeker ] , dat daarop geen de minste staat te maaken is . Daar bij is het land zodanig verwoest , dat",HavingInternalState-,4-48
3,verwoest,evokes,4-66,596-604,IntentionalDamaging,"['4-63[57]', '4-35[56]']",None,None,None,None,None,None,None,None,None,None,verwoest,['4-66'],"zoo onzeeker , dat daarop geen de minste staat te maaken is . Daar bij is het land zodanig [ verwoest ] , dat men aldaar zelfs , en niet zonder reeden , Voor een honger nood beducht is , dus kunnen",IntentionalDamaging,4-66
4,honger,isOfType,4-80,660-666,HavingInternalState-[224],"['4-63[57]', '4-35[56]']",None,None,None,None,None,None,None,None,None,None,honger nood,"['4-80', '4-81']","bij is het land zodanig verwoest , dat men aldaar zelfs , en niet zonder reeden , Voor een [ honger nood ] beducht is , dus kunnen wij van daar geen de minste onder stand verwach „ De heer Kommandeur van",HavingInternalState-,4-81
5,nood,isOfType,4-81,667-671,HavingInternalState-[224],"['4-63[57]', '4-35[56]']",None,None,None,None,None,None,None,None,None,None,honger nood,"['4-80', '4-81']","bij is het land zodanig verwoest , dat men aldaar zelfs , en niet zonder reeden , Voor een [ honger nood ] beducht is , dus kunnen wij van daar geen de minste onder stand verwach „ De heer Kommandeur van",HavingInternalState-,4-81
6,toegezegd,isOfType,5-12,815-824,Collaboration[225]|Transportation[226],"['5-4[58]', '5-7|5-9[60]']",['5-4[59]'],None,None,None,None,None,None,['5-32[62]'],None,None,toegezegd,['5-12'],"daar geen de minste onder stand verwach „ De heer Kommandeur van Angelbeek heeft ons Wel seshonderd lasten rijst [ toegezegd ] , doch dezelve moeten in de aanstaande maand April Worden afgehaald , Wijl ner laater geen schip op de koettjiensche",Collaboration,5-12
7,afgehaald,isOfType,5-23,882-891,Transportation,None,['5-9[60]'],None,None,None,None,None,None,['5-32[63]'],None,['5-29'],afgehaald,['5-23'],"van Angelbeek heeft ons Wel seshonderd lasten rijst toegezegd , doch dezelve moeten in de aanstaande maand April Worden [ afgehaald ] , Wijl ner laater geen schip op de koettjiensche rheede durf vertrouwen , en daar toe zien wij geen mogelijkheid",Transportation,5-23
8,afhaal,isOfType,5-51,1038-1044,Transportation,['5-9[61]'],['5-46'],None,None,None,None,None,None,['5-32[64]'],None,['5-48'],afhaal,['5-51'],"koettjiensche rheede durf vertrouwen , en daar toe zien wij geen mogelijkheid , Vermits wij geen scheepen tot den [ afhaal ] aan harden hebben en Wanneer Wij dezelve ook hadden , zonden ze dog zonder een goed konvooij niet gewaagd Worden",Transportation,5-51
9,gewaagd,evokes,6-17,1142-1149,Voyage[227],None,['6-4'],None,None,None,None,None,None,None,None,['6-15'],gewaagd Worden,"['6-17', '6-18']","afhaal aan harden hebben en Wanneer Wij dezelve ook hadden , zonden ze dog zonder een goed konvooij niet [ gewaagd Worden ] , Wijl de Bombaijsche fregatten nog bestendig op de hoogte van koetsjien kruissen . Wat er te gen de",Voyage,6-18
10,Worden,evokes,6-18,1150-1156,Voyage[227],None,['6-4'],None,None,None,None,None,None,None,None,['6-15'],gewaagd Worden,"['6-17', '6-18']","afhaal aan harden hebben en Wanneer Wij dezelve ook hadden , zonden ze dog zonder een goed konvooij niet [ gewaagd Worden ] , Wijl de Bombaijsche fregatten nog bestendig op de hoogte van koetsjien kruissen . Wat er te gen de",Voyage,6-18
11,kruissen,isOfType,6-31,1229-1237,Translocation,None,['6-22[65]'],None,None,None,None,None,None,None,['6-30'],None,kruissen,['6-31'],"zonder een goed konvooij niet gewaagd Worden , Wijl de Bombaijsche fregatten nog bestendig op de hoogte van koetsjien [ kruissen ] . Wat er te gen de opere Vaart / : die niet Voor half Oktober gerekend mag Worden:/ op Mallabaar",Translocation,6-31
12,Vaart,evokes,6-39,1262-1267,Translocation,None,None,None,None,None,None,None,None,None,None,None,Vaart,['6-39'],"Wijl de Bombaijsche fregatten nog bestendig op de hoogte van koetsjien kruissen . Wat er te gen de opere [ Vaart ] / : die niet Voor half Oktober gerekend mag Worden:/ op Mallabaar Voorvallen kan , mogen wij niet gissen ,",Translocation,6-39
13,kreegen,isOfType,6-68,1424-1431,Getting[228]|Transportation[229],"['6-64[68]', '6-64[69]']",['6-62[66]|6-62[67]'],None,None,None,None,None,None,['6-62[66]|6-62[67]'],None,None,kreegen,['6-68'],"Worden:/ op Mallabaar Voorvallen kan , mogen wij niet gissen , en zoo Wij deeze zelkonder- lasten Mallabaers rijst [ kreegen ] , bij de geeischte Javasche , zoude onze Voorraad naar maatig zijn , Wijl de Fransche Vloot zeken on rijst",Getting,6-68
