,mention,anchor_type,mention_token_id,mention_character_id,eventclass,Patient_offsets,Agent_offsets,Location_offsets,Time_offsets,AgentPatient_offsets,Benefactive_offsets,Cargo_offsets,Source_offsets,Target_offsets,Path_offsets,Instrument_offsets,mention_span,mention_span_ids,mention_in_context,eventclass_no_number,last_token_id
0,overgaanden,isOfType,4-4,259-270,Translocation,['4-5'],None,None,None,None,None,None,None,None,None,None,overgaanden,['4-4'],"Weledele Gestrenge Heeren Raaden van Nederlandsch Indie Hoogedele Groot Achtbaere Heer Wel Edele gestrenge Heeren . Bij onzen thans [ overgaanden ] Eisch hebben wij 1200 lasten rijst gesteld , en wij gebruken de vrijheid de volstrekte noodzaakelijkheid daar van hier mede",Translocation,4-4
1,Eisch,isOfType,4-5,271-276,Request,None,['4-7'],None,None,None,None,None,None,None,None,None,Eisch,['4-5'],"Gestrenge Heeren Raaden van Nederlandsch Indie Hoogedele Groot Achtbaere Heer Wel Edele gestrenge Heeren . Bij onzen thans overgaanden [ Eisch ] hebben wij 1200 lasten rijst gesteld , en wij gebruken de vrijheid de volstrekte noodzaakelijkheid daar van hier mede nader",Request,4-5
2,onzeeker,isOfType,4-48,511-519,HavingInternalState-,['4-31[34]'],None,None,None,None,None,None,None,None,None,None,onzeeker,['4-48'],"toonen : De gesteldheid van de Rust Kormandel , die steets onze graan schuur is , geweest is zoo [ onzeeker ] , dat daarop geen de minste staat te maaken is . Daar bij is het land zodanig verwoest , dat",HavingInternalState-,4-48
3,verwoest,isOfType,4-66,596-604,BeingDestroyed,['4-63[35]'],None,None,None,None,None,None,None,None,None,None,verwoest,['4-66'],"zoo onzeeker , dat daarop geen de minste staat te maaken is . Daar bij is het land zodanig [ verwoest ] , dat men aldaar zelfs , en niet zonder reeden , Voor een honger nood beducht is , dus kunnen",BeingDestroyed,4-66
4,toegezegd,evokes,5-12,815-824,HavingContractualAgreement,"['5-1[36]', '5-7']",None,None,None,None,None,None,None,None,None,None,toegezegd,['5-12'],"daar geen de minste onder stand verwach „ De heer Kommandeur van Angelbeek heeft ons Wel seshonderd lasten rijst [ toegezegd ] , doch dezelve moeten in de aanstaande maand April Worden afgehaald , Wijl ner laater geen schip op de koettjiensche",HavingContractualAgreement,5-12
5,afgehaald,evokes,5-23,882-891,Transportation,['5-15'],None,None,['5-17[37]'],None,None,None,None,None,None,None,afgehaald,['5-23'],"van Angelbeek heeft ons Wel seshonderd lasten rijst toegezegd , doch dezelve moeten in de aanstaande maand April Worden [ afgehaald ] , Wijl ner laater geen schip op de koettjiensche rheede durf vertrouwen , en daar toe zien wij geen mogelijkheid",Transportation,5-23
6,vertrouwen,evokes,5-35,952-962,Translocation,['5-29'],None,None,['5-27'],None,None,None,None,['5-31[38]'],None,None,vertrouwen,['5-35'],"moeten in de aanstaande maand April Worden afgehaald , Wijl ner laater geen schip op de koettjiensche rheede durf [ vertrouwen ] , en daar toe zien wij geen mogelijkheid , Vermits wij geen scheepen tot den afhaal aan harden hebben en",Translocation,5-35
7,afhaal,evokes,5-51,1038-1044,Translocation,['5-48[39]'],None,None,None,None,None,None,None,None,None,None,afhaal,['5-51'],"koettjiensche rheede durf vertrouwen , en daar toe zien wij geen mogelijkheid , Vermits wij geen scheepen tot den [ afhaal ] aan harden hebben en Wanneer Wij dezelve ook hadden , zonden ze dog zonder een goed konvooij niet gewaagd Worden",Translocation,5-51
8,aan,isOfType,5-52,1045-1048,HavingInPossession[221],['5-48[40]'],['5-46'],None,None,None,None,None,None,None,None,None,aan harden hebben,"['5-52', '5-53', '6-1']","rheede durf vertrouwen , en daar toe zien wij geen mogelijkheid , Vermits wij geen scheepen tot den afhaal [ aan harden hebben ] en Wanneer Wij dezelve ook hadden , zonden ze dog zonder een goed konvooij niet gewaagd Worden ,",HavingInPossession,6-1
9,harden,isOfType,5-53,1049-1055,HavingInPossession[221],['5-48[40]'],['5-46'],None,None,None,None,None,None,None,None,None,aan harden hebben,"['5-52', '5-53', '6-1']","rheede durf vertrouwen , en daar toe zien wij geen mogelijkheid , Vermits wij geen scheepen tot den afhaal [ aan harden hebben ] en Wanneer Wij dezelve ook hadden , zonden ze dog zonder een goed konvooij niet gewaagd Worden ,",HavingInPossession,6-1
10,hebben,isOfType,6-1,1056-1062,HavingInPossession[221],['5-48[40]'],['5-46'],None,None,None,None,None,None,None,None,None,aan harden hebben,"['5-52', '5-53', '6-1']","rheede durf vertrouwen , en daar toe zien wij geen mogelijkheid , Vermits wij geen scheepen tot den afhaal [ aan harden hebben ] en Wanneer Wij dezelve ook hadden , zonden ze dog zonder een goed konvooij niet gewaagd Worden ,",HavingInPossession,6-1
11,hadden,isOfType,6-7,1090-1096,HavingInPossession,['6-5'],['6-4'],None,None,None,None,None,None,None,None,None,hadden,['6-7'],"wij geen mogelijkheid , Vermits wij geen scheepen tot den afhaal aan harden hebben en Wanneer Wij dezelve ook [ hadden ] , zonden ze dog zonder een goed konvooij niet gewaagd Worden , Wijl de Bombaijsche fregatten nog bestendig op de",HavingInPossession,6-7
12,gewaagd,evokes,6-17,1142-1149,Translocation,['6-10'],None,None,None,None,None,None,None,None,None,None,gewaagd,['6-17'],"afhaal aan harden hebben en Wanneer Wij dezelve ook hadden , zonden ze dog zonder een goed konvooij niet [ gewaagd ] Worden , Wijl de Bombaijsche fregatten nog bestendig op de hoogte van koetsjien kruissen . Wat er te gen de",Translocation,6-17
13,kruissen,isOfType,6-31,1229-1237,Translocation,['6-21[41]'],None,['6-26[42]'],None,None,None,None,None,None,None,None,kruissen,['6-31'],"zonder een goed konvooij niet gewaagd Worden , Wijl de Bombaijsche fregatten nog bestendig op de hoogte van koetsjien [ kruissen ] . Wat er te gen de opere Vaart / : die niet Voor half Oktober gerekend mag Worden:/ op Mallabaar",Translocation,6-31
14,kreegen,isOfType,6-68,1424-1431,Getting,['6-63[43]'],['6-62'],None,None,None,None,None,None,None,None,None,kreegen,['6-68'],"Worden:/ op Mallabaar Voorvallen kan , mogen wij niet gissen , en zoo Wij deeze zelkonder- lasten Mallabaers rijst [ kreegen ] , bij de geeischte Javasche , zoude onze Voorraad naar maatig zijn , Wijl de Fransche Vloot zeken on rijst",Getting,6-68
15,geeischte,evokes,6-72,1440-1449,Request,['6-73[46]'],None,None,None,None,None,None,None,None,None,None,geeischte,['6-72'],"kan , mogen wij niet gissen , en zoo Wij deeze zelkonder- lasten Mallabaers rijst kreegen , bij de [ geeischte ] Javasche , zoude onze Voorraad naar maatig zijn , Wijl de Fransche Vloot zeken on rijst zal vraagen , en",Request,6-72
16,Voorraad,evokes,6-77,1471-1479,HavingInPossession,"['6-63[44]', '6-71[45]']",None,None,None,None,None,None,None,None,None,None,Voorraad,['6-77'],"gissen , en zoo Wij deeze zelkonder- lasten Mallabaers rijst kreegen , bij de geeischte Javasche , zoude onze [ Voorraad ] naar maatig zijn , Wijl de Fransche Vloot zeken on rijst zal vraagen , en de gemeente geen aanvoer uit",HavingInPossession,6-77
17,vraagen,isOfType,6-90,1540-1547,Request,['6-88'],['6-83[47]'],None,None,None,None,None,None,None,None,None,vraagen,['6-90'],"de geeischte Javasche , zoude onze Voorraad naar maatig zijn , Wijl de Fransche Vloot zeken on rijst zal [ vraagen ] , en de gemeente geen aanvoer uit Boengaale hoopen kan . Om deeze reedenen verzoeken Wij Uwe Hoog Edelheeden nogmaals",Request,6-90
