,token,anchor_type,token_id,character_ids,eventclass,Patient_offsets,Agent_offsets,Location_offsets,Time_offsets,AgentPatient_offsets,Benefactive_offsets,Cargo_offsets,Source_offsets,Target_offsets,Path_offsets,Instrument_offsets,mention_span,mention_span_ids,eventclass_no_number,last_token_id
0,Aende,0,1-1,0-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
1,heeren,0,1-2,6-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
2,Bewinthelb,0,1-3,13-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
3,Siet,0,2-1,24-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
4,tegenstaende,0,2-2,29-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
5,met,0,2-3,42-45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
6,de,0,2-4,46-48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
7,Schepen,0,2-5,49-56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
8,Gwaven,0,2-6,57-63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
9,van,0,2-7,64-67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
10,hoorn,0,2-8,68-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
11,ende,0,2-9,74-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
12,d,0,2-10,79-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
13,',0,2-11,80-81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
14,Eendracht,0,2-12,82-91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
15,den,0,2-13,92-95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
16,27=en,0,2-14,96-101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
17,october,0,2-15,102-109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
18,laestleden,0,2-16,110-120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
19,",",0,2-17,120-121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
20,mitsgaders,0,2-18,122-132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
21,met,0,2-19,133-136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
22,de,0,2-20,137-139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
23,Schepen,0,2-21,140-147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
24,de,0,2-22,148-150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
25,Wapens,0,2-23,151-157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
26,van,0,2-24,158-161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
27,Amsterdam,0,2-25,162-171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
28,van,0,2-26,172-175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
29,delff,0,2-27,176-181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
30,",",0,2-28,181-182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
31,van,0,2-29,183-186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
32,Rotterdam,0,2-30,187-196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
33,ende,0,2-31,197-201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
