,token,anchor_type,token_id,character_ids,eventclass,Patient_offsets,Agent_offsets,Location_offsets,Time_offsets,AgentPatient_offsets,Benefactive_offsets,Cargo_offsets,Source_offsets,Target_offsets,Path_offsets,Instrument_offsets,mention_span,mention_span_ids,eventclass_no_number,last_token_id
0,debvoir,0,1-1,0-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
1,kennise,0,1-2,8-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
2,te,0,1-3,16-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
3,laten,0,1-4,19-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
4,toecomen,isOfType,1-5,25-33,Translocation,None,None,None,None,None,None,None,None,None,None,None,toecomen,['1-5'],Translocation,1-5
5,",",0,1-6,33-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
6,Even,0,1-7,35-39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
7,als,0,1-8,40-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
8,wij,0,1-9,44-47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
9,bij,0,1-10,48-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
10,die,0,1-11,52-55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
11,van,0,1-12,56-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
12,den,0,1-13,60-63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
13,20„e,0,1-14,64-68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
14,xb,0,1-15,69-71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
15,:,0,1-16,71-72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
16,haer,0,1-17,73-77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
17,nopende,0,1-18,78-85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
18,de,0,1-19,86-88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
19,zijde,0,1-20,89-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
20,Leverantie,evokes,1-21,95-105,Trade,['1-19[106]'],None,None,None,None,None,None,None,None,None,None,Leverantie,['1-21'],Trade,1-21
21,voor,0,1-22,106-110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
22,dit,0,1-23,111-114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
23,9,0,1-24,115-116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
24,Jaer,0,1-25,117-121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
25,hebben,0,1-26,122-128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
26,gedaen,0,1-27,129-135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
27,",",0,1-28,135-136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
28,en,0,1-29,137-139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
29,g'ordonneerd,isOfType,1-30,140-152,ForceToAct,None,None,None,None,None,None,None,None,None,None,None,g'ordonneerd,['1-30'],ForceToAct,1-30
30,",",0,1-31,152-153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
31,die,0,1-32,154-157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
32,des,0,1-33,158-161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
33,mogelijk,0,1-34,162-170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
34,in,0,1-35,171-173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
35,de,0,1-36,174-176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
36,moolen,0,1-37,177-183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
37,te,0,1-38,184-186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
38,helpen,0,1-39,187-193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
39,",",0,1-40,193-194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
40,ook,0,1-41,195-198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
41,gequalificeerd,0,1-42,199-213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
42,",",0,1-43,213-214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
43,soo,0,1-44,215-218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
44,dat,0,1-45,219-222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
45,niet,0,1-46,223-227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
46,Lucken,0,1-47,228-234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
47,wilde,0,1-48,235-240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
48,;,0,1-49,240-241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
49,en,0,1-50,242-244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
50,mier,0,1-51,245-249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
51,sahit,0,1-52,250-255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
52,inhamet,0,1-53,256-263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
53,halsterrig,0,1-54,264-274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
54,en,0,1-55,275-277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
55,oneanderlijk,0,1-56,278-290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
56,op,0,1-57,291-293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
57,de,0,1-58,294-296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
58,zijde,0,1-59,297-302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
59,Leverantie,evokes,1-60,303-313,Trade,['1-58[110]'],None,None,None,None,None,None,None,None,None,None,Leverantie,['1-60'],Trade,1-60
60,aendrong,isOfType,1-61,314-322,ForceToAct,None,['1-51[107]'],None,None,None,None,None,None,None,None,None,aendrong,['1-61'],ForceToAct,1-61
61,die,0,1-62,323-326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
62,te,0,1-63,327-329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
63,ontfangen,isOfType,1-64,330-339,Getting,['1-58[109]'],['1-51[108]'],None,None,None,None,None,None,None,None,None,ontfangen,['1-64'],Getting,1-64
64,",",0,1-65,339-340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
65,sampt,0,1-66,341-346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
66,bij,0,1-67,347-350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
67,die,0,1-68,351-354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
68,van,0,1-69,355-358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
69,den,0,1-70,359-362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
70,29„e,0,1-71,363-367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
71,daer,0,1-72,368-372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
72,aen,0,1-73,373-376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
73,volgende,0,1-74,377-385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
74,en,0,1-75,386-388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
75,15„e,0,1-76,389-393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
76,Jan,0,1-77,394-397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
77,:,0,1-78,397-398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
78,haer,0,1-79,399-403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
79,indagtigd,0,1-80,404-413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
