,token,anchor_type,token_id,character_ids,eventclass,Patient_offsets,Agent_offsets,Location_offsets,Time_offsets,AgentPatient_offsets,Benefactive_offsets,Cargo_offsets,Source_offsets,Target_offsets,Path_offsets,Instrument_offsets,mention_span,mention_span_ids,eventclass_no_number,last_token_id
0,ee,0,1-1,0-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
1,eee,0,1-2,3-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
2,phemmeer,0,1-3,7-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
3,uit,0,2-1,16-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
4,algem,0,2-2,20-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
5,.,0,2-3,26-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
6,Voestuur,0,2-4,28-36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
7,1628,0,2-5,37-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
8,.,0,2-6,42-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
9,devemb,0,3-1,44-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
10,Reteuir,0,3-2,51-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
11,ut,0,3-3,59-61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
12,Ohna,0,3-4,62-66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
13,.,0,3-5,67-68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
14,Hlaux,0,4-1,69-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
15,na,0,4-2,75-77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
16,Redel,0,4-3,78-83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
17,.,0,4-4,84-85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
18,affvanden,0,4-5,86-95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
19,6January,0,5-1,96-104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
