,token,anchor_type,token_id,character_ids,eventclass,Patient_offsets,Agent_offsets,Location_offsets,Time_offsets,AgentPatient_offsets,Benefactive_offsets,Cargo_offsets,Source_offsets,Target_offsets,Path_offsets,Instrument_offsets,mention_span,mention_span_ids,eventclass_no_number,last_token_id
0,voorsienighe,0,1-1,0-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
1,ende,0,1-2,13-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
2,seer,0,1-3,18-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
3,.,0,1-4,22-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
4,bescheijdene,0,1-5,24-36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
5,Heeren,0,1-6,37-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
6,De,0,2-1,44-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
7,sever,0,2-2,47-52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
8,retour,0,2-3,53-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
9,schepen,0,2-4,60-67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
10,Vogelstruijs,0,2-5,68-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
11,",",0,2-6,80-81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
12,malaca,0,2-7,82-88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
13,Salmander,0,2-8,89-98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
14,",",0,2-9,98-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
15,de,0,2-10,100-102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
16,Provintie,0,2-11,103-112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
17,",",0,2-12,112-113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
18,Zeelandia,0,2-13,114-123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
19,",",0,2-14,123-124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
20,Breda=,0,2-15,125-131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
21,en,0,2-16,132-134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
22,Leeuwaerden,0,2-17,135-146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
23,den,0,2-18,147-150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
24,22=n,0,2-19,151-155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
25,December,0,2-20,156-164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
26,met,0,2-21,165-168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
27,onse,0,2-22,169-173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
28,—,0,2-23,174-175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
29,advusen,0,2-24,176-183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
30,gedepescheert,evokes,2-25,184-197,Transportation,['2-22[99]'],None,None,['2-19[97]'],None,None,None,None,None,None,"['2-5[83]', '2-15[93]', '2-8[87]', '2-11[89]', '2-7[85]', '2-13[91]', '2-17[95]']",gedepescheert,['2-25'],Transportation,2-25
31,en,0,2-26,198-200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
32,uijt,0,2-27,201-205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
33,dese,0,2-28,206-210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
34,reede,0,2-29,211-216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
35,naert,0,2-30,217-222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
36,patria,0,2-31,223-229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
37,geseijlt,evokes,2-32,230-238,Translocation,None,None,None,['2-19[98]'],None,None,None,['2-28[100]'],['2-31'],None,"['2-17[96]', '2-15[94]', '2-11[90]', '2-7[86]', '2-5[84]', '2-13[92]', '2-8[88]']",geseijlt,['2-32'],Translocation,2-32
38,",",0,2-33,238-239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
39,sijn,0,2-34,240-244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
40,godt,0,2-35,245-249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
41,loff,0,2-36,250-254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
42,den,0,2-37,255-258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
43,30=en,0,2-38,259-264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
44,en,0,2-39,265-267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
45,ultimo,0,2-40,268-274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
46,ditto,0,2-41,275-280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
47,—,0,2-42,281-282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
48,buijten,0,2-43,283-290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
49,Sundas,0,2-44,291-297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
50,Engte,0,2-45,298-303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
51,geraact,isOfType,2-46,304-311,Arriving,None,"['2-8[87]', '2-11[89]', '2-7[85]', '2-17[95]', '2-15[93]', '2-13[91]', '2-5[83]']",['2-43[102]'],['2-38[101]'],None,None,None,None,None,None,None,geraact,['2-46'],Arriving,2-46
52,",",0,2-47,311-312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
53,met,0,2-48,313-316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
54,gemelte,0,2-49,317-324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
55,—,0,2-50,325-326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
56,schepen,0,2-51,327-334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
57,gaen,isOfType,2-52,335-339,Translocation[228],"['2-58[106]', '2-62[107]', '2-54[105]']",None,None,None,None,None,None,None,None,None,['2-49[103]'],gaen over,"['2-52', '2-53']",Translocation,2-53
58,over,isOfType,2-53,340-344,Translocation[228],"['2-58[106]', '2-62[107]', '2-54[105]']",None,None,None,None,None,None,None,None,None,['2-49[103]'],gaen over,"['2-52', '2-53']",Translocation,2-53
59,927,0,2-54,345-348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
60,.,0,2-55,348-349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
61,gegagieerde,isOfType,2-56,350-361,BeingEmployed,['2-54[104]'],None,None,None,None,None,None,None,None,None,None,gegagieerde,['2-56'],BeingEmployed,2-56
62,persoonen,0,2-57,362-371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
63,ses,0,2-58,372-375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
64,—,0,2-59,376-377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
65,vrouwen,0,2-60,378-385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
66,en,0,2-61,386-388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
67,ses,0,2-62,389-392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
68,kinderen,0,2-63,393-401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
69,'t,0,2-64,402-404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
70,samen,0,2-65,405-410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
71,939,0,2-66,411-414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
72,.,0,2-67,414-415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
73,sielen,0,2-68,416-422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
74,van,0,2-69,423-426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
75,—,0,2-70,427-428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
76,alles,0,2-71,429-434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
77,voor,0,2-72,435-439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
78,Thien,0,2-73,440-445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
79,Maanden,0,2-74,446-453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
80,geprovideert,0,2-75,454-466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
81,",",0,2-76,466-467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
82,Copie,0,2-77,468-473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
83,—,0,2-78,473-474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
84,no,0,2-79,475-477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
85,Insitructie,0,2-80,478-489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
