	mention_span	mention_in_context	mention_span_ids	mention_token_id	mention_ids	last_token_id	Should this mention be annotated as an event?	If so, which event class should the mention be annotated with?	If not, why not?	If span incorrect, provide correct span	comments
3	d'aencompete	840 . pica rouwe Chineesche sijde , ende 332 xxi0 xx 0 . copter . e. e e Op [ d'aencompete ] gemelter Schepen hebben , dadelijck met den Raedt ouerleijdt , off niet oorbaer ende raedtsaem soude wesen , noch een		12-91	['12-91']	No Span	yes	Arriving			
7	beloopen	bouen gemelte Vloote nae te seijnden , om deselue noch t'sij dan aende Cabo ofte St. Sdelena te mogen [ beloopen ] . & Waerop aen d‛een sijde Ingesien sijnde , hoe voor t'verloop vanden gelimiteerden tijdt op d'affvaerdinge der Retour Schepen		12-151	['12-151']	No Span	yes	Encounter			
8	d'affvaerdinge	te mogen beloopen . & Waerop aen d‛een sijde Ingesien sijnde , hoe voor t'verloop vanden gelimiteerden tijdt op [ d'affvaerdinge ] der Retour Schepen naer t ' Naderslandt , ( achtervolgende V Ed : aduisen met Bollandia Jongst van daer becomen		12-168	['12-168']	No Span	no		This does not describe an event listed in the ontology		Lastig. 'Afvaardigen' is zenden / sturen / opdracht geven te vertrekken. Dat past wat mij betreft niet onder 'translocation' of 'leaving'.
9	seijl reedt te crijgen	Ed : aduisen met Bollandia Jongst van daer becomen niet wel doenlijck soude sijn een Schip tot gemelte Voijagie [ seijl reedt te crijgen ] ; daer beneffens dat Jegenwoordich geen andere RetourSchepen Schepen bijder handt hebben als Vianen ende t'wapen van	['12-199', '12-200', '12-201', '12-202']	12-199	['12-199', '12-200', '12-201', '12-202']	12-202	no		This does not describe an event listed in the ontology		
13	seer schaers	t'wapens suffirante tot t ' Voijagie nae tvaderblandt vaderblandt seer getwijffelt werdt . Item dat Jegenwoordich ouer Gants Jndia [ seer schaers ] van Varend ' volck voorsien , sijn . Ende sal men d'ordinarij handel plaetsen naer behooren waernemen , het	['12-244', '12-245']	12-244	['12-244', '12-245']	12-245	yes	HavingInternalState-			
15	attenueren	. Ende sal men d'ordinarij handel plaetsen naer behooren waernemen , het sober getal vandien niet meer dient te [ attenueren ] ; Noch principal ende bouen al , dat men vreest v. Ed : ordre van ter bequamer tijt op onse		12-272	['12-272']	No Span	no		This does not describe an event listed in the ontology		
16	om te loopen	dat men vreest v. Ed : ordre van ter bequamer tijt op onse Landen comende , achter Engelandt , [ om te loopen ] , door de moetwil ende rebellije van't Scheepsvolck ( welck gemeenl op de thuijs-reijse de meester maeckt ,	['12-299', '12-300', '12-301']	12-299	['12-299', '12-300', '12-301']	12-301	yes	Translocation			
20	de thuijs-reijse	, achter Engelandt , om te loopen , door de moetwil ende rebellije van't Scheepsvolck ( welck gemeenl op [ de thuijs-reijse ] de meester maeckt , ende d'Ouericheijt Hetten voorschrijft niet behoorlijck achtervolcht , maer de cours recht door t'Canael nae	['12-314', '12-315']	12-314	['12-314', '12-315']	12-315	yes	Voyage			
22	achter om te loopen	maer de cours recht door t'Canael nae Nederlandt gestelt mocht werden , al schoon het tijts genouch eynam om [ achter om te loopen ] . In voegen , dat ons om voorverhaelde consideratien eenichsints beswaert woirden de syde dus laet met	['12-347', '12-348', '12-349', '12-350']	12-347	['12-347', '12-348', '12-349', '12-350']	12-350	yes	Translocation			
26	ouer teseijnden	. In voegen , dat ons om voorverhaelde consideratien eenichsints beswaert woirden de syde dus laet met een Schip [ ouer teseijnden ] . Doch aen d'ander sijde ouerwogen , soo noodich het sij V Ed : tegen haere Excessiue lasten ,	['12-370', '12-371']	12-370	['12-370', '12-371']	12-371	yes	Transportation			
31	toecomen	bescheijden aff te vaerdigen . Almogende gelieue UEd : e dit ende de vooraffgebondene Schepen in salko te laten [ toecomen ] . 22 . Otp 20en . Nouembr . is hier van Patane wel aengecomen t ' Jacht de Griffoen (:		12-491	['12-491']	No Span	yes	Getting			
34	seijnder	tijt in dat quartier gants weijnichte doen is , ende niet noodich wesen sal , t'naeste Jaer derrewaerts weder [ seijnder ] seijnder De Rijs was daer uijt der maten dier ; De toataneten vreesen alsnoch dat den Atchinder van Gueda te		17-38.1	['17-38.1']	No Span	yes	Transportation			
42	seijnden	peper te becomen , ende dat tot redelijcken prus : Ooch hebben geldt noch cleeden om derrewaerts ie mogen [ seijnden ] . e. e En D.o S.r Is sier van Masilipats.n ende Paliacaite wel aengecomen t ' Jacht D Battania met		18-89	['18-89']	No Span	yes	Transportation			
45	onvoorsien	, Soo dat de Molucq , Amboina ende Banida gelijck mede wij hier in Battra . noch een Jaer [ onvoorsien ] sullen moeten blijven . Ofs oock acpparent dat V. Ed : mede in twee Jaeren geen retour van daer becomen		20-92	['20-92']	No Span	no		Other (write in comments)		Dit gaat m.i. om een internal state die gelijk blijft; geen event dus.
46	becomen	sullen moeten blijven . Ofs oock acpparent dat V. Ed : mede in twee Jaeren geen retour van daer [ becomen ] sullen ende dat vermidts V Ed : eijgen deffectueusheijt int derrewaerts beschicken van de Jaerlijcx geeijschte capitalen ... d'E Leeuwwinne		20-112	['20-112']	No Span	yes	Getting			
48	vereinicht	Ouer de 32 . E Pagoden hadden d'onse op leueringe gegeven ee Om de Zuijdt waren de drije Naijcken [ vereinicht ] , waer door aipparent is den Standt in die Quartieren vrij wat beteren dat ende datmen metter tijt goede partije		23-9	['23-9']	No Span	yes	Encounter			
54	opgedicongen	; Met niemant anders dan met drije deee pachters , mochten d'onse aldaer handelen ; Ende noch werdt haer [ opgedicongen ] sulcken sorteringe als sij selfs willen : Waer tegen met soete middelen niet te doen is . Soo de liberteijt		24-58	['24-58']	No Span	yes	Trade			
55	becomen	voor reen tijt e 1 „ 90 t ked ee . ve een Diamanten sijn daer noch wel te [ becomen ] , maer dier eeen tijt van masilupats . te lichten ende eenige Scheepen in de mlaenden Februarij ende Meert daer		28-7	['28-7']	No Span	yes	Trade			
61	schaden	- Vaertuijch te verseeckeren , en de Grooten bij dien middel te constringeren tot restauratie vande geleden Interesten ende [ schaden ] , mitsgaders Dat ons den vrijen ende onbecommerden handel in Masilicat nam gedoogen . Nae d'onse vande custe aduiseren ,		30-44	['30-44']	No Span	yes	HavingInternalState-			
