tokens,relationtype,label
versoucken; versocht; verzoeken; versouck; verzoek; versoek; versoeken; versoeke; versoekt; versoecq; versoeck; versoecke; versochte; versoeckende; versocht; versouckende; versoecken; versoeckt; versouckt; verzogt,isOfType,Request
leverantie; leverancie; leeverantie; leverantien; deleverantie,evokes,Transportation
leverantie; leverancie; leeverantie; leverantien; deleverantie,evokes,Trade
aenkomst; aenkomen; aencompst; aencompste; aankomende,isOfType,Arriving
vertreck; vertrocken; vertreckende; vertrokken; vertrek; vertrecke; vertrekken; vertrecken,isOfType,Leaving
voijagie; vojagie; voyagie; voijage; voyagien; voijagien,isOfType,Voyage
affvaerdigen; affgevaerdigt,evokes,Leaving
ontfangen; ontfangst; ontvangen; ontfange; ontvange,isOfType,Getting
ontfangene; ontvangene,evokes,Getting
geeven; geven; geevende; gevende; gaf; gaff; gaaven,isOfType,Giving
affgeladene;  affgelaedene;  afladen; afflaaden; vollaaden; vollading,evokes,Transportation
geladene; gelaadene; gelaedene,evokes,Transportation
affgescheepte; gescheept; affgescheept; affschepen; afschepen,evokes,Transportation
versonden; versondene; versenden; versond,evokes,Transportation
affsenden; affgesonden; affgesondene; affsond,evokes,Transportation
receptie; reseptie,isOfType,Getting
besendinge; bezendingen; besending; besendingh; bezendinge; bezending; besendingen; retourbesending; retourbezending; bezendingh,evokes,Transportation
cruijssen; kruissen; cruijsen; kruisen,isOfType,Translocation
order; ordre; ordere; order; ordres; orders,evokes,Communication
bevel; beveelen; beveelens,evokes,Communication
verblijf; verblijff; verblyf; verblijv; verblyff; verblijft ,evokes,BeingAtAPlace
quamen; comen; koomen; gekoomen; gekomen; gecomen; gecoomen; komende; koomende; komen,isOfType,Arriving
transport; transporteren; transporteeren,isOfType,Transportation
commando; gecommandeert,evokes,BeingLeader
depart,isOfType,Leaving
oorloge; oorlogh; oorlooge; oorlog,evokes,BeingInConflict
sterfte; dood; doodt; stervte,evokes,BeingDead
gestorven; sterven; sterfen; stierf; gesturven,isOfType,BeingDead
arrivement; arrive,isOfType,Arriving
overleden; overlijden; overledene,isOfType,BeingDead
vermoorden; moorden; vermoord; vermoort,isOfType,Killing
moord; moort,evokes,Killing
gesneuvelt; sneuvelen; sneuvelt; gesneuvelde; sneuvelde,isOfType,Dying
hazenpad; hasepad; hazepad,evokes,Leaving
sieckelijk; siecte; sieckte,evokes,FallingIll
vervoeren; vervoerde; vervoert; tevervoeren; overvoeren; vervoer; vervoerden,isOfType,Transportation
aentasten,evokes,Attacking
demolieren; demolieeren,isOfType,Destroying
depescheren; depeche; depesche; depeches; depecheren; depecheeren,isOfType,Translocation
verlaten; verlaat,isOfType,Leaving
tocht; togt,isOfType,Voyage
successeur; opvolger,evokes,Replacing
overgaende; overgaen; overgaet; overgaend; overgaent,isOfType,Translocation
