,token,anchor_type,token_id,character_ids,eventclass,Patient_offsets,Agent_offsets,Location_offsets,Time_offsets,AgentPatient_offsets,Benefactive_offsets,Cargo_offsets,Source_offsets,Target_offsets,Path_offsets,Instrument_offsets,mention_span,mention_span_ids,eventclass_no_number,last_token_id
0,Dagelijksche,0,1-1,0-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
1,Aantckening,0,1-2,13-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
2,gehouden,0,1-3,25-33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
3,ter,0,1-4,34-37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
4,order,isOfType,1-5,38-43,ForceToAct,None,['1-7[61]'],None,None,None,None,None,None,None,None,None,order,['1-5'],ForceToAct,1-5
5,van,0,1-6,44-47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
6,den,0,1-7,48-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
7,Heer,0,1-8,52-56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
8,Raad,0,1-9,57-61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
9,ordinair,0,1-10,62-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
10,en,0,1-11,71-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
11,Expresse,0,1-12,74-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
12,commissaris,0,1-13,83-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
13,aan,0,1-14,95-98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
14,het,0,1-15,99-102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
15,Bantamsche,0,1-16,103-113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
16,Hof,0,1-17,114-117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
17,Hendrik,0,1-18,118-125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
18,Breton,0,1-19,126-132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
19,op,0,1-20,133-135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
20,deszelfs,0,1-21,136-144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
21,heen,0,1-22,145-149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
22,en,0,1-23,150-152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
23,terug,0,1-24,153-158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
24,reizemiegaders,isOfType,1-25,159-173,Voyage,['1-7[62]'],None,None,None,None,None,None,None,None,None,None,reizemiegaders,['1-25'],Voyage,1-25
25,verblijf,isOfType,1-26,174-182,BeingAtAPlace,['1-7[63]'],None,['1-27'],None,None,None,None,None,None,None,None,verblijf,['1-26'],BeingAtAPlace,1-26
26,aldaar,0,1-27,183-189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
27,geadsisteert,0,1-28,190-202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
28,door,0,1-29,203-207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
29,den,0,1-30,208-211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
30,oud,0,1-31,212-215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
31,Malaksa,0,1-32,216-223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
32,Gouverneur,0,1-33,224-234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
33,Tan,0,1-34,235-238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
34,crans,0,1-35,239-244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
35,",",0,1-36,244-245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
36,den,0,1-37,246-249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
37,oud,0,1-38,250-253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
38,schepen,0,1-39,254-261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
39,Lieve,0,1-40,262-267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
40,Nicolaas,0,1-41,268-276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
41,Meijbaum,0,1-42,277-285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
42,den,0,1-43,286-289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
43,koopman,0,1-44,290-297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
44,M.,0,1-45,298-300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
45,Pieter,0,1-46,301-307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
46,Kas,0,1-47,308-311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
47,",",0,1-48,311-312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
48,nevens,0,1-49,313-319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
49,de,0,1-50,320-322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
50,onderkooplieden,0,1-51,323-338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
51,NPaulus,0,1-52,339-346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
52,Geversen,0,1-53,347-355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
53,Willem,0,1-54,356-362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
54,Hendrik,0,1-55,363-370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
55,van,0,1-56,371-374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
56,Bijland,0,1-57,375-382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
57,",",0,1-58,382-383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
58,den,0,1-59,384-387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
59,derden,0,1-60,388-394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
60,als,0,1-61,395-398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
61,secretaris,0,1-62,399-409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
62,x,0,1-63,410-411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
63,Augustus,0,1-64,412-420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
64,1777,0,1-65,421-425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
65,.,0,1-66,425-426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
66,Vrijdag,0,1-67,427-434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
67,den,0,1-68,435-438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
68,22,0,1-69,439-441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
69,:,0,1-70,441-442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
70,',0,1-71,443-444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
71,smorgens,0,1-72,444-452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
72,te,0,1-73,453-455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
73,zeven,0,1-74,456-461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
74,uuren,0,1-75,462-467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
75,de,0,1-76,468-470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
76,Heer,0,1-77,471-475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
77,Commissaris,0,2-1,476-487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
78,door,0,2-2,488-492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
79,de,0,2-3,493-495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
80,Edelen,0,2-4,496-502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
81,Heeren,0,2-5,503-509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
82,Hendrik,0,2-6,510-517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
83,van,0,2-7,518-521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
84,Stokkum,0,2-8,522-529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
85,en,0,2-9,530-532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
86,Jan,0,2-10,533-536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
87,Hendrik,0,2-11,537-544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
88,Poock,0,2-12,545-550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
89,",",0,2-13,550-551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
90,Raden,0,2-14,552-557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
91,extra,0,2-15,558-563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
