	mention_span	mention_in_context	mention_span_ids	mention_token_id	mention_ids	last_token_id	Should this mention be annotated as an event?	If so, which event class should the mention be annotated with?	If not, why not?	If span incorrect, provide correct span	comments
3	ouerleijdt	ende 332 xxi0 . copter . e. e e Op d'aencompete gemelter Schepen hebben , dadelijck met den Raedt [ ouerleijdt ] , off niet oorbaer ende raedtsaem soude wesen , noch een Schap met partije sijde , beneffens de becomene aduijsen		12-100	['12-100']	No Span	no		This does not describe an event listed in the ontology		
5	moetwil ende rebellije	ordre van ter bequamer tijt op onse Landen comende , achter Engelandt , om te loopen , door de [ moetwil ende rebellije ] van't Scheepsvolck ( welck gemeenl op de thuijs-reijse de meester maeckt , ende d'Ouericheijt Hetten voorschrijft niet behoorlijck	['12-305', '12-306', '12-307']	12-305	['12-305', '12-306', '12-307']	12-307	yes	Mutiny			
8	seijnden	In voegen , dat ons om voorverhaelde consideratien eenichsints beswaert woirden de syde dus laet met een Schip ouer [ seijnden ] seijnden . Doch aen d'ander sijde ouerwogen , soo noodich het sij V Ed : tegen haere Excessiue lasten ,		12-371.1	['12-371.1']	No Span	yes	Translocation			
20	becomene	ende 134 - packen cleeden , blesde sorteringe , alsoo den tijt te cort was , omme voor de [ becomene ] comrtsr . van hier met de Jachten Grootenbrouck Brouwershauen , ende Battr . eenich ander slach ofte meerder quantiteijt cleeden		20-39	['20-39']	No Span	yes	Arriving			
23	beschicken	in twee Jaeren geen retour van daer becomen sullen ende dat vermidts V Ed : eijgen deffectueusheijt int derrewaerts [ beschicken ] van de Jaerlijcx geeijschte capitalen ... d'E Leeuwwinne ende Kemphaen waren op 2en Novemb . pasro doen d'Engelsche Engelsche Abigael		20-124	['20-124']	No Span	yes	Translocation			
26	gegeven	in Maij a.o . 1628 . gereedt wesen ; Ouer de 32 . E Pagoden hadden d'onse op leueringe [ gegeven ] ee Om de Zuijdt waren de drije Naijcken vereinicht , waer door aipparent is den Standt in die Quartieren vrij		22-33	['22-33']	No Span	yes	Getting			
29	Monovolien ende Qquardt tractement	Cattoen daer soo dier , als in lange Jaren niet geweest is Pr. Madilwals . continueerden de Mooren haere [ Monovolien ende Qquardt tractement ] t'ontwaerts ; Met niemant anders dan met drije deee pachters , mochten d'onse aldaer handelen ; Ende	['24-34', '24-35', '24-36', '24-37']	24-34	['24-34', '24-35', '24-36', '24-37']	24-37	no		This does not describe an event listed in the ontology		
34	verseeckeren	in de mlaenden Februarij ende Meert daer voor te houden , om ons van t'iloorsche iloorsche - Vaertuijch te [ verseeckeren ] , en de Grooten bij dien middel te constringeren tot restauratie vande geleden Interesten ende schaden , mitsgaders Dat ons		30-28	['30-28']	No Span	yes	TakingUnderControl			
36	gedoogen	tot restauratie vande geleden Interesten ende schaden , mitsgaders Dat ons den vrijen ende onbecommerden handel in Masilicat nam [ gedoogen ] . Nae d'onse vande custe aduiseren , behoeuen met eens sbaricheijt daer in te maecken , alsoo den handel in		30-57	['30-57']	No Span	no		This does not describe an event listed in the ontology		
37	ouerlast doen	den handel in Malilipals , daer door niet lange sullen deruen : De Grootste Mooren die ons de meeste [ ouerlast doen ] , sijn de geene , twelcke de voorneemste capitalen nae Mocha , Atchin , Regu ende elders teiqueren ,	['30-94', '30-95']	30-94	['30-94', '30-95']	30-95	yes	BeingInConflict			
