	mention_span	mention_in_context	mention_span_ids	mention_token_id	mention_ids	last_token_id	Should this mention be annotated as an event?	If so, which event class should the mention be annotated with?	If not, why not?	If span incorrect, provide correct span	comments
0	gescheijden	, Twdapen van Eelff , s'landts hollandia ende de Galias den 12en November past in Compe van Battania- Battania [ gescheijden ] , ende den 15en . do door de strate Sunda geraeckt sijn hier Godt loff den 17en . ende 21e		12-35	['12-35']	No Span	yes	Leaving			
4	aencompete	geladen met 840 . pica rouwe Chineesche sijde , ende 332 xxi0 . copter . e. e e Op [ aencompete ] aencompete gemelter Schepen hebben , dadelijck met den Raedt ouerleijdt , off niet oorbaer ende raedtsaem soude wesen , noch		12-91.1	['12-91.1']	No Span	yes	Transportation			
8	beloopen	bouen gemelte Vloote nae te seijnden , om deselue noch t'sij dan aende Cabo ofte St. Sdelena te mogen [ beloopen ] . & Waerop aen d‛een sijde Ingesien sijnde , hoe voor t'verloop vanden gelimiteerden tijdt op d'affvaerdinge der Retour Schepen		12-151	['12-151']	No Span	yes	Arriving			
11	thuijs-reijse	achter Engelandt , om te loopen , door de moetwil ende rebellije van't Scheepsvolck ( welck gemeenl op de [ thuijs-reijse ] de meester maeckt , ende d'Ouericheijt Hetten voorschrijft niet behoorlijck achtervolcht , maer de cours recht door t'Canael nae Nederlandt		12-315	['12-315']	No Span	yes	Voyage			
14	fourneren	animeren sal omme de requisite capitalen , tot Vigorenter vervolch vandien aduantagieusen handel int ' aenstaende des t'onbecrompener te [ fourneren ] , hebben euenwel goedt gevonden , t'Schip Vranen opt ' spoedichste met 384½. 384½ Nicol sijde 1 331 ... r.		12-428	['12-428']	No Span	yes	Giving			
19	goeden coop	W : Curt Sumatsa . o 1 e de CCormandel : te staen , ten aensien de cleeden seer [ goeden coop ] daer tegen verhandelt sijn soo dat voor dees tijt in dat quartier gants weijnichte doen is , ende niet	['17-9', '17-10']	17-9	['17-9', '17-10']	17-10	no		This does not describe an event listed in the ontology		
22	teseijnder	tijt in dat quartier gants weijnichte doen is , ende niet noodich wesen sal , t'naeste Jaer derrewaerts weder [ teseijnder ] De Rijs was daer uijt der maten dier ; De toataneten vreesen alsnoch dat den Atchinder van Gueda te Lande		17-38	['17-38']	No Span	yes	Transportation			
23	dier	, ende niet noodich wesen sal , t'naeste Jaer derrewaerts weder teseijnder De Rijs was daer uijt der maten [ dier ] ; De toataneten vreesen alsnoch dat den Atchinder van Gueda te Lande te lande decieitiersn comen sal , daer ons		17-46	['17-46']	No Span	no		This does not describe an event listed in the ontology		
24	comen	uijt der maten dier ; De toataneten vreesen alsnoch dat den Atchinder van Gueda te Lande te lande decieitiersn [ comen ] sal , daer ons bedunckt niet veel apparentie toe en is eeee Vande Westcust van Sumatra is hier den 25.en		17-62	['17-62']	No Span	yes	Arriving			
27	vtreck	O cento aduance geuen , ende in Tatane niet meer als 30 . Ot FL W. Cust was opt [ vtreck ] van gemelte Jacht van daer , noch goede partije peper te becomen , ende dat tot redelijcken prus : Ooch		18-60	['18-60']	No Span	yes	Leaving			
29	hebben	gemelte Jacht van daer , noch goede partije peper te becomen , ende dat tot redelijcken prus : Ooch [ hebben ] geldt noch cleeden om derrewaerts ie mogen seijnden . e. e En D.o S.r Is sier van Masilipats.n ende Paliacaite		18-81	['18-81']	No Span	yes	HavingInPossession			
33	deffectueusheijt	Ed : mede in twee Jaeren geen retour van daer becomen sullen ende dat vermidts V Ed : eijgen [ deffectueusheijt ] int derrewaerts beschicken van de Jaerlijcx geeijschte capitalen ... d'E Leeuwwinne ende Kemphaen waren op 2en Novemb . pasro doen		20-121	['20-121']	No Span	no		This does not describe an event listed in the ontology		
37	vereinicht	Ouer de 32 . E Pagoden hadden d'onse op leueringe gegeven ee Om de Zuijdt waren de drije Naijcken [ vereinicht ] , waer door aipparent is den Standt in die Quartieren vrij wat beteren dat ende datmen metter tijt goede partije		23-9	['23-9']	No Span	yes	Arriving			
42	dier	. eeeee Isen Calliacatte geeft het Goudt van Guinea 10½ 8r . cento advance ende was t'Cattoen daer soo [ dier ] , als in lange Jaren niet geweest is Pr. Madilwals . continueerden de Mooren haere Monovolien ende Qquardt tractement t'ontwaerts		24-18	['24-18']	No Span	no		This does not describe an event listed in the ontology		
