	mention_span	mention_in_context	mention_span_ids	mention_token_id	mention_ids	last_token_id	Should this mention be annotated as an event?	If so, which event class should the mention be annotated with?	If not, why not?	If span incorrect, provide correct span	comments
4	aencompete	geladen met 840 . pica rouwe Chineesche sijde , ende 332 xxi0 . copter . e. e e Op [ aencompete ] aencompete gemelter Schepen hebben , dadelijck met den Raedt ouerleijdt , off niet oorbaer ende raedtsaem soude wesen , noch		12-91.1	['12-91.1']	No Span	yes	Arriving			
8	beloopen	bouen gemelte Vloote nae te seijnden , om deselue noch t'sij dan aende Cabo ofte St. Sdelena te mogen [ beloopen ] . & Waerop aen d‛een sijde Ingesien sijnde , hoe voor t'verloop vanden gelimiteerden tijdt op d'affvaerdinge der Retour Schepen		12-151	['12-151']	No Span	yes	Encounter			
9	Voijagie	V Ed : aduisen met Bollandia Jongst van daer becomen niet wel doenlijck soude sijn een Schip tot gemelte [ Voijagie ] seijl reedt te crijgen ; daer beneffens dat Jegenwoordich geen andere RetourSchepen bijder handt hebben als Vianen ende t'wapen van		12-198	['12-198']	No Span	no		Other (write in next column)		Ik vind dit geen event.
11	thuijs-reijse	achter Engelandt , om te loopen , door de moetwil ende rebellije van't Scheepsvolck ( welck gemeenl op de [ thuijs-reijse ] de meester maeckt , ende d'Ouericheijt Hetten voorschrijft niet behoorlijck achtervolcht , maer de cours recht door t'Canael nae Nederlandt		12-315	['12-315']	No Span	yes	Voyage			
12	cours	welck gemeenl op de thuijs-reijse de meester maeckt , ende d'Ouericheijt Hetten voorschrijft niet behoorlijck achtervolcht , maer de [ cours ] recht door t'Canael nae Nederlandt gestelt mocht werden , al schoon het tijts genouch eynam om achter om te loopen		12-330	['12-330']	No Span	no		This does not describe an event listed in the ontology		Zit dicht bij 'Voyage', maar vind het net anders.
13	teseijnden	In voegen , dat ons om voorverhaelde consideratien eenichsints beswaert woirden de syde dus laet met een Schip ouer [ teseijnden ] . Doch aen d'ander sijde ouerwogen , soo noodich het sij V Ed : tegen haere Excessiue lasten , met		12-371	['12-371']	No Span	yes	Transportation		[ ouer teseijnden ]	
14	fourneren	animeren sal omme de requisite capitalen , tot Vigorenter vervolch vandien aduantagieusen handel int ' aenstaende des t'onbecrompener te [ fourneren ] , hebben euenwel goedt gevonden , t'Schip Vranen opt ' spoedichste met 384½. 384½ Nicol sijde 1 331 ... r.		12-428	['12-428']	No Span	yes	Giving			
19	goeden coop	W : Curt Sumatsa . o 1 e de CCormandel : te staen , ten aensien de cleeden seer [ goeden coop ] daer tegen verhandelt sijn soo dat voor dees tijt in dat quartier gants weijnichte doen is , ende niet	['17-9', '17-10']	17-9	['17-9', '17-10']	17-10	yes	Decreasing			
22	teseijnder	tijt in dat quartier gants weijnichte doen is , ende niet noodich wesen sal , t'naeste Jaer derrewaerts weder [ teseijnder ] De Rijs was daer uijt der maten dier ; De toataneten vreesen alsnoch dat den Atchinder van Gueda te Lande		17-38	['17-38']	No Span	yes	Transportation			
23	dier	, ende niet noodich wesen sal , t'naeste Jaer derrewaerts weder teseijnder De Rijs was daer uijt der maten [ dier ] ; De toataneten vreesen alsnoch dat den Atchinder van Gueda te Lande te lande decieitiersn comen sal , daer ons		17-46	['17-46']	No Span	yes	Increasing			Deze zit er een paar keer in. Dit betekent 'duur', wat impliceert dat de prijs hoger is dan voorheen, dus 'Increasing'. Maar ik twijfel hier wel een beetje over.
29	hebben	gemelte Jacht van daer , noch goede partije peper te becomen , ende dat tot redelijcken prus : Ooch [ hebben ] geldt noch cleeden om derrewaerts ie mogen seijnden . e. e En D.o S.r Is sier van Masilipats.n ende Paliacaite		18-81	['18-81']	No Span	no		This does not describe an event listed in the ontology		
30	seijnden	peper te becomen , ende dat tot redelijcken prus : Ooch hebben geldt noch cleeden om derrewaerts ie mogen [ seijnden ] . e. e En D.o S.r Is sier van Masilipats.n ende Paliacaite wel aengecomen t ' Jacht D Battania met		18-89	['18-89']	No Span	yes	Transportation			
33	deffectueusheijt	Ed : mede in twee Jaeren geen retour van daer becomen sullen ende dat vermidts V Ed : eijgen [ deffectueusheijt ] int derrewaerts beschicken van de Jaerlijcx geeijschte capitalen ... d'E Leeuwwinne ende Kemphaen waren op 2en Novemb . pasro doen		20-121	['20-121']	No Span	no		This does not describe an event listed in the ontology		
36	comen	, aldaer noch niet verlcheinen , Ende is apparent dat geduerende t'noorder Mouson , daer oock niet sullen connen [ comen ] — . De Paliacatsche sorteringe welck al geschilderde doecken sijn ; sal niet eerder dan in Maij a.o . 1628		21-36	['21-36']	No Span	yes	Arriving			
37	vereinicht	Ouer de 32 . E Pagoden hadden d'onse op leueringe gegeven ee Om de Zuijdt waren de drije Naijcken [ vereinicht ] , waer door aipparent is den Standt in die Quartieren vrij wat beteren dat ende datmen metter tijt goede partije		23-9	['23-9']	No Span	yes	Encounter			
42	dier	. eeeee Isen Calliacatte geeft het Goudt van Guinea 10½ 8r . cento advance ende was t'Cattoen daer soo [ dier ] , als in lange Jaren niet geweest is Pr. Madilwals . continueerden de Mooren haere Monovolien ende Qquardt tractement t'ontwaerts		24-18	['24-18']	No Span	yes	Increasing			
44	becomen	voor reen tijt e 1 „ 90 t ked ee . ve een Diamanten sijn daer noch wel te [ becomen ] , maer dier eeen tijt van masilupats . te lichten ende eenige Scheepen in de mlaenden Februarij ende Meert daer		28-7	['28-7']	No Span	yes	Getting			
45	dier	e 1 „ 90 t ked ee . ve een Diamanten sijn daer noch wel te becomen , maer [ dier ] eeen tijt van masilupats . te lichten ende eenige Scheepen in de mlaenden Februarij ende Meert daer voor te houden		28-10	['28-10']	No Span	yes	Increasing			
46	betalen	Negotie saten , belast sijnde met 200 O gl . a deposito gelicht , waer voor grooten Interest moeten [ betalen ] Ede specerijen Nagelen , Nooten ende foelije waren meer dan 50 . Rcento in prijs gedaelt , conden geene vercoopen		32-44	['32-44']	No Span	no		This does not describe an event listed in the ontology		
