	mention_span	mention_in_context	mention_span_ids	mention_token_id	mention_ids	last_token_id	Should this mention be annotated as an event?	If so, which event class should the mention be annotated with?	If not, why not?	If span incorrect, provide correct span	comments
3	ouerleijdt	ende 332 xxi0 . copter . e. e e Op d'aencompete gemelter Schepen hebben , dadelijck met den Raedt [ ouerleijdt ] , off niet oorbaer ende raedtsaem soude wesen , noch een Schap met partije sijde , beneffens de becomene aduijsen		12-100	['12-100']	No Span	no		Other (write in comments)		This shouldn't be annotated because this event is likely to occur far too many times in the archive to be useful for users.  
8	seijnden	In voegen , dat ons om voorverhaelde consideratien eenichsints beswaert woirden de syde dus laet met een Schip ouer [ seijnden ] seijnden . Doch aen d'ander sijde ouerwogen , soo noodich het sij V Ed : tegen haere Excessiue lasten ,		12-371.1	['12-371.1']	No Span	yes	Translocation			Should the whole verb not be overseijnden? (over te zenden?)
20	becomene	ende 134 - packen cleeden , blesde sorteringe , alsoo den tijt te cort was , omme voor de [ becomene ] comrtsr . van hier met de Jachten Grootenbrouck Brouwershauen , ende Battr . eenich ander slach ofte meerder quantiteijt cleeden		20-39	['20-39']	No Span	yes	ChangeOfPossession			
23	beschicken	in twee Jaeren geen retour van daer becomen sullen ende dat vermidts V Ed : eijgen deffectueusheijt int derrewaerts [ beschicken ] van de Jaerlijcx geeijschte capitalen ... d'E Leeuwwinne ende Kemphaen waren op 2en Novemb . pasro doen d'Engelsche Engelsche Abigael		20-124	['20-124']	No Span	yes	Giving			
24	vertrock	geeijschte capitalen ... d'E Leeuwwinne ende Kemphaen waren op 2en Novemb . pasro doen d'Engelsche Engelsche Abigael van daer [ vertrock ] , aldaer noch niet verlcheinen , Ende is apparent dat geduerende t'noorder noorder Mouson , daer oock niet sullen connen		21-16	['21-16']	No Span	yes	Leaving			
25	verlcheinen	ende Kemphaen waren op 2en Novemb . pasro doen d'Engelsche Engelsche Abigael van daer vertrock , aldaer noch niet [ verlcheinen ] , Ende is apparent dat geduerende t'noorder noorder Mouson , daer oock niet sullen connen comen — . De Paliacatsche		21-21	['21-21']	No Span	yes	Arriving			
36	gedoogen	tot restauratie vande geleden Interesten ende schaden , mitsgaders Dat ons den vrijen ende onbecommerden handel in Masilicat nam [ gedoogen ] . Nae d'onse vande custe aduiseren , behoeuen met eens sbaricheijt daer in te maecken , alsoo den handel in		30-57	['30-57']	No Span	yes	Getting			
40	verboden	plaetse haer soo : dienstich is , als ons Paliacatte . Op haer versouck is d'onse den handel aldaer [ verboden ] , hebben daer een steenen Huijs geboudt met een aerden weal omtrocken , ende geuen - . uijt aldaer fortificeren		35-31	['35-31']	No Span	yes	EndingARelationship			Don't think the event chosen is appropriate but seems like the one most applicable form the list. 
43	cruijssende	120885 „ 15 „ Waer mede oock ouergegaen is , Mousabeeck , Ambassadeur des Conincks van Pertia . Onise [ cruijssende ] Jachten hebben t'selue den 35e Octob . pasto . omtrent ppoulo - Vercelaer bij Noorden Mallacca gerescontreert . Waer ouer		36-49	['36-49']	No Span	yes	Translocation			
51	bevinden	den meesten dienst ende woelstandt vande Compen . aldaer vereijscht , Insonderheijt inde Quartieren van Amboina , alwaer wbij [ bevinden ] volgens t'schriftelijck schriftelijck verbael vanden Commissaris Gillis Seijs , In April pase . aende cant van 616 . blancke coppen		40-37	['40-37']	No Span	no				Far too common a term 
