,tokens,counts
0,gaende,2
1,gescheijden,1
2,geraeckt,1
3,aengecomen,6
4,d'aencompete,1
5,ouerleijdt,1
6,nae,1
7,te,9
8,seijnden,3
9,beloopen,1
10,d'affvaerdinge,1
11,becomen,12
12,Voijagie,2
13,seijl,1
14,reedt,1
15,crijgen,1
16,voorsien,1
17,",",1
18,sijn,1
19,handel,9
20,attenueren,1
21,om,2
22,loopen,3
23,rebellije,1
24,de,1
25,thuijs-reijse,1
26,cours,1
27,achter,1
28,ouer,1
29,teseijnden,1
30,fourneren,1
31,aff,1
32,vaerdigen,1
33,toecomen,1
34,verhandelt,2
35,teseijnder,1
36,comen,2
37,vtreck,1
38,hebben,1
39,becomene,1
40,deffectueusheijt,1
41,beschicken,1
42,vertrock,1
43,verlcheinen,1
44,gegeven,1
45,vereinicht,1
46,beteren,1
47,Monovolien,1
48,Qquardt,1
49,tractement,1
50,handelen,1
51,opgedicongen,1
52,houden,2
53,verseeckeren,2
54,constringeren,1
55,restauratie,1
56,gedoogen,1
57,ouerlast,1
58,doen,1
59,teiqueren,1
60,betalen,1
61,gedaelt,1
62,vercoopen,1
63,versouck,2
64,verboden,1
65,geboorden,1
66,ouergegaen,1
67,is,1
68,cruijssende,2
69,reijs,1
70,vertrocken,2
71,besteden,1
72,Keere,1
73,gesonden,3
74,aendoen,1
75,affgevaerdicht,1
76,bevoirderen,2
77,in,4
78,dienst,1
79,ende,6
80,gagie,1
81,affganck,1
82,verachteringe,1
83,vorderlijcker,1
84,treffelycker,1
85,retour,1
86,verdeelt,1
87,gevoirdert,1
88,d'ffiuasien,1
89,Vijanden,1
90,ontrouw,1
91,Wesen,1
92,willen,1
93,ontsach,1
94,dwang,1
95,verlies,1
96,extensie,1
97,extremiteijt,1
98,van,2
99,wapenen,1
100,bloetstorting,1
101,Herderff,1
102,verachtering,1
103,Nagelhandel,1
104,vervallen,1
105,restaureren,1
106,beuolen,1
107,Bondtgenoten,1
108,nieuwe,1
109,vruntschap,1
110,geraecken,1
111,gealtereerde,1
112,verwijderde,1
113,gemoederen,1
114,voorige,1
115,gerustheijt,1
116,patisique,1
117,posture,1
118,herstelt,1
119,t'vervoeren,1
120,mede,1
121,gegeuen,1
122,resteerde,1
123,procureren,1
124,besteedt,1
125,versoucken,1
126,werden,1
127,Doorraedt,1
128,versocht,1
129,recompense,1
130,Exploict,1
131,obtineren,1
132,betalinge,1
133,becompt,1
134,versoeckt,1
135,vrijheijt,1
136,toll,1
137,sonden,1
138,versoecken,1
139,lichten,1
140,cruijssen,1
141,mastelaos,1
142,groot,1
143,perijckel,1
144,geweest,1
