,token,token_id,anchor_type,event_anno
0,ee,1-1,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1,eee,1-2,"('0', '0', '0', '0')","('0', '0', '0', '0')"
2,phemmeer,1-3,"('0', '0', '0', '0')","('0', '0', '0', '0')"
3,uit,2-1,"('0', '0', '0', '0')","('0', '0', '0', '0')"
4,algem,2-2,"('0', '0', '0', '0')","('0', '0', '0', '0')"
5,.,2-3,"('0', '0', '0', '0')","('0', '0', '0', '0')"
6,Voestuur,2-4,"('0', '0', '0', '0')","('0', '0', '0', '0')"
7,1628,2-5,"('0', '0', '0', '0')","('0', '0', '0', '0')"
8,.,2-6,"('0', '0', '0', '0')","('0', '0', '0', '0')"
9,devemb,3-1,"('0', '0', '0', '0')","('0', '0', '0', '0')"
10,Reteuir,3-2,"('0', '0', '0', '0')","('0', '0', '0', '0')"
11,ut,3-3,"('0', '0', '0', '0')","('0', '0', '0', '0')"
12,Ohna,3-4,"('0', '0', '0', '0')","('0', '0', '0', '0')"
13,.,3-5,"('0', '0', '0', '0')","('0', '0', '0', '0')"
14,Hlaux,4-1,"('0', '0', '0', '0')","('0', '0', '0', '0')"
15,na,4-2,"('0', '0', '0', '0')","('0', '0', '0', '0')"
16,Redel,4-3,"('0', '0', '0', '0')","('0', '0', '0', '0')"
17,.,4-4,"('0', '0', '0', '0')","('0', '0', '0', '0')"
18,affvanden,4-5,"('0', '0', '0', '0')","('0', '0', '0', '0')"
19,6January,5-1,"('0', '0', '0', '0')","('0', '0', '0', '0')"
20,ƒ,6-1,"('0', '0', '0', '0')","('0', '0', '0', '0')"
21,d,6-2,"('0', '0', '0', '0')","('0', '0', '0', '0')"
22,1e,6-3,"('0', '0', '0', '0')","('0', '0', '0', '0')"
23,ee,7-1,"('0', '0', '0', '0')","('0', '0', '0', '0')"
24,en,7-2,"('0', '0', '0', '0')","('0', '0', '0', '0')"
25,vee,8-1,"('0', '0', '0', '0')","('0', '0', '0', '0')"
26,ee,8-2,"('0', '0', '0', '0')","('0', '0', '0', '0')"
27,ve,9-1,"('0', '0', '0', '0')","('0', '0', '0', '0')"
28,e,9-2,"('0', '0', '0', '0')","('0', '0', '0', '0')"
29,ee,9-3,"('0', '0', '0', '0')","('0', '0', '0', '0')"
30,Ed,10-1,"('0', '0', '0', '0')","('0', '0', '0', '0')"
31,:,10-2,"('0', '0', '0', '0')","('0', '0', '0', '0')"
32,Erentfebte,10-3,"('0', '0', '0', '0')","('0', '0', '0', '0')"
33,",",10-4,"('0', '0', '0', '0')","('0', '0', '0', '0')"
34,Achtbare,10-5,"('0', '0', '0', '0')","('0', '0', '0', '0')"
35,",",10-6,"('0', '0', '0', '0')","('0', '0', '0', '0')"
36,wijse,10-7,"('0', '0', '0', '0')","('0', '0', '0', '0')"
37,",",10-8,"('0', '0', '0', '0')","('0', '0', '0', '0')"
38,voorsienige,10-9,"('0', '0', '0', '0')","('0', '0', '0', '0')"
39,seer,10-10,"('0', '0', '0', '0')","('0', '0', '0', '0')"
40,discrete,10-11,"('0', '0', '0', '0')","('0', '0', '0', '0')"
41,Heeren,10-12,"('0', '0', '0', '0')","('0', '0', '0', '0')"
42,Qulans,11-1,"('0', '0', '0', '0')","('0', '0', '0', '0')"
43,Tsedert,12-1,"('0', '0', '0', '0')","('0', '0', '0', '0')"
44,onsen,12-2,"('0', '0', '0', '0')","('0', '0', '0', '0')"
45,Jongsten,12-3,"('0', '0', '0', '0')","('0', '0', '0', '0')"
46,hier,12-4,"('0', '0', '0', '0')","('0', '0', '0', '0')"
47,neuens,12-5,"('0', '0', '0', '0')","('0', '0', '0', '0')"
48,in,12-6,"('0', '0', '0', '0')","('0', '0', '0', '0')"
49,copie,12-7,"('0', '0', '0', '0')","('0', '0', '0', '0')"
50,gaende,12-8,"('0', 'isOfType', '0', '0')","('0', 'Transportation', '0', '0')"
51,),12-9,"('0', '0', '0', '0')","('0', '0', '0', '0')"
52,met,12-10,"('0', '0', '0', '0')","('0', '0', '0', '0')"
53,de,12-11,"('0', '0', '0', '0')","('0', '0', '0', '0')"
54,Schepen,12-12,"('0', '0', '0', '0')","('0', '0', '0', '0')"
55,Frederick,12-13,"('0', '0', '0', '0')","('0', '0', '0', '0')"
56,Benrick,12-14,"('0', '0', '0', '0')","('0', '0', '0', '0')"
57,",",12-15,"('0', '0', '0', '0')","('0', '0', '0', '0')"
58,Bollandia,12-16,"('0', '0', '0', '0')","('0', '0', '0', '0')"
59,",",12-17,"('0', '0', '0', '0')","('0', '0', '0', '0')"
60,Twdapen,12-18,"('0', '0', '0', '0')","('0', '0', '0', '0')"
61,van,12-19,"('0', '0', '0', '0')","('0', '0', '0', '0')"
62,Eelff,12-20,"('0', '0', '0', '0')","('0', '0', '0', '0')"
63,",",12-21,"('0', '0', '0', '0')","('0', '0', '0', '0')"
